key,value
milestone,M10.9.4.1-I.3-Hotfix2
status,VALIDATED
trajectory-id,phase-i-production-v3-healthy-300s-v1
authoritative-default,integrated-operations-desktop-stable@3|FourNodeBranchContinuityCorrectedCommitOptIn
rollback-reference,integrated-operations-desktop-stable@2|ExplicitCommittedState
simulated-seconds,300
logical-steps,30000
generation-health-violations,0
targeted-reverse-flow-violations,0
corrected-committed,3757
corrected-rollbacks,0
corrected-fallbacks,0
corrected-unsafe,0
corrected-untargeted-disagreements,0
trajectory-fingerprint,80E7D96FE49DE81BCC3D41CBF874984763DA6CDF7077E8ACBE09822909F2C501
deterministic-fingerprint,35C297DA4667C0A1BF83888287F0555E064A6E826CF03219ABE5A7E189DF3F9C
slopes-count,7
tolerance-budget-count,19
summary-sha256,CA7F21A568CC32C5F7558E7B4F45E2A8C241F02B9CFEBBADB17A618FF8AA57C7
slopes-sha256,9630DB9CE1B6C1889F0F466FBEFBC635949130FE4433C3ACC37689D6746A3BC1
budgets-sha256,9B7A2653F08059ECBD16F39FEB0DD7350F62C98A5892A8215D34404D6C9301BB
determinism-sha256,3FE67439BA99B746393D12CBB0B2542F025B4A16714E6294F657016F8CC5E858
drum-inventory-slope-kg-s,8.2451672984622224
main-steam-header-slope-kg-s,-0.35293086123580603
total-fluid-energy-slope-w,-2061802.7621648791
