metric,value
production_shadow_steps,30000
profiles,4
census_triggered_events,3046
trigger_episodes,92
qualified_trigger_samples,473
representative_keys_match_frozen_h17,True
recovered_h17_failures,245
preserved_h17_successes,228
recovered_h17_turbine_inlet_mismatch_failures,120
recovered_h17_no_mismatch_failures,125
maximum_stratified_qualification_events,512
trigger_episode_maximum_quiet_gap_intervals,25
converged_qualified_samples,473
line_search_exhausted,0
branch_overrides,32829
previous_phase_holds,127600
solver_hysteresis_releases,0
deterministic_work_ratio,1.5474333333333334
committed_phase_state_checks,120000
committed_selection_observations,24346
committed_phase_transitions,3992
untargeted_candidate_only_late_shadow_nodes,0
untargeted_candidate_phase_mismatch_nodes,0
cross_profile_stratified_policy_qualifies,True
committed_selection_transparent,True
release_challenges_pass,True
four_node_long_horizon_cross_profile_shadow_qualification_passes,True
h19_audit_passes,True
