sample_id,default_authority,default_reason,shadow_armed_authority,shadow_armed_reason,rollback_required,production_commit_authorized
combined-load-cooling:1,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:196,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:200,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:352,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:360,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:525,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:549,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:555,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:609,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:673,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:726,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:774,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:822,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:847,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:874,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:931,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:990,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:997,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1002,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1043,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1092,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1140,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1165,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1191,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1248,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1314,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1357,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1407,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1454,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1483,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1502,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1552,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1622,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1685,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1740,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1789,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:1813,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2183,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2208,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2274,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2346,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2423,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2494,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2555,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2610,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2670,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2722,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2755,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2766,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2818,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2872,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2924,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:2974,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3015,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3058,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3061,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3081,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3105,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3126,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3129,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3153,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3179,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3203,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3223,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3247,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3269,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3290,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3316,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3336,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3341,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3362,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3387,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3409,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3434,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3454,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3478,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3499,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3500,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3504,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3525,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3622,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3650,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3651,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3683,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3684,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3722,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3723,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3769,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3770,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3835,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:3836,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:4262,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:4267,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:4270,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:4271,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:4273,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5597,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5598,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5655,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5656,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5714,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5715,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5775,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5776,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5838,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5839,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5907,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5908,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5987,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
combined-load-cooling:5988,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:1,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:3,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:196,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:200,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:352,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:360,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:720,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:722,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
