interval,trigger_observed,predictor_pressure_change,predictor_flow_change_kg_s,shadow_correction_evaluated,proposed_authority,reason,rollback_required,corrected_candidate_committed,untargeted_branch_disagreement,branch_overrides,previous_phase_holds,hysteresis_releases,shadow_iterations,shadow_converged,shadow_line_search_exhausted,shadow_pressure_residual,shadow_flow_residual_kg_s,shadow_mass_closure_kg_s,shadow_energy_ownership_w
1,True,0.07657282976246077,114.31403986339561,True,CorrectedCandidate,QualifiedTriggeredCorrection,False,False,False,0,800,0,4,True,False,1.7535481132918114E-07,0.00010880373784516451,1.4210854715202004E-14,1.3067619875073433E-08
2,True,0.088657846663751497,80.19100294729455,True,CorrectedCandidate,QualifiedTriggeredCorrection,False,False,False,0,800,0,4,True,False,2.9951559040913567E-07,0.00033138695989975986,1.4210854715202004E-14,3.2305251806974411E-09
3,True,0.020089189547836381,59.391453998211162,True,CorrectedCandidate,QualifiedTriggeredCorrection,False,False,False,0,800,0,4,True,False,5.705006794328897E-10,1.2186737592401187E-06,0,3.2596290111541748E-09
4,False,0.016562057698362959,34.357104147706977,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
5,False,0.008105513478587319,22.186469633606535,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
6,False,0.0059907293810020886,10.265641716593905,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
7,False,0.0051301401333538376,7.6619161228652786,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
8,False,0.0040569547168182365,2.9492291303352545,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
9,False,0.0045266544017860356,2.9665774954775941,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
10,False,0.0042370543510113655,1.6980626099034879,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
11,False,0.0043368585857243803,1.6638012914159646,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
