metric,value
attribution_steps,256
triggered,20
historical_predictor_fluid_nodes_reused,2709
historical_predictor_fluid_nodes_total,3072
historical_predictor_fluid_node_reuse_fraction,0.8818359375
nontrigger_average_predictor_us,392.382627118644
predictor_wall_fraction_of_h28_1c,0.04214887084796138
nontrigger_average_predictor_alloc_bytes,19144.305084745763
predictor_allocation_fraction_of_h28_1c,0.72769336625039305
trigger_average_engine_us,1699250.3850000002
trigger_average_h9_us,1658501.1100000001
h9_jacobian_wall_share,0.94119982831968085
h9_line_search_wall_share,0.029309977368661505
h9_average_hydraulic_evaluations,35
h9_average_probe_evaluations,32
h9_max_jacobian_dimension,32
primary_trigger_wall_cost_center,h9-jacobian-build-probes
primary_trigger_allocation_center,h9-jacobian-build-probes
deterministic_fingerprint,518BA948637F0C270C7F8228AB97FEF9148E29A4F5CE4376319AB5D1CFBE7F38
jacobian_allocation_fraction_of_h28_1a,0.02368332133051463
h9_allocation_fraction_of_h28_1a,0.024189929329387783
h28_1b_predictor_reuse_passes,True
