step,presentation_fingerprint,trigger,committed,rollback,unsafe_commit,fallback_commit_violation,historical_predictor_fluid_nodes_reused,historical_predictor_fluid_nodes_total,shadow_iterations,engine_us,engine_alloc_bytes,orchestrator_us,orchestrator_alloc_bytes,explicit_preparation_us,explicit_preparation_alloc_bytes,sidecar_us,sidecar_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,disagreement_scan_us,disagreement_scan_alloc_bytes,authority_us,authority_alloc_bytes,commit_accounting_us,commit_accounting_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_layout_us,h9_layout_alloc_bytes,h9_initial_residual_us,h9_initial_residual_alloc_bytes,h9_jacobian_build_us,h9_jacobian_build_alloc_bytes,h9_newton_line_search_us,h9_newton_line_search_alloc_bytes,h9_residual_fallback_us,h9_residual_fallback_alloc_bytes,h9_other_us,h9_other_alloc_bytes,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension,jacobian_build_attempts,jacobian_direction_acceptances,jacobian_rejected,residual_fallback_attempts,residual_fallback_acceptances,backtracking_trials
1,cc084e93edb48bb878d8e0e288a1c8792ac70b15d3033aa9912802d1e755518f,False,False,False,False,False,11,12,0,25015.099999999999,322736,24371.900000000001,53944,24073.200000000001,21872,278.60000000000002,19264,275.60000000000002,19088,0,0,0,0,0.40000000000000002,40,15.9,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7520bc674aa3ea716e3ba2f7b083ae04a4fb70b3d71e10d593eb9fd76d510809,False,False,False,False,False,10,12,0,24213,322856,23289.099999999999,54072,22696.299999999999,21872,565.10000000000002,19392,562.20000000000005,19216,0,0,0,0,0.5,40,23.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3491746157c36baadf2b073db0f94b8e42c6a547b4a3a97e2fa38ef46e585086,False,False,False,False,False,11,12,0,23755.799999999999,322736,23154.400000000001,53944,22871,21872,266,19264,264.30000000000001,19088,0,0,0,0,0.29999999999999999,40,14.1,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,a58c4ff493cbde2c9fe8cf4202616280dd300279fd64d2bdbe2c7277e4220a4a,False,False,False,False,False,10,12,0,24545.799999999999,322856,24000.099999999999,54072,23358.299999999999,21872,623.39999999999998,19392,621.29999999999995,19216,0,0,0,0,0.29999999999999999,40,15,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7ac6a1f9942ae0fa7d0c3e4c899f63e8e97c5b3a996be7495a500e2443e2adb1,False,False,False,False,False,11,12,0,24431,322736,23777.400000000001,53944,23483.200000000001,21872,274,19264,272.10000000000002,19088,0,0,0,0,0.40000000000000002,40,16.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8408f0cc948a3ddc46def62354c745cc95ec1136a40592936b4db6975573c521,False,False,False,False,False,10,12,0,24670.799999999999,324240,24061.599999999999,54072,23262.400000000001,21872,760.5,19392,757.60000000000002,19216,0,0,0,0,0.59999999999999998,40,33.399999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,de1c644591beb613bd41794ee820f85e868b8692d20ec75aef3660cd60b16d8e,False,False,False,False,False,10,12,0,17877.099999999999,322864,16998.200000000001,54072,16371.299999999999,21872,601,19392,598.70000000000005,19216,0,0,0,0,0.40000000000000002,40,19.800000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,f694653abfaa1d97dc5cf46d03fed56dcee2289dfa5cf5283bbf8208143c8245,False,False,False,False,False,11,12,0,16697.200000000001,322728,16088.1,53944,15784.799999999999,21872,282,19264,279.10000000000002,19088,0,0,0,0,0.5,40,16.5,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,d0c35d0f4aa51d39b11201878f3ac86ed3b680581ab41d7fbb01237b48feddda,False,False,False,False,False,11,12,0,16665.700000000001,324120,16141.200000000001,55328,15853.4,21872,269.30000000000001,19264,267.60000000000002,19088,0,0,0,0,0.40000000000000002,40,13.199999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2209038b754b098fb522f7e5302c7f536cb1063fc005d8cd128a668f273847c2,False,False,False,False,False,10,12,0,16964.299999999999,322856,16463.700000000001,54072,15900.799999999999,21872,546.29999999999995,19392,544.70000000000005,19216,0,0,0,0,0.40000000000000002,40,13,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
