step,presentation_fingerprint,trigger,committed,rollback,unsafe_commit,fallback_commit_violation,shadow_iterations,engine_us,engine_alloc_bytes,orchestrator_us,orchestrator_alloc_bytes,explicit_preparation_us,explicit_preparation_alloc_bytes,sidecar_us,sidecar_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,disagreement_scan_us,disagreement_scan_alloc_bytes,authority_us,authority_alloc_bytes,commit_accounting_us,commit_accounting_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_layout_us,h9_layout_alloc_bytes,h9_initial_residual_us,h9_initial_residual_alloc_bytes,h9_jacobian_build_us,h9_jacobian_build_alloc_bytes,h9_newton_line_search_us,h9_newton_line_search_alloc_bytes,h9_residual_fallback_us,h9_residual_fallback_alloc_bytes,h9_other_us,h9_other_alloc_bytes,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension,jacobian_build_attempts,jacobian_direction_acceptances,jacobian_rejected,residual_fallback_attempts,residual_fallback_acceptances,backtracking_trials
1,cc084e93edb48bb878d8e0e288a1c8792ac70b15d3033aa9912802d1e755518f,False,False,False,False,False,0,47851.699999999997,317512,47185.400000000001,48736,22,7680,23744.700000000001,26480,23741.900000000001,26304,0,0,0,0,0.90000000000000002,40,23414,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7520bc674aa3ea716e3ba2f7b083ae04a4fb70b3d71e10d593eb9fd76d510809,False,False,False,False,False,0,46787.400000000001,342152,46113.099999999999,48736,22.800000000000001,7680,23184.900000000001,26480,23182.599999999999,26304,0,0,0,0,0.40000000000000002,40,22902,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3491746157c36baadf2b073db0f94b8e42c6a547b4a3a97e2fa38ef46e585086,False,False,False,False,False,0,46948.699999999997,317512,46276.199999999997,48736,21.600000000000001,7680,23502.099999999999,26480,23500.099999999999,26304,0,0,0,0,0.40000000000000002,40,22749.400000000001,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,a58c4ff493cbde2c9fe8cf4202616280dd300279fd64d2bdbe2c7277e4220a4a,False,False,False,False,False,0,47216.699999999997,317504,46576.599999999999,48736,22,7680,23003,26480,23001,26304,0,0,0,0,0.29999999999999999,40,23548.299999999999,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7ac6a1f9942ae0fa7d0c3e4c899f63e8e97c5b3a996be7495a500e2443e2adb1,False,False,False,False,False,0,45571.699999999997,317512,44885.800000000003,48736,22.600000000000001,7680,22408,26480,22405.200000000001,26304,0,0,0,0,0.5,40,22452.299999999999,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8408f0cc948a3ddc46def62354c745cc95ec1136a40592936b4db6975573c521,False,False,False,False,False,0,45788.599999999999,317504,45141.400000000001,48736,29.5,7680,22605.5,26480,22603.099999999999,26304,0,0,0,0,0.69999999999999996,40,22502.299999999999,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,de1c644591beb613bd41794ee820f85e868b8692d20ec75aef3660cd60b16d8e,False,False,False,False,False,0,32090.299999999999,318896,31504.099999999999,48736,21.399999999999999,7680,15640.4,26480,15638.4,26304,0,0,0,0,0.29999999999999999,40,15839.6,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,f694653abfaa1d97dc5cf46d03fed56dcee2289dfa5cf5283bbf8208143c8245,False,False,False,False,False,0,32399.400000000001,317504,31802.799999999999,48736,20.5,7680,15995.799999999999,26480,15993.700000000001,26304,0,0,0,0,0.5,40,15783.700000000001,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,d0c35d0f4aa51d39b11201878f3ac86ed3b680581ab41d7fbb01237b48feddda,False,False,False,False,False,0,32209.099999999999,318896,31634.400000000001,50120,21.399999999999999,7680,15666.9,26480,15664.6,26304,0,0,0,0,0.29999999999999999,40,15941.700000000001,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2209038b754b098fb522f7e5302c7f536cb1063fc005d8cd128a668f273847c2,False,False,False,False,False,0,32661.299999999999,317504,32076.5,48736,21.100000000000001,7680,16309.6,26480,16307,26304,0,0,0,0,0.80000000000000004,40,15742.700000000001,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
