metric,value
attribution_steps,256
triggered,20
historical_predictor_fluid_nodes_reused,2709
historical_predictor_fluid_nodes_total,3072
historical_predictor_fluid_node_reuse_fraction,0.8818359375
nontrigger_average_predictor_us,114.23432203389834
predictor_wall_fraction_of_h28_1b,0.29112991793940335
nontrigger_average_predictor_alloc_bytes,19142.237288135595
trigger_average_engine_us,299634.61499999993
trigger_average_h9_us,277483.07500000001
h9_jacobian_wall_share,0.82492986283938219
h9_line_search_wall_share,0.087369094493420882
h9_average_hydraulic_evaluations,35
h9_average_probe_evaluations,32
h9_max_jacobian_dimension,32
primary_trigger_wall_cost_center,h9-jacobian-build-probes
primary_trigger_allocation_center,h9-jacobian-build-probes
deterministic_fingerprint,518BA948637F0C270C7F8228AB97FEF9148E29A4F5CE4376319AB5D1CFBE7F38
jacobian_wall_fraction_of_h28_1b,0.14664117043426333
h9_wall_fraction_of_h28_1b,0.16730955036864581
trigger_engine_wall_fraction_of_h28_1b,0.17633341009953626
probe_applied_fluid_node_reuse_fraction,0.8828125
probe_mapped_fluid_node_reuse_fraction,0.76341145833333335
jacobian_allocation_fraction_of_h28_1b,0.59349298636176973
h9_allocation_fraction_of_h28_1b,0.62553785096953551
h28_1d_cpu_hot_path_optimization_passes,True
