step,presentation_fingerprint,trigger,committed,rollback,unsafe_commit,fallback_commit_violation,historical_predictor_fluid_nodes_reused,historical_predictor_fluid_nodes_total,shadow_iterations,engine_us,engine_alloc_bytes,orchestrator_us,orchestrator_alloc_bytes,explicit_preparation_us,explicit_preparation_alloc_bytes,sidecar_us,sidecar_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,disagreement_scan_us,disagreement_scan_alloc_bytes,authority_us,authority_alloc_bytes,commit_accounting_us,commit_accounting_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_layout_us,h9_layout_alloc_bytes,h9_initial_residual_us,h9_initial_residual_alloc_bytes,h9_jacobian_build_us,h9_jacobian_build_alloc_bytes,h9_newton_line_search_us,h9_newton_line_search_alloc_bytes,h9_residual_fallback_us,h9_residual_fallback_alloc_bytes,h9_other_us,h9_other_alloc_bytes,probe_applied_fluid_nodes_reused,probe_applied_fluid_nodes_total,probe_mapped_fluid_nodes_reused,probe_mapped_fluid_nodes_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension,jacobian_build_attempts,jacobian_direction_acceptances,jacobian_rejected,residual_fallback_attempts,residual_fallback_acceptances,backtracking_trials
1,cc084e93edb48bb878d8e0e288a1c8792ac70b15d3033aa9912802d1e755518f,False,False,False,False,False,11,12,0,11393.4,322760,10809.1,53944,10691.700000000001,21872,96.599999999999994,19264,95.200000000000003,19088,0,0,0,0,0.29999999999999999,40,19.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7520bc674aa3ea716e3ba2f7b083ae04a4fb70b3d71e10d593eb9fd76d510809,False,False,False,False,False,10,12,0,11464.5,322880,10514.1,54072,10330.4,21872,153.09999999999999,19392,150.80000000000001,19216,0,0,0,0,0.5,40,27.199999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3491746157c36baadf2b073db0f94b8e42c6a547b4a3a97e2fa38ef46e585086,False,False,False,False,False,11,12,0,11079.700000000001,322760,10448.299999999999,53944,10322.299999999999,21872,100.8,19264,98.799999999999997,19088,0,0,0,0,0.40000000000000002,40,23.600000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,a58c4ff493cbde2c9fe8cf4202616280dd300279fd64d2bdbe2c7277e4220a4a,False,False,False,False,False,10,12,0,11088.200000000001,322880,10516.200000000001,54072,10347.700000000001,21872,144.90000000000001,19392,143.5,19216,0,0,0,0,0.29999999999999999,40,22,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7ac6a1f9942ae0fa7d0c3e4c899f63e8e97c5b3a996be7495a500e2443e2adb1,False,False,False,False,False,11,12,0,10979.700000000001,322760,10418,53944,10298.4,21872,96.799999999999997,19264,95.299999999999997,19088,0,0,0,0,0.29999999999999999,40,21.399999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8408f0cc948a3ddc46def62354c745cc95ec1136a40592936b4db6975573c521,False,False,False,False,False,10,12,0,10967.799999999999,322880,10432.700000000001,54072,10264.9,21872,146.80000000000001,19392,145.5,19216,0,0,0,0,0.29999999999999999,40,19.600000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,de1c644591beb613bd41794ee820f85e868b8692d20ec75aef3660cd60b16d8e,False,False,False,False,False,10,12,0,7710.6000000000004,322888,7196.3000000000002,54072,7032,21872,143.5,19392,142.40000000000001,19216,0,0,0,0,0.29999999999999999,40,19.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,f694653abfaa1d97dc5cf46d03fed56dcee2289dfa5cf5283bbf8208143c8245,False,False,False,False,False,11,12,0,7637.5,322752,7129,53944,7011.6000000000004,21872,97.099999999999994,19264,95.900000000000006,19088,0,0,0,0,0.29999999999999999,40,18.899999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,d0c35d0f4aa51d39b11201878f3ac86ed3b680581ab41d7fbb01237b48feddda,False,False,False,False,False,11,12,0,7679.6999999999998,322760,7142.3000000000002,53944,7026.6999999999998,21872,94.900000000000006,19264,93.799999999999997,19088,0,0,0,0,0.20000000000000001,40,19.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2209038b754b098fb522f7e5302c7f536cb1063fc005d8cd128a668f273847c2,False,False,False,False,False,10,12,0,7724.5,322880,7204.6999999999998,54072,7040.6999999999998,21872,143.19999999999999,19392,142,19216,0,0,0,0,0.20000000000000001,40,19.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2954e2271777c24e5f3e9d2734ddd12255e4e89a71fc09ac2cb3fd97aca3f894,False,False,False,False,False,10,12,0,7679.3000000000002,322888,7182,54072,7017.6999999999998,21872,144,19392,142.80000000000001,19216,0,0,0,0,0.29999999999999999,40,18.399999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4b1076a8407f2ba13a70eda8abed2cc792b0691accb9c08cbaa1aee6b58a39c1,False,False,False,False,False,11,12,0,7640.6000000000004,322752,7147.6999999999998,53944,7030.8000000000002,21872,96.700000000000003,19264,95.599999999999994,19088,0,0,0,0,0.20000000000000001,40,18.600000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,33c61b21d06d1571b56403c75bae71dc94b946dcaa39c07c4e5f8829d5962f53,False,False,False,False,False,11,12,0,7633.1000000000004,322760,7131.3999999999996,53944,7017.3999999999996,21872,94.299999999999997,19264,93.200000000000003,19088,0,0,0,0,0.20000000000000001,40,18.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,cbf699fec215584475c61f1a50f13bcad21816a35301ca04734b4b775eb89ca4,False,False,False,False,False,11,12,0,7641.6000000000004,322752,7149.6999999999998,53944,7028.1000000000004,21872,101,19264,99.700000000000003,19088,0,0,0,0,0.29999999999999999,40,19.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,a4610d79b4969549334be1b598b0b98cfbd68563b2816ff2e12b5c25803e940e,False,False,False,False,False,11,12,0,7634.1000000000004,322760,7144.3000000000002,53944,7029.5,21872,94.900000000000006,19264,93.599999999999994,19088,0,0,0,0,0.20000000000000001,40,18.399999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9da8f40ee761b61f4edb2ffc025f60f4e4437dc664b44fb7703ab75e51f9298b,False,False,False,False,False,10,12,0,7650.6999999999998,322880,7166.1999999999998,54072,7002.5,21872,144.19999999999999,19392,143,19216,0,0,0,0,0.20000000000000001,40,18.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
