metric,value
attribution_steps,256
triggered,20
trigger_average_engine_us,156670.12
trigger_p95_engine_us,157754
h9_average_total_us,135138.55500000002
h9_average_jacobian_us,119404.49999999997
hydraulic_component_reuse_fraction,0.80902777777777779
jacobian_wall_fraction_of_h28_1d,0.52163553663253903
h9_wall_fraction_of_h28_1d,0.48701548734098471
trigger_engine_wall_fraction_of_h28_1d,0.52287056353619232
estimated_h28_triggered_p95_ratio,21.419125334347122
tail_ready_threshold_us,88381.200000000012
h9_average_total_alloc_bytes,483713.59999999998
h9_average_jacobian_alloc_bytes,419032
deterministic_fingerprint,518BA948637F0C270C7F8228AB97FEF9148E29A4F5CE4376319AB5D1CFBE7F38
h28_1e_cpu_tail_reduction_passes,False
