step,presentation_fingerprint,trigger_observed,corrected_committed,rollback_required,unsafe_commit,fallback_commit_violation,shadow_iterations,engine_us,engine_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_jacobian_us,h9_jacobian_alloc_bytes,h9_line_search_us,h9_line_search_alloc_bytes,probe_applied_reused,probe_applied_total,probe_mapped_reused,probe_mapped_total,probe_hydraulic_components_reused,probe_hydraulic_components_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension
1,cc084e93edb48bb878d8e0e288a1c8792ac70b15d3033aa9912802d1e755518f,False,False,False,False,False,0,11101.4,322968,99.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7520bc674aa3ea716e3ba2f7b083ae04a4fb70b3d71e10d593eb9fd76d510809,False,False,False,False,False,0,11277.299999999999,323088,152.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3491746157c36baadf2b073db0f94b8e42c6a547b4a3a97e2fa38ef46e585086,False,False,False,False,False,0,10852.200000000001,322968,104.2,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,a58c4ff493cbde2c9fe8cf4202616280dd300279fd64d2bdbe2c7277e4220a4a,False,False,False,False,False,0,10803.1,323088,146.5,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7ac6a1f9942ae0fa7d0c3e4c899f63e8e97c5b3a996be7495a500e2443e2adb1,False,False,False,False,False,0,10812.700000000001,322968,101.09999999999999,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8408f0cc948a3ddc46def62354c745cc95ec1136a40592936b4db6975573c521,False,False,False,False,False,0,11032.299999999999,323088,156.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,de1c644591beb613bd41794ee820f85e868b8692d20ec75aef3660cd60b16d8e,False,False,False,False,False,0,7646.1999999999998,323096,144,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,f694653abfaa1d97dc5cf46d03fed56dcee2289dfa5cf5283bbf8208143c8245,False,False,False,False,False,0,7480.8000000000002,322960,91.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,d0c35d0f4aa51d39b11201878f3ac86ed3b680581ab41d7fbb01237b48feddda,False,False,False,False,False,0,7487.8000000000002,322968,92.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2209038b754b098fb522f7e5302c7f536cb1063fc005d8cd128a668f273847c2,False,False,False,False,False,0,7541.8999999999996,323088,141.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2954e2271777c24e5f3e9d2734ddd12255e4e89a71fc09ac2cb3fd97aca3f894,False,False,False,False,False,0,7533.3999999999996,323096,142.30000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4b1076a8407f2ba13a70eda8abed2cc792b0691accb9c08cbaa1aee6b58a39c1,False,False,False,False,False,0,7465.8999999999996,322960,94.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,33c61b21d06d1571b56403c75bae71dc94b946dcaa39c07c4e5f8829d5962f53,False,False,False,False,False,0,7567.1999999999998,322968,94.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,cbf699fec215584475c61f1a50f13bcad21816a35301ca04734b4b775eb89ca4,False,False,False,False,False,0,7818.6999999999998,322960,126,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,a4610d79b4969549334be1b598b0b98cfbd68563b2816ff2e12b5c25803e940e,False,False,False,False,False,0,7937.3999999999996,322968,103.09999999999999,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9da8f40ee761b61f4edb2ffc025f60f4e4437dc664b44fb7703ab75e51f9298b,False,False,False,False,False,0,7816.6000000000004,323088,154.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,72781524603ffc44ab1af1024fe1e44904a88c77b4b5b5426d76b5856aa0dde6,False,False,False,False,False,0,7680.1999999999998,322968,95.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,b3178c0f2be0d698033cee732546d77d7877135f13238c2c6eca9b9369c81882,False,False,False,False,False,0,7591.1000000000004,322960,91.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,efd7c5486457f6b126e99dacd6d9c8f6cf22b944463996440379798cfd759b94,False,False,False,False,False,0,7644.8999999999996,323096,139.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6f50492f8419b412a6b521d32f8c15ec6ad6f36db093ccee58a2949731cf306f,False,False,False,False,False,0,7572.1000000000004,322960,93.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,864c0b06b45ba437cd48e60e10cde177e78b1105e77b899adb4a14f729f1f81b,False,False,False,False,False,0,7653.1000000000004,323096,145.5,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4cfc1aeffd267a1ddab4d6d7528cefd86b397abc5ec9426b8b855f54b5886d93,False,False,False,False,False,0,7612.6000000000004,322960,94.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,b5aeb386a4fca0dbb4a78d6bc6f8960612062af8e0dece0bdcc6990fe3102827,False,False,False,False,False,0,7741.8999999999996,323096,142.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,f73b94700c401d8ad670ad9565947f91d6343bbaebec35912eb23af1b08ef322,False,False,False,False,False,0,7667.6000000000004,322960,99.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,c7a83d9a1599b35f4f635c2df5bc3f60aaddc2b40d31e2a5de130fb23fdd383b,False,False,False,False,False,0,10570.200000000001,324832,144.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,c5d0e26d0ef782ed2b5474745d82b4d48b980ec250a0b2648ad8385448e5b0fd,False,False,False,False,False,0,7661.3000000000002,323864,94.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,bbbf13a79e94ff268cbc4a352615c5b1b87c5d6397aeee5ab5f6131b1703f929,False,False,False,False,False,0,7659.5,323096,144.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,043102df8063304e21770cad7717bc1120478bbc5d94c560b3a14209cef1d58e,False,False,False,False,False,0,7736.3000000000002,322960,93.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,a4fe831464db8aa80a6e357be93806499f3dcf0b7ff08af1c75f0d0481d80fee,False,False,False,False,False,0,7662.6000000000004,322960,103.59999999999999,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7e4dc3f5e8905c0d03407f85c8d0b6c012cb58a909147b6710f28f21372da542,False,False,False,False,False,0,8012.6000000000004,323080,157.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,513fe8290b8e42cddfc325c2ff6420dda168a1833087c6222069a869e7101645,False,False,False,False,False,0,7865,323088,146.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
