metric,value
benchmark_steps_per_mode,256
explicit_median_step_us,3451.3000000000002
corrected_median_step_us,31494
corrected_triggered_average_step_us,1702179.9900000002
corrected_triggered_max_step_us,1747950.3
corrected_triggered_average_allocated_bytes,43460418
median_wall_cost_ratio,9.1252571494799053
p95_wall_cost_ratio,100.01553278882017
median_allocation_ratio,2.0393796281764094
performance_class,unbounded-regression
soak_steps,1536
soak_commits,379
soak_rollbacks,0
soak_trip_steps,0
soak_average_step_us,583871.0374348961
soak_average_allocated_bytes_per_step,13470756.317708334
deterministic_repeat,True
deterministic_fingerprint,518BA948637F0C270C7F8228AB97FEF9148E29A4F5CE4376319AB5D1CFBE7F38
h28_audit_passes,False
