step,presentation_fingerprint,any_trip,trigger_observed,rollback_required,corrected_candidate_committed,shadow_iterations,wall_microseconds,allocated_bytes,mass_closure_kg,energy_closure_j
1,e62eb867a74c7989f4f2636216d8cf532c5e1a5d41539bb8829ed25d14f918c9,False,True,False,True,3,823947.80000000005,1545584,1.4551915228366852E-11,2.7145410967932548E-06
32,f5c32596f91fc081785feba0a1fcda5a86c695804c8c51b77d30796e4ffa9c7c,False,False,False,False,0,7713.1000000000004,322856,7.2759576141834259E-12,2.227183085778961E-05
64,2f34289f6c1f2c3019322cdbfb267a0c7a4be1fc6004e54e1064d9eee5396726,False,False,False,False,0,10778.799999999999,322728,7.2759576141834259E-12,6.154287802928593E-06
96,e097563e98633479ad524ea48392b6a5af65a5380c5c948ff0a3082dae09478d,False,False,False,False,0,7449.6000000000004,322856,0,6.7125278064850136E-06
128,63643e5506a6b99f8106950ecb25a5243e9755b3bc96bf2a60e96c219216f362,False,False,False,False,0,7467.6999999999998,322856,7.2759576141834259E-12,1.7875270259537501E-06
160,3213166aee11438f82a1cd57016eb759448f4283e97bf023d2757a004236e929,False,False,False,False,0,7315.6999999999998,322736,0,1.7461632523918524E-05
192,0b4317a27ff02057339f54b40f55b3a17e135abd9c8e9a50125673efc65bb336,False,False,False,False,0,7291.1000000000004,322864,7.2759576141834259E-12,3.5726793612411711E-06
224,af84bc6bbda149d7c7ad9b88cca595de8a70599aaed235d660002e972edf34a9,False,False,False,False,0,7320.8999999999996,322736,7.2759576141834259E-12,4.9925338316825218E-06
256,9dd16f20a7c979c46902bb15a4fab24348a77f260b316c320319a095a03f7009,False,False,False,False,0,7573.3000000000002,322872,0,1.5600784536218271E-05
288,0ed87db66ed918489d8406fa05c6712f9b63702d5a14dde9562a11657a527297,False,True,False,True,2,519154.90000000002,972408,0,4.4419721234589815E-07
320,eace5551c8612a4544a456061188559da92ab97c2f9c36cb67bdbd1bd44388b7,False,True,False,True,2,539944.5,973584,7.2759576141834259E-12,8.5715691966470331E-07
352,3313216ed2b0cd5b0e1f943d4a89ae669318aea45ec112ad00da2916d7d24f5c,False,True,False,True,2,514169.29999999999,970800,7.2759576141834259E-12,7.5498064688872546E-06
384,78b0f0d5ed4660827d76b8bc8263accaf754d371b4559d1c3c33705be816c418,False,True,False,True,2,552481.59999999998,973584,7.2759576141834259E-12,6.2073922890704125E-06
416,ca199a253a85da502b71d1be9b0e12d5fde94489d0453ced94ef6b7ab4b2c2cd,False,True,False,True,2,385660.20000000001,976608,0,4.145480488659814E-06
448,ab73655c07fd805811ee6b96f7a97cc8de3bf467db4264b60414a38d58c8a98a,False,False,False,False,0,1205,322872,0,9.2006230261176825E-06
480,b759e82820f1257f2b533d4449209dc124004dac1eb82f31d1eaee12cc0a9f76,False,False,False,False,0,1210.0999999999999,322880,7.2759576141834259E-12,6.9067100412212312E-06
512,d44ed44af34d8115ffc9d205599d650417627bd1696a1e073303bea856e3a2a7,False,False,False,False,0,1170,322752,7.2759576141834259E-12,1.3682511053048074E-05
544,67328a12eb734097c3b9e98eff4272524df6594c2633c00cf610bee711d8f7a5,False,False,False,False,0,1207.7,322880,0,1.3096723705530167E-07
576,558dd8cbdd66b804c44d6eef4131ec92e80319b476a3809764b295b056d54970,False,False,False,False,0,1228.8,322880,0,7.1128597483038902E-06
608,28826bd2a9a0be7c855d07aeef0e0a9cef49f3a1694d03d477edc22a0ecf9022,False,False,False,False,0,4461.3000000000002,322872,7.2759576141834259E-12,9.4862625701352954E-06
640,480eaed4cc98da7dec0395afac5c03653d0c8008c45b1e52b307fd4a16527312,False,False,False,False,0,4402.8000000000002,322880,0,2.0966850570403039E-05
672,69e074e280581833bee7ab03fe87f99296aa03c83c520e5854c8f99398e817ac,False,False,False,False,0,4378.1999999999998,322744,1.4551915228366852E-11,4.8089568736031651E-06
704,f46f5dc371ea1d6e479e8dc7c23685f364bcf735d3a89e7e2b70f1174e77fb17,False,False,False,False,0,4400.6999999999998,322872,7.2759576141834259E-12,3.0464725568890572E-06
736,8d68841c5ab617a80c281136ad5e9a002c93cbf29c74342491ae64cbda104389,False,False,False,False,0,4414.3000000000002,322872,7.2759576141834259E-12,1.671981590334326E-05
768,c9a15bb3a9784f0e34673043691c9763070af69ec5182cd6929161a26abd885b,False,False,False,False,0,4456.1000000000004,322880,0,3.0195660656318069E-06
800,a544b71f1300148acb86c50b31449743dde30ca06f664fccb96c5acbba99d9d5,False,True,False,True,2,458859.20000000001,973832,7.2759576141834259E-12,1.061569491866976E-05
832,1f45dc3a8882a9ae23953eb8f07d9e8f4c0c126422d511577fc965ff622f85ea,False,False,False,False,0,4401.6000000000004,322752,0,1.5059689758345485E-05
864,c671b928661cce8911078accfcc40b72473162b79fc4cbaacd406dca0ba5c796,False,True,False,True,2,460404.59999999998,973752,7.2759576141834259E-12,1.4912846381776035E-05
896,b3487fc4d367a8a5086e9a5991fd6c49d0b2ffeea4cf9218cef4ade084429501,False,False,False,False,0,4429.6999999999998,323232,1.4551915228366852E-11,2.1347805159166455E-06
928,e6210065e905e8dbf862fef1782ec45d12aff150c8ac5a8c5e71f4943104efd8,False,False,False,False,0,4381.6000000000004,322744,0,6.2637991504743695E-07
960,12f1eeb63095e774f3125666fd5e9ae1689783f3c194f150594cceb56bda50f0,False,False,False,False,0,4431.8999999999996,323096,1.4551915228366852E-11,3.5885386751033366E-06
