metric,value
benchmark_steps_per_mode,256
explicit_median_step_us,1579.4000000000001
corrected_median_step_us,7244.6999999999998
corrected_triggered_average_step_us,289980.755
corrected_triggered_max_step_us,300543
corrected_triggered_average_allocated_bytes,976424
median_wall_cost_ratio,4.5869950614157275
p95_wall_cost_ratio,38.713649509171638
median_allocation_ratio,1.1156355393376458
performance_class,unbounded-regression
soak_steps,1536
soak_commits,379
soak_rollbacks,0
soak_trip_steps,0
soak_average_step_us,120386.3322265625
soak_average_allocated_bytes_per_step,488071.484375
deterministic_repeat,True
deterministic_fingerprint,518BA948637F0C270C7F8228AB97FEF9148E29A4F5CE4376319AB5D1CFBE7F38
h28_audit_passes,False
