metric,value
benchmark_steps_per_mode,256
explicit_median_step_us,1589.3
corrected_median_step_us,7344.8999999999996
corrected_triggered_average_step_us,80098.805000000008
corrected_triggered_max_step_us,80973.5
corrected_triggered_average_allocated_bytes,646669.19999999995
median_wall_cost_ratio,4.6214685710690242
p95_wall_cost_ratio,10.684444741413872
median_allocation_ratio,1.1164372201028363
performance_class,bounded-but-costly
soak_steps,1536
soak_commits,379
soak_rollbacks,0
soak_trip_steps,0
soak_average_step_us,30296.747851562508
soak_average_allocated_bytes_per_step,404338.55729166669
deterministic_repeat,True
deterministic_fingerprint,518BA948637F0C270C7F8228AB97FEF9148E29A4F5CE4376319AB5D1CFBE7F38
h28_audit_passes,True
