metric,value
qualification_intervals,1024
runtime_steps,1026
triggered,400
candidate_eligible,400
commit_authorized,400
corrected_commits,400
rollbacks,0
explicit_fallbacks,0
fallback_commit_violations,0
unsafe_commits,0
untargeted_disagreements,0
deterministic_repeat,True
activation_telemetry_fingerprint,BB16A2395682226B6E037901317D70B4A12E8E5C184CFC0E7C4B044643B05D68
candidate_initial_condition_version,3
explicit_rollback_initial_condition_version,2
full_replay_equivalent,True
checkpoint_equivalent,True
candidate_version_preserved,True
explicit_version_still_loadable,True
operator_diagnostics_exposed,False
h29_audit_passes,True
