logical_step,simulated_seconds,presentation_fingerprint,trip,breaker,request_mwe,gross_mwe,rotor_shaft_mwe,canonical_shaft_mwe,total_steam_flow_kg_s,stop_flow_kg_s,control_flow_kg_s,admission_flow_kg_s,rotor_rpm,condenser_kpa,drum_level_fraction,total_fluid_mass_kg,total_fluid_internal_energy_j,exhaust_mass_kg,hotwell_mass_kg,feedwater_mass_kg,drum_inventory_mass_kg,header_mass_kg
0,0,4a9e8e65dfa2ec30cdbe7a54c91e550060647fca6d958877e38d8e5db7de7148,False,True,5,4.9985129335187679,5.4570989888022776,5.4570989888022776,12.691206496227831,12.819387575711477,13.263196330522188,14.007925502739077,2999.9123441712945,7.387485504878204,0.49989257627427752,60009.396410760739,68845361502.151321,51.811905859597083,9921.6536018361603,9921.7104780504742,3916.7025372751427,3266.1181339070558
100,1,d929a8e5f039ea7c48b87b9da1a754b73d6f42287400b81cafde2b80348beec6,False,True,5,4.8673306458855761,5.4736897643279381,5.4736897643279381,12.73762881591354,12.865098095103109,13.917130353637324,13.883971489460777,2998.0892547452286,7.5289031075237967,0.50114837433582204,60009.396410760775,68844759050.567352,54.12015167553789,9918.7895041466509,9920.6408524855833,3930.6329673132013,3265.6545622312269
200,2,f799ed3264a0919f0e346119f136302bf35163174be9c0960ace5413ee5b43c4,False,True,5,4.8206702723507044,5.4496288642367618,5.4496288642367618,12.677826564804459,12.803667221345449,13.448354616404611,13.76450112759953,2998.9940221800775,7.6428259157796248,0.50279769201829339,60009.396410760768,68842634050.688446,56.011112277262562,9916.3474521136959,9918.1414786368514,3946.4245384689571,3264.0643910002464
300,3,096a553d79794b3c616547b67d23848d53af4d7a943337ef67894db560f92159,False,True,5,4.7967038612448443,5.3857614663576605,5.3857614663576605,12.527795701598887,12.651171689699066,13.408756885710149,13.632190424570798,2999.3355965492419,7.7210934760147003,0.50467255812336309,60009.396410760775,68839271883.369934,57.463541598730977,9914.2406222338504,9914.6176850431366,3963.3487993150884,3261.5829573965848
400,4,596e01868a3d75d6051963003802514dbcebcd5ac7f464ae9cc7314fae08fea3,False,True,5,4.7346229967690832,5.3067105465522522,5.3067105465522522,12.346353271113735,12.46695435306429,13.738323984779793,13.520338974875472,2998.7410745555994,7.7632640058072839,0.50674283550881749,60009.396410760761,68834951657.373154,58.503067828689431,9912.3832220607346,9910.4835311328807,3981.0399418688112,3258.3939739730263
500,5,90058f7576c69f2d9cbe5eccc95b6563e9801ad8777b3c42ca6bda6c433f02de,False,True,5,4.6455074658562445,5.2246276166010999,5.2246276166010999,12.157887355278499,12.275600963872488,14.010717209067728,13.435032666197198,2998.1247098219274,7.774234592357665,0.50893130144651011,60009.396410760746,68829911414.400269,59.188994245201705,9910.6995421306274,9906.1430256362455,3998.8631030274819,3254.6399418601472
600,6,ebf27254444867bca46992151add7076702961e5c100d11650cbc3414dd166d4,False,True,5,4.557221304148058,5.140233455287528,5.140233455287528,11.962861570315507,12.077556328956135,14.162274376910855,13.36296957929518,2997.7841693235719,7.7590175454731414,0.51119494105477059,60009.396410760746,68824354590.335373,59.578026384633709,9909.1261137131896,9901.9686531559255,4016.4633309166093,3250.4438160752752
700,7,8f2ee8a360a69e54fcd9b3a3dd565b9e3b060bd2aade4c618e261d664b640d61,False,True,5,4.4789970681859446,5.0553991773690168,5.0553991773690168,11.766735952687377,11.878324169795775,14.338003824000086,13.298052252692338,2997.4498978356742,7.7219135638587746,0.51347947222833623,60009.396410760753,68818456846.499268,59.718364002328478,9907.6097271900435,9898.3285418494852,4033.4282931246066,3245.9189857070423
800,8,a8399ac2cf101ce6be4bc18be1a9084040b27ffc085f2b40bfedab6df7e0e544,False,True,5,4.4142604053003467,4.9762489969292005,4.9762489969292005,11.58484799042014,11.693387875095834,14.659459126472463,13.246506810390217,2996.8428254052887,7.6678633117747728,0.51574268324319894,60009.396410760761,68812364229.085648,59.659817833668953,9906.106462954167,9895.6023205144193,4049.4312742534162,3241.1539446887859
900,9,d5fd8e6928333f2005ab32dec3383aff13303483650c1feded3f6a77bfb46894,False,True,5,4.3795807292471691,4.9123051684521135,4.9123051684521135,11.44052135304158,11.546290773269995,15.289485276851597,13.22480686110781,2995.6502270136598,7.6033854900785034,0.5179291594600669,60009.396410760753,68806186953.96167,59.461231053140466,9904.5826619033578,9894.2203543064115,4064.0431486316711,3236.2069877101767
1000,10,347b4f8745a69cc7d0575f516c774a55a30c92319254dc98b4bbd1cff6805b5b,False,True,5,4.4257546817061444,4.8812024166615693,4.8812024166615693,11.378155665793265,11.481835931357377,16.7219051805627,13.271738571179252,2992.9868981379013,7.5379061952579702,0.51997706222538931,60009.396410760761,68799988756.985367,59.200464493308594,9903.0175233144037,9894.746067625143,4076.7424666358875,3231.0949466319485
1100,11,07301f0480a5023c26fcdec4056a37f88bccc2047baf22496e4ab28ef51890c0,False,True,5,4.6702933460227749,4.9283668391574995,4.9283668391574995,11.514094990152751,11.617392446633646,20.352520627388948,13.492587225401101,2986.1982104221893,7.4886375165607122,0.52167726668838799,60009.396410760761,68793754855.621597,59.009342897441769,9901.4097831593026,9897.9844529044676,4086.7240929358322,3225.8056453815716
1200,12,e5103d182907f29a86c63ba96c8294d3fde04b9af4bce92059a5eaaad729c49d,False,True,5,4.6154460364347445,5.1403681161260639,5.1403681161260639,12.048594766071643,12.15493856618547,24.027430299582189,14.030506214038024,2976.5230382676796,7.4929681270066046,0.52283893687734095,60009.396410760746,68787304955.691086,59.16326941492536,9899.797214452361,9902.9701376415414,4094.953307207405,3220.8706245248827
