mode,dependency_kind,file
DeterministicHybridSemiImplicit,source,src/NuclearReactorSimulator.Application/Scenarios/PreStartup/ColdShutdownInitialConditionFactory.cs
DeterministicHybridSemiImplicit,source,src/NuclearReactorSimulator.Domain/Plant/HydraulicNumericalCouplingDefinition.cs
DeterministicHybridSemiImplicit,source,src/NuclearReactorSimulator.Domain/Plant/HydraulicNumericalCouplingMode.cs
DeterministicHybridSemiImplicit,source,src/NuclearReactorSimulator.Simulation/Plant/PlantNetworkOrchestrator.cs
DeterministicHybridSemiImplicit,test,tests/NuclearReactorSimulator.Application.Tests/Scenarios/Gameplay/PhaseIAuditConsolidationCiBaselineAuditTests.cs
DeterministicHybridSemiImplicit,test,tests/NuclearReactorSimulator.Application.Tests/Scenarios/Gameplay/ProfileCompatibilityLegacyRetirementInventoryAuditTests.cs
DeterministicHybridSemiImplicit,test,tests/NuclearReactorSimulator.Domain.Tests/Plant/HydraulicNumericalCouplingDefinitionTests.cs
DeterministicHybridSemiImplicit,test,tests/NuclearReactorSimulator.Simulation.Tests/Plant/HybridPlantNetworkProductionIntegrationTests.cs
FourNodeBranchContinuityShadowIntegrated,source,src/NuclearReactorSimulator.Application/Scenarios/PreStartup/ColdShutdownInitialConditionFactory.cs
FourNodeBranchContinuityShadowIntegrated,source,src/NuclearReactorSimulator.Domain/Plant/HydraulicNumericalCouplingDefinition.cs
FourNodeBranchContinuityShadowIntegrated,source,src/NuclearReactorSimulator.Domain/Plant/HydraulicNumericalCouplingMode.cs
FourNodeBranchContinuityShadowIntegrated,source,src/NuclearReactorSimulator.Simulation/Plant/PlantNetworkOrchestrator.cs
FourNodeBranchContinuityShadowIntegrated,test,tests/NuclearReactorSimulator.Application.Tests/Scenarios/Gameplay/FourNodeOrchestratorShadowIntegrationAuditTests.cs
FourNodeBranchContinuityShadowIntegrated,test,tests/NuclearReactorSimulator.Application.Tests/Scenarios/Gameplay/PhaseIAuditConsolidationCiBaselineAuditTests.cs
FourNodeBranchContinuityShadowIntegrated,test,tests/NuclearReactorSimulator.Application.Tests/Scenarios/Gameplay/ProfileCompatibilityLegacyRetirementInventoryAuditTests.cs
FourNodeBranchContinuityShadowIntegrated,test,tests/NuclearReactorSimulator.Domain.Tests/Plant/HydraulicNumericalCouplingDefinitionTests.cs
