metric,value
initial_loaded_mwe,5.1379514776456547
trip_steps,0
breaker_open_steps,0
request_violation_steps,0
shaft_violation_steps,0
reverse_admission_steps,0
stable_gross_violations,0
stable_rotor_violations,0
stable_shaft_violations,0
stable_reverse_admission_violations,0
minimum_stable_gross_mwe,4.49895163786615
minimum_stable_shaft_mw,5.091457952202167
minimum_stable_rotor_rpm,2998.7683197564124
maximum_stable_rotor_rpm,3003.8189758791232
minimum_stable_admission_kg_s,12.754774927059563
stabilization_gross_mwe,3.8747397307762608
stabilization_rotor_rpm,2978.6055039481612
final_gross_mwe,4.6149367436954929
final_shaft_mw,5.2087234076995177
final_rotor_rpm,3000.4015162092605
qualification_passes,True
