domain,observable,units,reference_mean,reference_slope_per_s,diagnostic_guard_per_s,load_window1_slope,load_window2_slope,load_window3_slope,load_window4_slope,persistent_direction,load_specific_persistent
"NEUTRONICS-THERMAL-SOURCE","total-reactivity","dk/k/s",0,0,9.9999999999999998E-13,6.5455921172460426E-09,7.1396901672240761E-09,-5.1980510414560343E-09,-1.9606233011477814E-09,False,False
"NEUTRONICS-THERMAL-SOURCE","neutron-population","relative/s",0.32971176506557137,0,9.9999999999999998E-13,-2.6942500152269341E-08,1.2738549589502748E-08,5.9464924660461696E-09,-1.0699553893259203E-08,False,False
"NEUTRONICS-THERMAL-SOURCE","fission-power","MW/s",32.971176506557299,0,3.2971176506557301E-11,-2.6942500152255194E-06,1.2738549589502457E-06,5.9464924660479488E-07,-1.0699553893266074E-06,False,False
"NEUTRONICS-THERMAL-SOURCE","reactor-thermal-power","MW/s",32.971176506557299,0,3.2971176506557301E-11,-2.6942500152255194E-06,1.2738549589502457E-06,5.9464924660479488E-07,-1.0699553893266074E-06,False,False
"NEUTRONICS-THERMAL-SOURCE","thermal-body-stored-energy","J/s",17033542707.809292,0.0040826432877139173,0.040826432877139177,150371.21666074061,143616.13197741026,136540.06020046968,127988.63565940794,True,True
"PRIMARY-INVENTORY-HYDRAULIC","total-plant-mass","kg/s",53826.559039989363,1.5169837746919756E-13,5.3826559039989363E-08,-2.3498532117621117E-13,3.165885178406682E-15,-5.4009063343105488E-13,3.9823052004357346E-13,False,False
"PRIMARY-INVENTORY-HYDRAULIC","thermofluid-stored-energy","J/s",79708056441.694763,0.080541197687052396,0.8054119768705239,1477817.1911963741,1437338.3746299585,1397326.7886640297,1317398.4730515759,True,True
"PRIMARY-INVENTORY-HYDRAULIC","drum-mass","kg/s",3918.0095370789732,-4.640548614096147E-09,4.640548614096147E-08,-0.051271310055233721,-0.049636133430419456,-0.047746229922523725,-0.039412813136745002,True,True
"PRIMARY-INVENTORY-HYDRAULIC","drum-internal-energy","J/s",4825952447.4463453,-0.0051522016436093051,0.051522016436093054,-40456.599912180842,-39228.325708233817,-37770.20527125513,-29777.029059127923,True,True
"PRIMARY-INVENTORY-HYDRAULIC","drum-level","fraction/s",0.49999999980140808,-6.0857375732107202E-13,6.0857375732107204E-12,-6.4398808915132751E-06,-6.2443129981418209E-06,-6.0147975777895842E-06,-4.9095827957630216E-06,True,True
"PRIMARY-INVENTORY-HYDRAULIC","primary-channel-flow","kg/s2",100.000000592402,2.2718780473610304E-09,2.2718780473610302E-08,0.047075542638435164,0.042649196651207526,0.038831459729540052,0.034203807960188563,True,True
"PRIMARY-INVENTORY-HYDRAULIC","primary-return-flow","kg/s2",100.00000055502333,2.0216484594626305E-09,2.0216484594626303E-08,0.047143576203694658,0.042707706215845319,0.03888333577123701,0.034898058459726225,True,True
"STEAM-PATH-TURBINE","turbine-inlet-pressure","MPa/s",3.8162526464187638,2.0086340549985961E-11,2.0086340549985962E-10,7.2670297824822415E-05,7.0561317050332037E-05,6.8303742007091322E-05,6.4511112803649999E-05,True,True
"STEAM-PATH-TURBINE","stage-steam-flow","kg/s2",13.028001866834222,-6.2096542022630283E-11,6.2096542022630281E-10,9.6292688982002627E-05,9.515720482297989E-05,9.2067201085296199E-05,8.4591014254220448E-05,True,True
"STEAM-PATH-TURBINE","control-valve-position","percent/s",29.281329704979029,1.7639600834109535E-11,1.7639600834109535E-10,-1.5878750147346214E-05,-1.5585546205883031E-05,-1.5031804899580637E-05,-1.2789171088140267E-05,True,True
"STEAM-PATH-TURBINE","shaft-power","MW/s",5.6020408027348996,-2.669820360966448E-11,2.6698203609664479E-10,4.140585625786355E-05,4.0917598072129562E-05,3.958889646625701E-05,3.6374135895209996E-05,True,True
"STEAM-PATH-TURBINE","rotor-kinetic-energy","J/s",49348022.005427822,2.1055772546830002E-08,4.9348022005427824E-05,0.00035812943371790344,-0.0022902021408120793,-0.0032650098685197077,-0.036712716780753184,True,True
"CONTROL-ACTUATOR-MEMORY","flow-controller-integral","controller-unit/s",0,0,9.9999999999999998E-13,0,0,0,0,False,False
"CONTROL-ACTUATOR-MEMORY","speed-controller-integral","controller-unit/s",28.531329702675947,1.0871464043862416E-11,1.0871464043862416E-10,-1.5867941795675083E-05,-1.565518272870072E-05,-1.513105963679872E-05,-1.3909135750731565E-05,True,True
"CONTROL-ACTUATOR-MEMORY","level-controller-integral","controller-unit/s",96.930826801569438,0,9.693082680156944E-11,1.6971543597248497E-05,1.8875132207847908E-05,2.0714506244609786E-05,2.2458156427401872E-05,True,True
"CONTROL-ACTUATOR-MEMORY","hotwell-controller-integral","controller-unit/s",42.96651536716805,-1.4305247820250492E-11,1.4305247820250491E-10,-4.4119654658360891E-06,-4.9883770708769904E-06,-5.491632222441124E-06,-5.9453980424876938E-06,True,True
"ELECTROMECHANICAL-GRID","electrical-output","MW/s",4.9999999865389801,-2.7886135120028435E-11,2.7886135120028438E-10,4.0577748499726881E-05,4.0099273974465947E-05,3.8797152171022366E-05,3.5647701518432889E-05,True,True
"ELECTROMECHANICAL-GRID","frequency-slip","Hz/s",-9.5823651708181385E-12,1.066674552743058E-14,9.9999999999999998E-13,1.8143044360424863E-10,-1.1602296529837235E-09,-1.6540729041804283E-09,-1.8598876050204143E-08,True,True
"ELECTROMECHANICAL-GRID","phase-lead","rad/s",-2.7430913407842838E-08,-5.6918056901771015E-11,5.6918056901771015E-10,8.3084354651352698E-05,8.197030864211446E-05,7.9225991034255543E-05,7.2827480196936101E-05,True,True
"ELECTROMECHANICAL-GRID","dispatch-adequacy","MW/s",-1.3591426698017403E-08,-2.6698283556860877E-11,2.6698283556860877E-10,4.1405852628251416E-05,4.0917621276331387E-05,3.9588929547629205E-05,3.6374507819774547E-05,True,True
