point_id,source_family,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,specific_volume_m3_kg,specific_u_j_kg,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa
VR2-SAT-100C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,100,0.10141797792130998,0.001043455456610527,418993.3298552427,0,True,SaturatedMixture,99.77026608969368,0.10058934363450664
VR2-SAT-100C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,100,0.10141797792130998,0.8364520282753248,1462504.3187734073,0.5,True,SaturatedMixture,99.96892209191117,0.1013055526372657
VR2-SAT-100C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,100,0.10141797792130998,1.6718606010940391,2506015.307691572,1,True,SaturatedMixture,99.98077890633601,0.10134843284666664
VR2-SAT-125C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,125,0.2322241826800685,0.0010649377400703997,524814.5018892476,0,True,SaturatedMixture,124.9658117029241,0.23197999498003188
VR2-SAT-125C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,125,0.2322241826800685,0.38558871468977446,1529540.607351102,0.5,True,SaturatedMixture,125.1820166951104,0.23352775025083297
VR2-SAT-125C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,125,0.2322241826800685,0.7701124916394786,2534266.7128129564,1,True,SuperheatedVapor,132.1964804261504,0.2367570588962374
VR2-SAT-150C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,150,0.476101381081492,0.001090504710654504,631732.3693119147,0,True,SubcooledLiquid,150.4224688837893,1.4226290564504718
VR2-SAT-150C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,150,0.476101381081492,0.19679645923583097,1595390.285313866,0.5,True,SaturatedMixture,150.5000030446855,0.4825162243477674
VR2-SAT-150C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,150,0.476101381081492,0.3925024137610075,2559048.201315818,1,True,SuperheatedVapor,165.79292816075508,0.4958863293473774
VR2-SAT-175C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,175,0.8924474776743476,0.0011207147577429488,740150.5078842649,0,True,SubcooledLiquid,176.23631140101554,4.124502364235078
VR2-SAT-175C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,175,0.8924474776743476,0.10886224715746495,1659773.7763967717,0.5,True,SaturatedMixture,175.9502565171756,0.9126153362405363
VR2-SAT-175C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,175,0.8924474776743476,0.21660377955718696,2579397.0449092784,1,True,SuperheatedVapor,199.76967149954294,0.9495150203443967
VR2-SAT-200C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,200,1.5546718682698253,0.0011565138833287323,850595.0684837446,0,True,SubcooledLiquid,202.53263535327255,9.218558018049615
VR2-SAT-200C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,200,1.5546718682698253,0.06418941763973798,1722433.834202726,0.5,True,SaturatedMixture,201.56856869129012,1.6063370820404066
VR2-SAT-200C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,200,1.5546718682698253,0.12722232139614725,2594272.599921707,1,True,SuperheatedVapor,234.22352654692247,1.6901877722969543
VR2-SAT-225C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,225,2.5494249493555277,0.0011993967762301523,963780.6362751281,0,True,SubcooledLiquid,229.4815800655067,18.42376064293026
VR2-SAT-225C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,225,2.5494249493555277,0.039805227773085455,1783067.590768862,0.5,True,SaturatedMixture,227.40850631257058,2.666379148779229
VR2-SAT-225C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,225,2.5494249493555277,0.07841105876994076,2602354.545262596,1,True,SuperheatedVapor,269.49580423141845,2.8344050075956306
VR2-SAT-250C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,250,3.9759390708353273,0.0012517369112361738,1080709.9829882937,0,True,SubcooledLiquid,257.32190071149864,35.15945112418487
VR2-SAT-250C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,250,3.9759390708353273,0.025669150951393178,1841290.4613580322,0.5,True,SaturatedMixture,253.55723052405995,4.220336881719068
VR2-SAT-250C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,250,3.9759390708353273,0.05008656499155018,2601870.9397277706,1,True,SuperheatedVapor,306.3740277834843,4.52543429377887
VR2-SAT-280C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,280,6.416459281680371,0.001332845339067766,1228118.8528565494,0,True,SubcooledLiquid,292.41925068013086,76.74796636892539
VR2-SAT-280C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,280,6.416459281680371,0.01574340520214535,1907230.813085596,0.5,True,SaturatedMixture,285.5646477803099,6.972589056103352
VR2-SAT-280C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,280,6.416459281680371,0.03015396506522294,2586342.7733146427,1,True,SuperheatedVapor,354.3040764557196,7.468265653186465
VR2-SAT-300C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,300,8.587708329557264,0.001404222962488566,1332712.2817882115,0,True,SubcooledLiquid,317.3224480448124,135.98055860756963
VR2-SAT-300C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,300,8.587708329557264,0.01153364385447162,1948124.9713826599,0.5,True,SaturatedMixture,307.5415223197873,9.538065523985482
VR2-SAT-300C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,300,8.587708329557264,0.02166306474645467,2563537.660977108,1,True,SuperheatedVapor,388.5290651940138,9.980853790397466
VR2-SAT-340C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,340,14.600181056805258,0.001637513682568878,1570538.5736222756,0,False,,,
VR2-SAT-340C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,340,14.600181056805258,0.0062106731013628555,2017579.7069944867,0.5,True,SaturatedMixture,356.109714253112,17.8085261477237
VR2-SAT-340C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,340,14.600181056805258,0.010783832520156833,2464620.840366698,1,False,,,
VR2-SAT-360C-PONLY,SATURATION-PRESSURE-ONLY,REGION-4,BOUNDARY-ONLY,360,18.666403421371236,,,,False,,,
