probe_id,logical_step,elapsed_s,node_id,production_phase,production_quality,production_density_kg_m3,production_u_j_kg,production_temperature_c,production_pressure_mpa,reference_resolved,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,reference_minus_production_pressure_mpa
background-reference,0,0,suction,SubcooledLiquid,,750.4377202844439,1175957.9999999872,279.99999999999693,6.416459281680081,true,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,-0.9698014602869396
background-reference,0,0,pressure,SubcooledLiquid,,750.3222372685412,1176622.859275835,280.15829982757975,6.916459281977653,true,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208173814,-1.458248599514259
background-reference,0,0,outlet,SaturatedMixture,0.21514191260962645,137.52501573325486,1467078.0884115456,282.54532551462273,6.666459282132472,true,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745729760766,-0.703342116221565
background-reference,0,0,drum,SaturatedMixture,0.042322749720054995,391.80095385642517,1231735.7580415057,279.999999989397,6.416459280654079,true,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469875386214,-0.8781914106788458
background-reference,0,0,feedwater-inventory,SubcooledLiquid,,989.1562750380147,198947.65239648888,47.37848866583073,0.01748489976289241,true,REGION-1,SubcooledLiquid,47.52114057847865,0.12181746458054063,,0.10433256481764822
background-reference,6000,60,suction,SubcooledLiquid,,750.4377202844439,1175958.0000004012,280.0000000000956,6.416459282186419,true,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,-0.9698014607932777
background-reference,6000,60,pressure,SubcooledLiquid,,750.3222372682294,1176622.8592757045,280.1582998275487,6.916459280898974,true,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208333786,-1.4582485984355795
background-reference,6000,60,outlet,SaturatedMixture,0.21514191267031707,137.5250157016126,1467078.0883814313,282.54532551462273,6.666459282132472,true,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745735097625,-0.703342116221565
background-reference,6000,60,drum,SaturatedMixture,0.042322749749427555,391.8009538455177,1231735.7580728983,280.0000000321028,6.4164592847876225,true,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046987747153,-0.878191414812389
background-reference,6000,60,feedwater-inventory,SubcooledLiquid,,989.1562750380396,198947.6523960508,47.37848866572642,0.017484899717404953,true,REGION-1,SubcooledLiquid,47.52114057842988,0.12181746458051382,,0.10433256486310886
