probe_id,logical_step,elapsed_s,path_id,from_node,to_node,resistance_pa_s2_kg2,active_boost_pa,production_driving_pa,if97_driving_pa,canonical_flow_kg_s,production_formula_flow_kg_s,if97_pressure_only_counterfactual_flow_kg_s,reference_resolved,driving_pressure_sign_changed,abs_counterfactual_flow_shift_kg_s
background-reference,0,0,MCP,suction,pressure,50,1000000,499999.99970242754,988447.1389297467,99.99999997333269,99.99999997024275,140.60207245483593,true,false,40.60207248150324
background-reference,0,0,CHANNEL,pressure,outlet,25,0,249999.9998451816,-504906.4834475123,99.99999996288139,99.99999996903631,-142.11354382289005,true,true,242.11354378577144
background-reference,0,0,RETURN,outlet,drum,25,0,250000.00147839263,424849.29593567335,100.00000029567853,100.00000029567853,130.36092910618171,true,false,30.360928810503182
background-reference,0,0,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.629227658,177935.2483364707,1160459.223832965,13.339237172210026,13.339237172210062,34.06551370276052,true,false,20.726276530550493
background-reference,6000,60,MCP,suction,pressure,50,1000000,500000.0012874445,988447.1389297467,100.000000003839,100.00000012874445,140.60207245483593,true,false,40.60207245099693
background-reference,6000,60,CHANNEL,pressure,outlet,25,0,249999.99876650237,-504906.4834475123,100.00000043029934,99.99999975330047,-142.11354382289005,true,true,242.1135442531894
background-reference,6000,60,RETURN,outlet,drum,25,0,249999.99734484963,424849.29593567335,99.99999987008255,99.99999946896993,130.36092910618171,true,false,30.360929236099167
background-reference,6000,60,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.629428994,177935.24435877614,1160459.224034274,13.339237023112535,13.339237023112535,34.065513705715254,true,false,20.72627668260272
background-reference,12000,120,MCP,suction,pressure,50,1000000,500000.0009999396,988447.1389297467,100.00000010143063,100.00000009999395,140.60207245483593,true,false,40.602072353405305
background-reference,12000,120,CHANNEL,pressure,outlet,25,0,250000.0005029831,-504906.4834475123,100.00000009932015,100.00000010059662,-142.11354382289005,true,true,242.1135439222102
background-reference,12000,120,RETURN,outlet,drum,25,0,250000.00147839263,424849.29593567335,100.00000029567853,100.00000029567853,130.36092910618171,true,false,30.360928810503182
background-reference,12000,120,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.629499984,177935.24846005347,1160459.224105158,13.339237176842365,13.339237176842365,34.06551370675567,true,false,20.7262765299133
background-reference,18000,180,MCP,suction,pressure,50,1000000,500000.00095517095,988447.1389297467,100.00000009616716,100.0000000955171,140.60207245483593,true,false,40.60207235866878
background-reference,18000,180,CHANNEL,pressure,outlet,25,0,250000.00048257317,-504906.4834475123,100.00000009680781,100.00000009651463,-142.11354382289005,true,true,242.11354391969786
background-reference,18000,180,RETURN,outlet,drum,25,0,250000.00147839263,424849.29593567335,100.00000029567853,100.00000029567853,130.36092910618171,true,false,30.360928810503182
background-reference,18000,180,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.630267943,177935.24883151706,1160459.2248730334,13.339237190766049,13.339237190766084,34.06551371802623,true,false,20.726276527260183
background-reference,24000,240,MCP,suction,pressure,50,1000000,500000.00058290176,988447.1389297467,100.00000018385984,100.00000005829018,140.60207245483593,true,false,40.602072270976095
background-reference,24000,240,CHANNEL,pressure,outlet,25,0,250000.00218145922,-504906.48726618127,99.99999976134636,100.00000043629184,-142.11354436030103,true,true,242.1135441216474
background-reference,24000,240,RETURN,outlet,drum,25,0,250000.00147839263,424849.2997543423,100.00000072127246,100.00000029567853,130.36092969204267,true,false,30.360928970770217
background-reference,24000,240,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.629947507,177935.2485101223,1160459.2245521983,13.339237178719115,13.339237178719115,34.065513713317145,true,false,20.72627653459803
background-reference,30000,300,MCP,suction,pressure,50,1000000,500000.0020553693,988447.1389297467,100.00000033101328,100.00000020553694,140.60207245483593,true,false,40.60207212382265
background-reference,30000,300,CHANNEL,pressure,outlet,25,0,250000.00078936107,-504906.4853568499,99.99999990880563,100.00000015787222,-142.113544091596,true,true,242.11354400040165
background-reference,30000,300,RETURN,outlet,drum,25,0,250000.00360636227,424849.29784501094,100.00000072127246,100.00000072127246,130.36092939911268,true,false,30.36092867784022
background-reference,30000,300,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.630247994,177935.24861610215,1160459.224852291,13.339237182691566,13.339237182691601,34.06551371772178,true,false,20.726276535030213
background-reference,36000,360,MCP,suction,pressure,50,1000000,500000.0036103651,988447.1389297467,100.00000036006765,100.00000036103651,140.60207245483593,true,false,40.60207209476829
background-reference,36000,360,CHANNEL,pressure,outlet,25,0,250000.00179297943,-504906.4853568499,100.00000035644844,100.00000035859588,-142.113544091596,true,true,242.11354444804442
background-reference,36000,360,RETURN,outlet,drum,25,0,250000.00360636227,424849.29784501094,99.99999989456386,100.00000072127246,130.36092939911268,true,false,30.36092950454882
background-reference,36000,360,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.631186489,177935.24936289527,1160459.2257902846,13.339237210683912,13.339237210683947,34.065513731489276,true,false,20.726276520805364
background-reference,42000,420,MCP,suction,pressure,50,1000000,500000.0041281963,988447.1389297467,100.00000053991201,100.00000041281963,140.60207245483593,true,false,40.602071914923926
background-reference,42000,420,CHANNEL,pressure,outlet,25,0,250000.0039517535,-504906.4853568499,100.00000011285562,100.0000007903507,-142.113544091596,true,true,242.1135442044516
background-reference,42000,420,RETURN,outlet,drum,25,0,249999.99947281927,424849.29784501094,100.00000114687066,99.99999989456386,130.36092939911268,true,false,30.36092825224202
background-reference,42000,420,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.631146566,177935.2447665343,1160459.2257498568,13.339237038396698,13.339237038396698,34.065513730895894,true,false,20.726276692499198
background-reference,48000,480,MCP,suction,pressure,50,1000000,500000.0064547956,988447.1389297467,100.00000075982659,100.00000064547956,140.60207245483593,true,false,40.60207169500934
background-reference,48000,480,CHANNEL,pressure,outlet,25,0,250000.0030141482,-504906.4853568499,100.00000037672613,100.00000060282964,-142.113544091596,true,true,242.11354446832212
background-reference,48000,480,RETURN,outlet,drum,25,0,250000.00160081033,424849.29784501094,100.00000114687066,100.00000032016206,130.36092939911268,true,false,30.36092825224202
background-reference,48000,480,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.631778916,177935.24507941306,1160459.2263815366,13.339237050124458,13.339237050124458,34.06551374016744,true,false,20.72627669004298
background-reference,54000,540,MCP,suction,pressure,50,1000000,500000.00832273904,988447.1389297467,100.00000083033684,100.00000083227391,140.60207245483593,true,false,40.60207162449909
background-reference,54000,540,CHANNEL,pressure,outlet,25,0,250000.0041556917,-504906.48726618127,100.00000083172098,100.00000083113834,-142.11354436030103,true,true,242.113545192022
background-reference,54000,540,RETURN,outlet,drum,25,0,250000.00573435333,424849.2997543423,100.00000032016206,100.00000114687066,130.36092969204267,true,false,30.360929371880616
background-reference,54000,540,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.633016028,177935.25008551218,1160459.2276178766,13.339237237770089,13.339237237770089,34.06551375831395,true,false,20.72627652054386
background-reference,60000,600,MCP,suction,pressure,50,1000000,500000.01088464167,988447.1389297467,100.00000097387097,100.00000108846416,140.60207245483593,true,false,40.602071480964966
background-reference,60000,600,CHANNEL,pressure,outlet,25,0,250000.00352867506,-504906.48726618127,100.00000135723388,100.000000705735,-142.11354436030103,true,true,242.11354571753492
background-reference,60000,600,RETURN,outlet,drum,25,0,250000.0078623118,424849.2997543423,100.00000032016206,100.00000157246235,130.36092969204267,true,false,30.360929371880616
background-reference,60000,600,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6576909.634069316,177935.2505879728,1160459.228670353,13.339237256604022,13.339237256604022,34.06551377376177,true,false,20.72627651715775
exact-v9-5-to-6mwe,2784,0,MCP,suction,pressure,50,1000000,581902.5411647381,990707.2586787464,107.86984523242108,107.87979803139586,140.76272650661087,true,false,32.89288127418979
exact-v9-5-to-6mwe,2784,0,CHANNEL,pressure,outlet,25,0,290837.040269264,-565552.8717922138,107.84867014590101,107.85861862072294,-150.40649876813353,true,true,258.2551689140345
exact-v9-5-to-6mwe,2784,0,RETURN,outlet,drum,25,0,282239.9325535977,458774.7130895057,106.24742123397387,106.25251668616565,135.46582049941685,true,false,29.218399265442983
exact-v9-5-to-6mwe,2784,0,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6568101.943986775,178598.3282228019,1172407.5080690589,13.364068550512673,13.364068550512673,34.24043673887731,true,false,20.876368188364633
exact-v9-5-to-6mwe,8784,60,MCP,suction,pressure,50,1000000,519058.14432105515,981079.6896245896,101.88596059705775,101.88799186568113,140.0770994577336,true,false,38.19113886067585
exact-v9-5-to-6mwe,8784,60,CHANNEL,pressure,outlet,25,0,259458.15935019497,-509464.56689790054,101.87204702968509,101.87407115654011,-142.75357325095587,true,true,244.62562028064096
exact-v9-5-to-6mwe,8784,60,RETURN,outlet,drum,25,0,267247.69717762806,472583.90559075633,103.39170488316243,103.392010750856,137.48947677415262,true,false,34.09777189099019
exact-v9-5-to-6mwe,8784,60,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6573455.359504255,220373.61368570197,1086902.7261280594,14.844986146362718,14.84498614636275,32.96820780885821,true,false,18.123221662495492
exact-v9-5-to-6mwe,14784,120,MCP,suction,pressure,50,1000000,555751.0087881312,933191.5299115758,105.4283494310372,105.42779603009173,136.6156308708177,true,false,31.187281439780506
exact-v9-5-to-6mwe,14784,120,CHANNEL,pressure,outlet,25,0,276933.0173597159,-404676.9679579008,105.24942188936794,105.24885127348723,-127.22845089961612,true,true,232.47787278898406
exact-v9-5-to-6mwe,14784,120,RETURN,outlet,drum,25,0,277957.1777725378,471664.6232097528,105.44361352904157,105.4432886005625,137.35568764485186,true,false,31.912074115810285
exact-v9-5-to-6mwe,14784,120,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6489391.764761289,298744.5776310675,1130879.6185035072,17.28422915929627,17.28422915929627,33.62855361896356,true,false,16.344324459667288
exact-v9-5-to-6mwe,20784,180,MCP,suction,pressure,50,1000000,524309.3732937425,926497.5278092864,102.40247734510908,102.40208721444525,136.124760995881,true,false,33.722283650771914
exact-v9-5-to-6mwe,20784,180,CHANNEL,pressure,outlet,25,0,261154.3243724294,-433159.31137951044,102.20690760511592,102.20652119555373,-131.62967923375192,true,true,233.83658683886785
exact-v9-5-to-6mwe,20784,180,RETURN,outlet,drum,25,0,262358.8150593564,461602.21151244675,102.44235749603615,102.44194747452947,135.88262751543286,true,false,33.440270019396706
exact-v9-5-to-6mwe,20784,180,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6445166.557532716,265690.8789507877,1096260.8452526545,16.300026961658304,16.300026961658304,33.10983003962199,true,false,16.809803077963686
exact-v9-5-to-6mwe,26784,240,MCP,suction,pressure,50,1000000,506221.1024850877,943689.1116134962,100.62036726164747,100.62018708838576,137.38188465831266,true,false,36.761517396665184
exact-v9-5-to-6mwe,26784,240,CHANNEL,pressure,outlet,25,0,252438.82040991262,-471679.12708204705,100.48674934486715,100.48658028013743,-137.3577994992708,true,true,237.84454884413796
exact-v9-5-to-6mwe,26784,240,RETURN,outlet,drum,25,0,252869.52367866132,455767.45532316033,100.57260301236511,100.5722672864963,135.02110284294974,true,false,34.44849983058464
exact-v9-5-to-6mwe,26784,240,FEEDWATER-PUMP,feedwater-inventory,drum,1000,6444492.96625997,258996.7529730033,1090908.3280212563,16.093376058894673,16.093376058894645,33.02890140500069,true,false,16.935525346106015
exact-v9-5-to-6mwe,32784,300,MCP,suction,pressure,50,1000000,496159.7343972912,962382.8023933454,99.61536509407972,99.61523321232464,138.73592198081545,true,false,39.12055688673573
exact-v9-5-to-6mwe,32784,300,CHANNEL,pressure,outlet,25,0,247728.88341417164,-502781.85590467305,99.54485995603764,99.54474037620906,-141.81422437889267,true,true,241.35908433493032
exact-v9-5-to-6mwe,32784,300,RETURN,outlet,drum,25,0,247831.14513872843,452842.1902515989,99.5653970684299,99.56528413834381,134.58710045938264,true,false,35.02170339095274
