boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_pressure_mpa,specific_volume_m3_kg,specific_u_j_kg,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa
0,47.25379668027165,R1-SIDE,REGION-1,SubcooledLiquid,0.01076344579292377,0.001010893294447206,197846.19105197195,,True,SaturatedMixture,47.11623424930821,0.010688640368034042,False,-0.13756243096344178,-7.480542488972827E-05
0,47.25379668027165,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010763338159542174,0.001024581921197547,197848.4323269899,1E-06,True,SaturatedMixture,47.11623173402859,0.01068863900629474,True,-0.13756494624306015,-7.469915324743309E-05
0,47.25379668027165,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010763338159542174,13.68962390712449,2439103.688936771,0.999999,True,SaturatedMixture,47.01856470938566,0.01063587561259896,True,-0.2352319708859909,-0.000127462546943213
0,47.25379668027165,R2-SIDE,REGION-2,SuperheatedVapor,0.010763230526160579,13.689775005870919,2439105.9585834206,,True,SaturatedMixture,47.01835636754612,0.010635763298185103,False,-0.23544031272552957,-0.0001274672279754762
1,47.25636326000097,R1-SIDE,REGION-1,SubcooledLiquid,0.010764843736668937,0.0010108944309862701,197856.91726078285,,True,SaturatedMixture,47.11878810375458,0.010690023068124256,False,-0.13757515624638472,-7.482066854468117E-05
1,47.25636326000097,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010764736089308044,0.0010245813854874522,197859.15852848976,1E-06,True,SaturatedMixture,47.11878559405102,0.010690021709252786,True,-0.1375776659499479,-7.471438005525813E-05
1,47.25636326000097,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010764736089308044,13.687951660768558,2439107.1013593674,0.999999,True,SaturatedMixture,47.02113514449468,0.01063726138505762,True,-0.2352281155062883,-0.0001274747042504243
1,47.25636326000097,R2-SIDE,REGION-2,SuperheatedVapor,0.01076462844194715,13.68810274109966,2439109.3710007765,,True,SaturatedMixture,47.02092679939415,0.010637149056311098,False,-0.23543646060682022,-0.0001274793856360524
2,47.260731856524956,R1-SIDE,REGION-1,SubcooledLiquid,0.01076722354696915,0.0010108963656097726,197875.17443144624,,True,SaturatedMixture,47.12313505021473,0.010692376932060639,False,-0.13759680631022775,-7.48466149085112E-05
2,47.260731856524956,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010767115875810392,0.0010245804743037206,197877.41568670896,1E-06,True,SaturatedMixture,47.123132542357894,0.010692375573932164,True,-0.13759931416706195,-7.47403018782275E-05
2,47.260731856524956,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010767115875810392,13.68510585830418,2439112.9096470964,0.999999,True,SaturatedMixture,47.025510300369774,0.010639620475002021,True,-0.2352215561551816,-0.0001274954008083709
2,47.260731856524956,R2-SIDE,REGION-2,SuperheatedVapor,0.010767008204651634,13.685256907296376,2439115.1792795854,,True,SaturatedMixture,47.02530194971837,0.010639508121856066,False,-0.23542990680658704,-0.00012750008279556815
3,47.26746165007364,R1-SIDE,REGION-1,SubcooledLiquid,0.010770890513210134,0.0010108993461578628,197903.29948539223,,True,SaturatedMixture,47.12983148987155,0.010696003913915949,False,-0.13763016020209307,-7.488659929418516E-05
3,47.26746165007364,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.01077078280538208,0.0010245790722403396,197905.5407214845,1E-06,True,SaturatedMixture,47.12982898209714,0.010696002555436268,True,-0.1376326679765043,-7.47802499458123E-05
3,47.26746165007364,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.01077078280538208,13.680723254179956,2439121.857213833,0.999999,True,SaturatedMixture,47.032250203360036,0.010643255519500149,True,-0.23521144671360616,-0.00012752728588193152
3,47.26746165007364,R2-SIDE,REGION-2,SuperheatedVapor,0.010770675097554026,13.680874254909478,2439124.1268325793,,True,SaturatedMixture,47.03204184140691,0.010643143127274416,False,-0.23541980866673384,-0.0001275319702796103
4,47.27766643762595,R1-SIDE,REGION-1,SubcooledLiquid,0.010776452999946404,0.001010903866373805,197945.94719551882,,True,SaturatedMixture,47.13998570608618,0.010701505742552294,False,-0.13768073153977411,-7.494725739411005E-05
4,47.27766643762595,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010776345236494038,0.0010245769499294664,197948.18840254203,1E-06,True,SaturatedMixture,47.139983203427505,0.01070150438624473,True,-0.1376832341984482,-7.484085024930809E-05
4,47.27766643762595,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010776345236494038,13.674080738502049,2439135.424801065,0.999999,True,SaturatedMixture,47.04247032701812,0.01064876959390501,True,-0.23519611060783063,-0.00012757564258902843
4,47.27766643762595,R2-SIDE,REGION-2,SuperheatedVapor,0.010776237473041673,13.674231666081983,2439137.6943989745,,True,SaturatedMixture,47.04226195209685,0.010648657144648292,False,-0.2354044855291022,-0.0001275803283933806
5,47.28584959805005,R1-SIDE,REGION-1,SubcooledLiquid,0.010780915308942913,0.0010109074916600923,197980.14615978306,,True,SaturatedMixture,47.14812831136737,0.010705919382641253,False,-0.1377212866826767,-7.499592630165995E-05
5,47.28584959805005,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010780807500867904,0.0010245752512995218,197982.3873434958,1E-06,True,SaturatedMixture,47.14812581091195,0.010705918027047522,True,-0.13772378713809985,-7.48894738203821E-05
5,47.28584959805005,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010780807500867904,13.66875683119904,2439146.3044474144,0.999999,True,SaturatedMixture,47.0506657932292,0.01065319307597124,True,-0.23518380482084922,-0.00012761442489666458
5,47.28584959805005,R2-SIDE,REGION-2,SuperheatedVapor,0.010780699692792895,13.668907700150324,2439148.574028618,,True,SaturatedMixture,47.05045740515675,0.010653080579478261,False,-0.2353921928933005,-0.0001276191133146344
6,47.30439080595971,R1-SIDE,REGION-1,SubcooledLiquid,0.010791031774868785,0.0010109157075611694,198057.63338572858,,True,SaturatedMixture,47.16657764516208,0.010715925497104524,False,-0.13781316079763428,-7.510627776426138E-05
6,47.30439080595971,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010790923865630127,0.001024571413243564,198059.8745166243,1E-06,True,SaturatedMixture,47.16657515280315,0.01071592414481516,True,-0.13781565315656508,-7.499972081496768E-05
6,47.30439080595971,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010790923865630127,13.656702894388829,2439170.954880494,0.999999,True,SaturatedMixture,47.06923490162717,0.01066322154707458,True,-0.23515590433254374,-0.0001277023185555469
6,47.30439080595971,R2-SIDE,REGION-2,SuperheatedVapor,0.010790815956391472,13.656853630598066,2439173.224423848,,True,SaturatedMixture,47.069026483993866,0.010663108943620488,False,-0.23536432196584656,-0.0001277070127709834
7,47.31016860008242,R1-SIDE,REGION-1,SubcooledLiquid,0.010794185924890157,0.0010109182683072319,198081.7798938765,,True,SaturatedMixture,47.17232681937048,0.010719045240256077,False,-0.13784178071193764,-7.514068463407991E-05
7,47.31016860008242,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010794077984110315,0.0010245702202529342,198084.02100831337,1E-06,True,SaturatedMixture,47.17232431391369,0.010719043880520125,True,-0.137844286168729,-7.503410359019011E-05
7,47.31016860008242,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010794077984110315,13.652949163996652,2439178.6363100894,0.999999,True,SaturatedMixture,47.07502139828057,0.010666348271705652,True,-0.23514720180185122,-0.00012772971240466308
7,47.31016860008242,R2-SIDE,REGION-2,SuperheatedVapor,0.010793970043330475,13.653099858868512,2439180.905841651,,True,SaturatedMixture,47.07481296997082,0.010666235634111176,False,-0.23535563011159866,-0.0001277344092192982
8,47.339061117172264,R1-SIDE,REGION-1,SubcooledLiquid,0.010809970497312584,0.0010109310772769935,198202.52732897463,,True,SaturatedMixture,47.201076205043364,0.01073465757416056,False,-0.13798491212889985,-7.531292315202456E-05
8,47.339061117172264,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010809862398688596,0.0010245642760832489,198204.76836110608,1E-06,True,SaturatedMixture,47.2010737067543,0.010734656216618055,True,-0.13798741041796347,-7.520618207054047E-05
8,47.339061117172264,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010809862398688596,13.634196056041114,2439217.047348297,0.999999,True,SaturatedMixture,47.103957466165525,0.010681995654236635,True,-0.2351036510067388,-0.00012786674445196093
8,47.339061117172264,R2-SIDE,REGION-2,SuperheatedVapor,0.01080975430006461,13.634346544397184,2439219.316820891,,True,SaturatedMixture,47.10374899515017,0.010681882851568254,False,-0.23531212202209417,-0.00012787144849635626
9,47.339702007174424,R1-SIDE,REGION-1,SubcooledLiquid,0.01081032085330431,0.0010109313614731648,198205.20573403002,,True,SaturatedMixture,47.20171392002851,0.010735004106214545,False,-0.1379880871459136,-7.531674708976394E-05
9,47.339702007174424,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010810212751176797,0.001024564144636756,198207.4467643359,1E-06,True,SaturatedMixture,47.20171142173939,0.010735002748634353,True,-0.13799058543503406,-7.521000254244459E-05
9,47.339702007174424,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010810212751176797,13.633780414075172,2439217.8993612924,0.999999,True,SaturatedMixture,47.10459932094392,0.010682342965211287,True,-0.2351026862305048,-0.00012786978596551063
9,47.339702007174424,R2-SIDE,REGION-2,SuperheatedVapor,0.010810104649049286,13.633930897854045,2439220.168832579,,True,SaturatedMixture,47.10439085259753,0.010682230160835747,False,-0.2353111545768911,-0.00012787448821353908
10,47.37124681919806,R1-SIDE,REGION-1,SubcooledLiquid,0.010827577549085489,0.0010109453534164047,198337.03776656638,,True,SaturatedMixture,47.23310248839675,0.010752072425865877,False,-0.1381443308013104,-7.550512321961161E-05
10,47.37124681919806,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010827469274392744,0.0010245576965686664,198339.2787070097,1E-06,True,SaturatedMixture,47.233100000784134,0.010752071072240967,True,-0.1381468184139294,-7.539820215177705E-05
10,47.37124681919806,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010827469274392744,13.613340437099936,2439259.8348785085,0.999999,True,SaturatedMixture,47.136191766785316,0.010699449799284538,True,-0.23505505241274705,-0.0001280194751082063
10,47.37124681919806,R2-SIDE,REGION-2,SuperheatedVapor,0.010827360999700001,13.613490695786394,2439262.1042854334,,True,SaturatedMixture,47.13598324772579,0.0106993368122302,False,-0.23526357147227372,-0.000128024187469801
11,47.38116506189107,R1-SIDE,REGION-1,SubcooledLiquid,0.010833008244981821,0.0010109497542340846,198378.48810216459,,True,SaturatedMixture,47.24297161650486,0.010757443826969146,False,-0.13819344538620726,-7.556441801267501E-05
11,47.38116506189107,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010832899915982661,0.0010245556779944498,198380.72901435313,1E-06,True,SaturatedMixture,47.24296912889224,0.010757442472763253,True,-0.13819593299882627,-7.545744321940835E-05
11,47.38116506189107,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010832899915982661,13.606921055999079,2439273.019802456,0.999999,True,SaturatedMixture,47.14612500697086,0.010704833360996003,True,-0.23504005492020497,-0.00012806655498665866
11,47.38116506189107,R2-SIDE,REGION-2,SuperheatedVapor,0.010832791586983501,13.607071243992959,2439275.2891891473,,True,SaturatedMixture,47.145916469227586,0.010704720314967758,False,-0.2352485926634813,-0.0001280712720157437
12,47.405578786134754,R1-SIDE,REGION-1,SubcooledLiquid,0.010846385856276416,0.001010960589900427,198480.51803893046,,True,SaturatedMixture,47.267264456611656,0.010770675343361671,False,-0.13831432952309797,-7.571051291474507E-05
12,47.405578786134754,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.01084627739350248,0.0010245507272187908,198482.75888156955,1E-06,True,SaturatedMixture,47.26726196899892,0.01077067398772481,True,-0.13831681713583066,-7.560340577767062E-05
12,47.405578786134754,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.01084627739350248,13.59113464056017,2439305.4737617155,0.999999,True,SaturatedMixture,47.17057567702551,0.01071809491430782,True,-0.23500310910924327,-0.00012818247919466064
12,47.405578786134754,R2-SIDE,REGION-2,SuperheatedVapor,0.010846168930728546,13.591284654708126,2439307.7430986096,,True,SaturatedMixture,47.170367101914565,0.010717981727683281,False,-0.23521168422018945,-0.00012818720304526472
13,47.42490748912098,R1-SIDE,REGION-1,SubcooledLiquid,0.010856987170281312,0.0010109691717494129,198561.29669632175,,True,SaturatedMixture,47.28649746054788,0.01078116084706264,False,-0.13841002857310514,-7.582632321867164E-05
13,47.42490748912098,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010856878601495297,0.0010245468256953583,198563.5374838966,1E-06,True,SaturatedMixture,47.28649498361165,0.010781159496115002,True,-0.13841250550933637,-7.57191053802949E-05
