metric,value
resolve_measured_call_count,23040
whole_step_measured_count,512
whole_step_trip_count,0
baseline_resolve_median_us,11.85
baseline_resolve_p95_us,13.233888888888888
baseline_resolve_max_us,34.10888888888889
baseline_resolve_median_allocated_bytes,176
baseline_exact_v9_step_median_us,5467.15
baseline_exact_v9_step_p95_us,6022.3
baseline_exact_v9_step_max_us,6904.7
baseline_exact_v9_step_median_allocated_bytes,302296
baseline_exact_v9_step_p95_margin_to_10ms_us,3977.7
rp1b_candidate_resolve_median_ceiling_us,94.8
rp1b_candidate_resolve_p95_ceiling_us,158.80666666666667
rp1b_candidate_resolve_max_ceiling_us,409.30666666666673
rp1b_candidate_resolve_median_allocated_bytes_ceiling,2816
ceiling_basis=validated-H28-relative-cost-ratios-applied-to-RP1A-machine-local-current-closure-baseline
whole_step_baseline_role=observation-only-context-RP1B-does-not-claim-integrated-runtime-qualification
