candidate_id,probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,candidate_resolved,candidate_region,candidate_phase,candidate_temperature_c,candidate_pressure_mpa,candidate_quality,phase_matches,pressure_relative_error,temperature_relative_kelvin_error
B1-PIECEWISE-REDUCED,background-reference,0,0,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,0,0,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208173814,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177460672817,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,0,0,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745729760766,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309634056523,true,0.00015461032152565822,8.076015518782521E-06
B1-PIECEWISE-REDUCED,background-reference,0,0,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469875386214,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671026197288,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,0,0,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057847865,0.12181746458054063,,true,REGION-1-REDUCED,SubcooledLiquid,47.5173419472186,0.12520508851920684,,true,0.02780901696099947,1.1845878157919562E-05
B1-PIECEWISE-REDUCED,background-reference,6000,60,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,6000,60,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208333786,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177460832705,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,6000,60,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745735097625,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309639393004,true,0.00015461032152565822,8.076015518782521E-06
B1-PIECEWISE-REDUCED,background-reference,6000,60,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046987747153,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.036626710264057984,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,6000,60,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057842988,0.12181746458051382,,true,REGION-1-REDUCED,SubcooledLiquid,47.51734194711378,0.12520508847225806,,true,0.027809016575823003,1.1845878332703574E-05
