candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
B1-PIECEWISE-REDUCED,background-reference,0,0,MCP,suction,pressure,true,988494.808517376,140.60546280407286,99.99999997333269,140.60207245483593,40.605462830740166,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,0,0,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,99.99999996288139,-142.11354382289005,242.19681677609623,0.08327299032478663,true
B1-PIECEWISE-REDUCED,background-reference,0,0,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000029567853,130.36092910618171,30.444786533377894,0.08385772287471127,false
B1-PIECEWISE-REDUCED,background-reference,0,0,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6526455898,34.109700271998726,13.339237172210026,34.06551370276052,20.7704630997887,0.04418656923820663,false
B1-PIECEWISE-REDUCED,background-reference,6000,60,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.000000003839,140.60207245483593,40.60546280023385,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,6000,60,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,100.00000043029934,-142.11354382289005,242.19681724351418,0.08327299032478663,true
B1-PIECEWISE-REDUCED,background-reference,6000,60,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,99.99999987008255,130.36092910618171,30.44478695897388,0.08385772287471127,false
B1-PIECEWISE-REDUCED,background-reference,6000,60,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.652799978,34.10970027426183,13.339237023112535,34.065513705715254,20.770463251149298,0.04418656854657854,false
B1-PIECEWISE-REDUCED,background-reference,12000,120,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.00000010143063,140.60207245483593,40.60546270264223,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,12000,120,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,100.00000009932015,-142.11354382289005,242.19681691253498,0.08327299032478663,true
B1-PIECEWISE-REDUCED,background-reference,12000,120,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000029567853,130.36092910618171,30.444786533377894,0.08385772287471127,false
B1-PIECEWISE-REDUCED,background-reference,12000,120,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6527637504,34.10970027373079,13.339237176842365,34.06551370675567,20.77046309688842,0.04418656697512091,false
B1-PIECEWISE-REDUCED,background-reference,18000,180,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.00000009616716,140.60207245483593,40.6054627079057,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,18000,180,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,100.00000009680781,-142.11354382289005,242.19681691002265,0.08327299032478663,true
B1-PIECEWISE-REDUCED,background-reference,18000,180,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000029567853,130.36092910618171,30.444786533377894,0.08385772287471127,false
B1-PIECEWISE-REDUCED,background-reference,18000,180,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6531195538,34.10970027894636,13.339237190766049,34.06551371802623,20.770463088180314,0.04418656092013151,false
B1-PIECEWISE-REDUCED,background-reference,24000,240,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.00000018385984,140.60207245483593,40.60546262021302,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,24000,240,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,99.99999976134636,-142.11354436030103,242.19681657456118,0.08327245291380336,true
B1-PIECEWISE-REDUCED,background-reference,24000,240,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000072127246,130.36092969204267,30.44478610778397,0.08385713701375153,false
