domain,observation_index,source_identity,c3_resolved,c4_resolved,c3_region,c4_region,c3_phase,c4_phase,c3_temperature_bits,c4_temperature_bits,c3_pressure_bits,c4_pressure_bits,c3_quality_has_value,c4_quality_has_value,c3_quality_bits,c4_quality_bits,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
VR2,0,VR2-SAT-100C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4636737291354636288,4636737291354636288,4591972356144366221,4591972356144366221,true,true,0,0,2,true,true
VR2,1,VR2-SAT-100C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4636737291354636288,4636737291354636288,4591972356144366221,4591972356144366221,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,2,VR2-SAT-100C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4636737291354636288,4636737291354636288,4591972356144366221,4591972356144366221,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,3,VR2-SAT-125C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4638496509959077888,4638496509959077888,4597534778231210420,4597534778231210420,true,true,0,0,2,true,true
VR2,4,VR2-SAT-125C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4638496509959077888,4638496509959077888,4597534778231210420,4597534778231210420,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,5,VR2-SAT-125C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4638496509959077888,4638496509959077888,4597534778231210420,4597534778231210420,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,6,VR2-SAT-150C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4639481672377565184,4639481672377565184,4602248299927622664,4602248299927622664,true,true,0,0,2,true,true
VR2,7,VR2-SAT-150C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4639481672377565184,4639481672377565184,4602248299927622664,4602248299927622664,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,8,VR2-SAT-150C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4639481672377565184,4639481672377565184,4602248299927622664,4602248299927622664,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,9,VR2-SAT-175C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4640361281679785984,4640361281679785984,4606213671801080278,4606213671801080278,true,true,0,0,2,true,true
VR2,10,VR2-SAT-175C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4640361281679785984,4640361281679785984,4606213671801080278,4606213671801080278,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,11,VR2-SAT-175C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4640361281679785984,4640361281679785984,4606213671801080278,4606213671801080278,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,12,VR2-SAT-200C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4641240890982006784,4641240890982006784,4609680438819270290,4609680438819270290,true,true,0,0,2,true,true
VR2,13,VR2-SAT-200C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4641240890982006784,4641240890982006784,4609680438819270290,4609680438819270290,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,14,VR2-SAT-200C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4641240890982006784,4641240890982006784,4609680438819270290,4609680438819270290,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,15,VR2-SAT-225C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4642120500284227584,4642120500284227584,4612923213425980708,4612923213425980708,true,true,0,0,2,true,true
VR2,16,VR2-SAT-225C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4642120500284227584,4642120500284227584,4612923213425980708,4612923213425980708,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,17,VR2-SAT-225C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4642120500284227584,4642120500284227584,4612923213425980708,4612923213425980708,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,18,VR2-SAT-250C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643000109586448384,4643000109586448384,4616135437658948296,4616135437658948296,true,true,0,0,2,true,true
VR2,19,VR2-SAT-250C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643000109586448384,4643000109586448384,4616135437658948296,4616135437658948296,true,true,4602678819172646912,4602678819172646912,2,true,true
