domain,observation_index,probe_id,logical_step,path_id,from_node,to_node,c3_resolved,c4_resolved,c3_driving_pressure_bits,c4_driving_pressure_bits,c3_flow_bits,c4_flow_bits,c3_sign_changed_from_production,c4_sign_changed_from_production,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
HYDRAULIC,0,background-reference,0,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,1,background-reference,0,CHANNEL,pressure,outlet,true,true,-4530953312661427223,-4530953312661427223,-4584167589592556495,-4584167589592556495,true,true,2,true,true
HYDRAULIC,2,background-reference,0,RETURN,outlet,drum,true,true,4691043061081921217,4691043061081921217,4638790870410248843,4638790870410248843,false,false,2,true,true
HYDRAULIC,3,background-reference,0,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949914299020,4697718949914299020,4629983412492716977,4629983412492716977,false,false,2,true,true
HYDRAULIC,4,background-reference,6000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,5,background-reference,6000,CHANNEL,pressure,outlet,true,true,-4530953312708323265,-4530953312708323265,-4584167589606072194,-4584167589606072194,true,true,2,true,true
HYDRAULIC,6,background-reference,6000,RETURN,outlet,drum,true,true,4691043061035025175,4691043061035025175,4638790870395514491,4638790870395514491,false,false,2,true,true
HYDRAULIC,7,background-reference,6000,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949914959756,4697718949914959756,4629983412493035273,4629983412493035273,false,false,2,true,true
HYDRAULIC,8,background-reference,12000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,9,background-reference,12000,CHANNEL,pressure,outlet,true,true,-4530953312708323265,-4530953312708323265,-4584167589606072194,-4584167589606072194,true,true,2,true,true
HYDRAULIC,10,background-reference,12000,RETURN,outlet,drum,true,true,4691043061035025175,4691043061035025175,4638790870395514491,4638790870395514491,false,false,2,true,true
HYDRAULIC,11,background-reference,12000,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949914791344,4697718949914791344,4629983412492954144,4629983412492954144,false,false,2,true,true
HYDRAULIC,12,background-reference,18000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,13,background-reference,18000,CHANNEL,pressure,outlet,true,true,-4530953312661427223,-4530953312661427223,-4584167589592556495,-4584167589592556495,true,true,2,true,true
HYDRAULIC,14,background-reference,18000,RETURN,outlet,drum,true,true,4691043061081921217,4691043061081921217,4638790870410248843,4638790870410248843,false,false,2,true,true
HYDRAULIC,15,background-reference,18000,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949916304420,4697718949916304420,4629983412493683037,4629983412493683037,false,false,2,true,true
HYDRAULIC,16,background-reference,24000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,17,background-reference,24000,CHANNEL,pressure,outlet,true,true,-4530953312661427223,-4530953312661427223,-4584167589592556495,-4584167589592556495,true,true,2,true,true
HYDRAULIC,18,background-reference,24000,RETURN,outlet,drum,true,true,4691043061081921217,4691043061081921217,4638790870410248843,4638790870410248843,false,false,2,true,true
