lane,run_index,measured_calls,median_us,p95_us,max_us,calls_over_max_ceiling,unresolved_calls,nonzero_allocation_calls,candidate_allocated_bytes,harness_allocated_bytes,fallback_calls,median_within_ceiling,p95_within_ceiling,max_within_ceiling,zero_allocation,harness_allocation_neutral,zero_fallback
A,1,20480,5,5.2,42.4,0,0,0,0,0,0,True,True,True,True,True,True
A,2,20480,8.2,8.4,28.3,0,0,0,0,0,0,True,True,True,True,True,True
A,3,20480,5.1,5.3,28.8,0,0,0,0,0,0,True,True,True,True,True,True
A,4,20480,15.9,18.5,329.9,0,0,0,0,0,0,True,True,True,True,True,True
A,5,20480,5.2,5.4,50.3,0,0,0,0,0,0,True,True,True,True,True,True
B,1,20480,5,5.2,23.3,0,0,0,0,0,0,True,True,True,True,True,True
B,2,20480,5.2,5.3,23.5,0,0,0,0,0,0,True,True,True,True,True,True
B,3,20480,5.2,5.3,23.9,0,0,0,0,0,0,True,True,True,True,True,True
B,4,20480,8.2,8.5,27.4,0,0,0,0,0,0,True,True,True,True,True,True
B,5,20480,14.7,15.6,33.3,0,0,0,0,0,0,True,True,True,True,True,True
