boundary_index,boundary_temperature_c,lane_run_count,total_calls,median_of_lane_run_medians_us,max_lane_run_p95_us,max_us,total_calls_over_max_ceiling,total_calls_with_gc_activity,total_exceedances_with_gc_activity,total_nonzero_allocation_calls,total_fallback_calls
0,47.253796680271648,10,640,5.15,19.8,31.5,0,0,0,0,0
1,47.256363260000967,10,640,5.05,16.2,20,0,0,0,0,0
2,47.260731856524956,10,640,5.05,16.2,19.9,0,0,0,0,0
3,47.267461650073642,10,640,5,16.1,19.9,0,0,0,0,0
4,47.277666437625953,10,640,5,16.1,19.8,0,0,0,0,0
5,47.285849598050049,10,640,5.025,16.1,19.9,0,0,0,0,0
6,47.304390805959713,10,640,5.05,16.1,19.9,0,0,0,0,0
7,47.31016860008242,10,640,5,16.1,19.8,0,0,0,0,0
8,47.339061117172264,10,640,5.025,16.1,28.8,0,0,0,0,0
9,47.339702007174424,10,640,5,16.1,19.9,0,0,0,0,0
10,47.371246819198063,10,640,5.025,16.1,19.8,0,0,0,0,0
11,47.381165061891068,10,640,5,16.1,19.9,0,0,0,0,0
12,47.405578786134754,10,640,5,16,20,0,0,0,0,0
13,47.424907489120983,10,640,5.05,17,20,0,0,0,0,0
14,47.441073173284508,10,640,4.95,16.1,20.1,0,0,0,0,0
15,47.46560525596135,10,640,5.05,16.1,20,0,0,0,0,0
16,47.476804162561905,10,640,5.05,16.1,19.8,0,0,0,0,0
17,47.497136956453346,10,640,5,16.1,19.9,0,0,0,0,0
18,47.512639433890627,10,640,5.05,16.2,19.9,0,0,0,0,0
19,47.514584347605705,10,640,5.05,16.2,20.6,0,0,0,0,0
20,47.548275883495819,10,640,5.05,16.2,21.5,0,0,0,0,0
21,47.583624343574058,10,640,5.05,16.1,19.8,0,0,0,0,0
22,47.618694061040912,10,640,5.05,16.1,21.5,0,0,0,0,0
23,47.653540267050232,10,640,5,16.1,19.9,0,0,0,0,0
24,47.688247826695488,10,640,5,16.2,19.7,0,0,0,0,0
25,47.722911858558689,10,640,5,16.1,19.8,0,0,0,0,0
26,47.757624070346424,10,640,5,16.2,19.9,0,0,0,0,0
27,47.792463099956649,10,640,5.05,16.1,19.7,0,0,0,0,0
28,47.827488413453125,10,640,5.05,16.3,20,0,0,0,0,0
29,47.862737081945,10,640,5.05,16.2,19.9,0,0,0,0,0
30,47.898222967982292,10,640,5.05,16.2,19.9,0,0,0,0,0
31,47.933937653899193,10,640,5.025,16.3,23.9,0,0,0,0,0
32,47.96985266357666,10,640,5.05,16.1,20,0,0,0,0,0
33,48.005922497808967,10,640,5.05,16.1,19.9,0,0,0,0,0
34,48.042088118195466,10,640,5.05,16.2,19.8,0,0,0,0,0
35,48.078280545771179,10,640,5.05,17.5,19.8,0,0,0,0,0
36,48.114424365758907,10,640,5,16.3,21.2,0,0,0,0,0
37,48.150440992414929,10,640,5.05,16.5,21.5,0,0,0,0,0
38,48.1862515375019,10,640,5,16.3,20.2,0,0,0,0,0
39,48.221779271960258,10,640,5,17.9,30.6,0,0,0,0,0
40,48.256951592117616,10,640,5,19,27.1,0,0,0,0,0
41,48.291701620817207,10,640,4.975,17.6,23.7,0,0,0,0,0
42,48.325969287007979,10,640,4.975,16.5,23,0,0,0,0,0
43,48.359702186286484,10,640,5,16.3,25.8,0,0,0,0,0
44,48.392855721712124,10,640,4.95,17.7,24.7,0,0,0,0,0
45,48.42539348453289,10,640,4.975,19.2,23.4,0,0,0,0,0
46,48.457287050783577,10,640,5,17.7,23.2,0,0,0,0,0
47,48.488515663147041,10,640,4.95,17.7,23.3,0,0,0,0,0
48,48.519065751135372,10,640,5.05,17.7,23.1,0,0,0,0,0
49,48.548930336534966,10,640,5.05,16.3,23.3,0,0,0,0,0
50,48.578108470141956,10,640,5.05,16.2,22.9,0,0,0,0,0
51,48.606604512035858,10,640,5.05,16.2,23,0,0,0,0,0
52,48.634427432715825,10,640,5.05,16.2,23.2,0,0,0,0,0
53,48.661590208113125,10,640,5.05,16.2,23,0,0,0,0,0
54,48.6881090790032,10,640,5.05,16.2,23.3,0,0,0,0,0
55,48.714002998173157,10,640,5.05,16.3,23.3,0,0,0,0,0
56,48.739292983710754,10,640,5,16.2,23.1,0,0,0,0,0
57,48.764001660048962,10,640,5.05,16.2,23.1,0,0,0,0,0
58,48.788287836313259,10,640,5.05,17.4,23.1,0,0,0,0,0
59,48.814139103889488,10,640,5,16.2,23,0,0,0,0,0
60,100,10,640,2.75,12.4,33.7,0,0,0,0,0
61,125,10,640,2.95,12.3,17.8,0,0,0,0,0
62,150,10,640,3.05,12.7,17.5,0,0,0,0,0
63,175,10,640,3.25,13.1,17.9,0,0,0,0,0
64,200,10,640,3.4,13.6,18.5,0,0,0,0,0
