lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,5,0,47.25379668027165,64,5.2,9.7,31.5,0,0,0,0,0,0,0,0
A,5,1,47.25636326000097,64,5.1,5.3,6.6,52,1,0,0,0,0,0,0
A,5,2,47.260731856524956,64,5.1,5.4,5.8,21,2,0,0,0,0,0,0
A,5,3,47.26746165007364,64,5,5.2,6.6,52,3,0,0,0,0,0,0
A,5,4,47.27766643762595,64,5,5.2,5.6,2,4,0,0,0,0,0,0
A,5,5,47.28584959805005,64,5.05,5.1,5.7,2,5,0,0,0,0,0,0
A,5,6,47.30439080595971,64,5.1,5.1,5.5,2,6,0,0,0,0,0,0
A,5,7,47.31016860008242,64,5,5.1,5.6,2,7,0,0,0,0,0,0
A,5,8,47.339061117172264,64,5.05,5.2,5.7,2,8,0,0,0,0,0,0
A,5,9,47.339702007174424,64,5,5.1,5.7,2,9,0,0,0,0,0,0
A,5,10,47.37124681919806,64,5.1,5.1,5.6,2,10,0,0,0,0,0,0
A,5,11,47.38116506189107,64,5,5.2,5.7,2,11,0,0,0,0,0,0
A,5,12,47.405578786134754,64,5,5.2,5.7,2,12,0,0,0,0,0,0
A,5,13,47.42490748912098,64,5.1,5.2,5.7,2,13,0,0,0,0,0,0
A,5,14,47.44107317328451,64,5,5.2,5.7,2,14,0,0,0,0,0,0
A,5,15,47.46560525596135,64,5.1,5.2,5.6,2,15,0,0,0,0,0,0
A,5,16,47.476804162561905,64,5.1,5.2,5.7,2,16,0,0,0,0,0,0
A,5,17,47.497136956453346,64,5,5.2,5.4,2,17,0,0,0,0,0,0
A,5,18,47.51263943389063,64,5.1,5.2,5.7,2,18,0,0,0,0,0,0
A,5,19,47.514584347605705,64,5.1,5.2,20.6,0,19,0,0,0,0,0,0
A,5,20,47.54827588349582,64,5.1,5.2,6.1,0,20,0,0,0,0,0,0
A,5,21,47.58362434357406,64,5.1,5.2,5.7,0,21,0,0,0,0,0,0
A,5,22,47.61869406104091,64,5.1,5.2,6.4,33,22,0,0,0,0,0,0
A,5,23,47.65354026705023,64,5,5.1,5.6,2,23,0,0,0,0,0,0
A,5,24,47.68824782669549,64,5,5.2,8.2,4,24,0,0,0,0,0,0
A,5,25,47.72291185855869,64,5,5.2,5.6,2,25,0,0,0,0,0,0
A,5,26,47.757624070346424,64,5,5.1,5.7,2,26,0,0,0,0,0,0
A,5,27,47.79246309995665,64,5.1,5.2,5.5,2,27,0,0,0,0,0,0
A,5,28,47.827488413453125,64,5.1,5.2,7.5,28,28,0,0,0,0,0,0
A,5,29,47.862737081945,64,5.1,5.2,10.2,2,29,0,0,0,0,0,0
A,5,30,47.89822296798229,64,5.1,5.2,6,2,30,0,0,0,0,0,0
A,5,31,47.93393765389919,64,5.05,5.2,5.7,2,31,0,0,0,0,0,0
A,5,32,47.96985266357666,64,5.1,5.2,5.5,2,32,0,0,0,0,0,0
A,5,33,48.00592249780897,64,5.1,5.2,5.6,2,33,0,0,0,0,0,0
