candidate_id,point_id,source_family,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,inverse_applicable,candidate_resolved,candidate_region,candidate_phase,candidate_temperature_c,candidate_pressure_mpa,candidate_quality,phase_matches,pressure_relative_error,temperature_relative_kelvin_error
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-100C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,100,0.10141797792130998,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,100,0.10141797792130998,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-100C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,100,0.10141797792130998,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,100,0.10141797792130998,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-100C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,100,0.10141797792130998,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,100,0.10141797792130998,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-125C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,125,0.2322241826800685,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,125,0.2322241826800685,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-125C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,125,0.2322241826800685,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,125,0.2322241826800685,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-125C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,125,0.2322241826800685,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,125,0.2322241826800685,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-150C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,150,0.476101381081492,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,150,0.476101381081492,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-150C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,150,0.476101381081492,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,150,0.476101381081492,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-150C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,150,0.476101381081492,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,150,0.476101381081492,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-175C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,175,0.8924474776743476,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,175,0.8924474776743476,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-175C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,175,0.8924474776743476,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,175,0.8924474776743476,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-175C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,175,0.8924474776743476,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,175,0.8924474776743476,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-200C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,200,1.5546718682698253,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,200,1.5546718682698253,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-200C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,200,1.5546718682698253,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,200,1.5546718682698253,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-200C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,200,1.5546718682698253,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,200,1.5546718682698253,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-225C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,225,2.5494249493555277,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,225,2.5494249493555277,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-225C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,225,2.5494249493555277,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,225,2.5494249493555277,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-225C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,225,2.5494249493555277,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,225,2.5494249493555277,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-250C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,250,3.9759390708353273,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,250,3.9759390708353273,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-250C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,250,3.9759390708353273,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,250,3.9759390708353273,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-250C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,250,3.9759390708353273,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,250,3.9759390708353273,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-280C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,280,6.416459281680371,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,280,6.416459281680371,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-280C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,280,6.416459281680371,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,280,6.416459281680371,0.49999999999999994,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-280C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,280,6.416459281680371,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,280,6.416459281680371,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-300C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,300,8.587708329557264,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,300,8.587708329557264,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-300C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,300,8.587708329557264,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,300,8.587708329557264,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-300C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,300,8.587708329557264,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,300,8.587708329557264,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-340C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,340,14.600181056805258,0,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,340,14.600181056805258,0,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-340C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,340,14.600181056805258,0.5,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,340,14.600181056805258,0.5,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-340C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,340,14.600181056805258,1,true,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,340,14.600181056805258,1,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-SAT-360C-PONLY,SATURATION-PRESSURE-ONLY,REGION-4,BOUNDARY-ONLY,360,18.666403421371236,,false,false,NOT-APPLICABLE,BOUNDARY-ONLY,,,,false,,
C2-EXTENDED-TABULATED-SURROGATE,VR2-L100-P0.5,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,100,0.5,,true,true,REGION-1-TABLE-C2,SubcooledLiquid,100,0.5,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-L150-P1,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,150,1,,true,true,REGION-1-TABLE-C2,SubcooledLiquid,150,1,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-L200-P2,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,200,2,,true,true,REGION-1-TABLE-C2,SubcooledLiquid,200,2,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-L250-P7,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,250,7,,true,true,REGION-1-TABLE-C2,SubcooledLiquid,250,7,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-L280-P10,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,280,10,,true,true,REGION-1-TABLE-C2,SubcooledLiquid,280,10,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-V200-P0.2,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,200,0.2,,true,true,REGION-2-TABLE-C2,SuperheatedVapor,200,0.2,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-V250-P0.5,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,250,0.5,,true,true,REGION-2-TABLE-C2,SuperheatedVapor,250,0.5,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-V300-P1,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,300,1,,true,true,REGION-2-TABLE-C2,SuperheatedVapor,300,1,,true,0,0
C2-EXTENDED-TABULATED-SURROGATE,VR2-V400-P5,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,400,5,,true,true,REGION-2-TABLE-C2,SuperheatedVapor,400,5,,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-100C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,100,0.10141797792130998,0,true,true,REGION-4-MIXTURE,SaturatedMixture,100,0.10141797792130998,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-100C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,100,0.10141797792130998,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,100,0.10141797792130998,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-100C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,100,0.10141797792130998,1,true,true,REGION-4-MIXTURE,SaturatedMixture,100,0.10141797792130998,1,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-125C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,125,0.2322241826800685,0,true,true,REGION-4-MIXTURE,SaturatedMixture,125,0.2322241826800685,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-125C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,125,0.2322241826800685,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,125,0.2322241826800685,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-125C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,125,0.2322241826800685,1,true,true,REGION-4-MIXTURE,SaturatedMixture,125,0.2322241826800685,1,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-150C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,150,0.476101381081492,0,true,true,REGION-4-MIXTURE,SaturatedMixture,150,0.476101381081492,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-150C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,150,0.476101381081492,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,150,0.476101381081492,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-150C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,150,0.476101381081492,1,true,true,REGION-4-MIXTURE,SaturatedMixture,150,0.476101381081492,1,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-175C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,175,0.8924474776743476,0,true,true,REGION-4-MIXTURE,SaturatedMixture,175,0.8924474776743476,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-175C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,175,0.8924474776743476,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,175,0.8924474776743476,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-175C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,175,0.8924474776743476,1,true,true,REGION-4-MIXTURE,SaturatedMixture,175,0.8924474776743476,1,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-200C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,200,1.5546718682698253,0,true,true,REGION-4-MIXTURE,SaturatedMixture,200,1.5546718682698253,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-200C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,200,1.5546718682698253,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,200,1.5546718682698253,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-200C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,200,1.5546718682698253,1,true,true,REGION-4-MIXTURE,SaturatedMixture,200,1.5546718682698253,1,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-225C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,225,2.5494249493555277,0,true,true,REGION-4-MIXTURE,SaturatedMixture,225,2.5494249493555277,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-225C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,225,2.5494249493555277,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,225,2.5494249493555277,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-225C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,225,2.5494249493555277,1,true,true,REGION-4-MIXTURE,SaturatedMixture,225,2.5494249493555277,1,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-250C-LIQ,SATURATION-ENDPOINT,REGION-1,SaturatedMixture,250,3.9759390708353273,0,true,true,REGION-4-MIXTURE,SaturatedMixture,250,3.9759390708353273,0,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-250C-Q0.5,SATURATION-MIXTURE,REGION-4,SaturatedMixture,250,3.9759390708353273,0.5,true,true,REGION-4-MIXTURE,SaturatedMixture,250,3.9759390708353273,0.5,true,0,0
D2-SEAM-COMPLETE-IF97-COMPARATOR,VR2-SAT-250C-VAP,SATURATION-ENDPOINT,REGION-2,SaturatedMixture,250,3.9759390708353273,1,true,true,REGION-4-MIXTURE,SaturatedMixture,250,3.9759390708353273,1,true,0,0
