probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,tail_classification
background-reference,0,0,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.5,20.5,27.5,14,4,0,0,WITHIN-CEILING
background-reference,12000,120,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,16.5,34.2,0,14,0,0,WITHIN-CEILING
background-reference,6000,60,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,16.3,18.9,61,9,0,0,WITHIN-CEILING
background-reference,18000,180,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.350000000000001,15.4,16.9,25,19,0,0,WITHIN-CEILING
background-reference,42000,420,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,15.2,18.3,28,39,0,0,WITHIN-CEILING
background-reference,48000,480,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,15.1,19.3,28,44,0,0,WITHIN-CEILING
background-reference,24000,240,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.350000000000001,15.1,16.5,51,24,0,0,WITHIN-CEILING
background-reference,60000,600,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.350000000000001,15.1,15.9,60,54,0,0,WITHIN-CEILING
background-reference,54000,540,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,15,150.5,60,49,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,2784,0,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,15,121.6,60,59,0,0,WITHIN-CEILING
background-reference,30000,300,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.4,15,16.7,51,29,0,0,WITHIN-CEILING
background-reference,36000,360,feedwater-inventory,REGION-1,SubcooledLiquid,64,14.3,15,15.1,53,34,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,128784,1260,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.7,3.5,10,162,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,110784,1080,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.6,26.6,33,147,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,110784,1080,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.6,3.2,15,148,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,116784,1140,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.6,2.8,52,152,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,50784,480,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.5,66.2,42,98,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,116784,1140,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,9.4,61,150,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,56784,540,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.5,25,100,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,74784,720,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.5,56,116,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,38784,360,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.4,42,87,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,50784,480,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.4,28,97,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,362784,3600,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.4,62,358,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,128784,1260,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.2,49,161,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,104784,1020,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.1,53,140,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,104784,1020,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.1,53,141,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,116784,1140,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.1,52,151,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,128784,1260,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3.1,49,160,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,68784,660,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,3,15,110,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,44784,420,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,2.7,25,92,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,140784,1380,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,2.7,0,172,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,146784,1440,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,2.7,0,177,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,146784,1440,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.5,2.7,0,178,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,50784,480,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.5,2.6,25,96,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,50784,480,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.5,2.5,10,95,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,134784,1320,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,16.5,14,168,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,332784,3300,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,13.9,61,332,0,0,WITHIN-CEILING
