probe_id,logical_step,elapsed_s,node_id,screen_median_us,screen_p95_us,screen_max_us,target_sample_count,target_median_us,target_p95_us,target_max_us,calls_over_max_ceiling,blocks_with_exceedance,target_classification
background-reference,42000,420,feedwater-inventory,14.3,15.2,18.3,512,14.3,15.6,162.7,0,0,TARGETED-WITHIN-CEILING
background-reference,24000,240,feedwater-inventory,14.350000000000001,15.1,16.5,512,14.3,15.6,90,0,0,TARGETED-WITHIN-CEILING
background-reference,54000,540,feedwater-inventory,14.3,15,150.5,512,14.4,15.4,155,0,0,TARGETED-WITHIN-CEILING
background-reference,0,0,feedwater-inventory,14.5,20.5,27.5,512,14.3,15.3,118.3,0,0,TARGETED-WITHIN-CEILING
background-reference,6000,60,feedwater-inventory,14.3,16.3,18.9,512,14.1,15.3,88.1,0,0,TARGETED-WITHIN-CEILING
exact-v9-5-to-6mwe,2784,0,feedwater-inventory,14.3,15,121.6,512,14.7,15.3,16,0,0,TARGETED-WITHIN-CEILING
background-reference,30000,300,feedwater-inventory,14.4,15,16.7,512,14.4,15.2,61.1,0,0,TARGETED-WITHIN-CEILING
background-reference,48000,480,feedwater-inventory,14.3,15.1,19.3,512,14.2,15,131.1,0,0,TARGETED-WITHIN-CEILING
background-reference,18000,180,feedwater-inventory,14.350000000000001,15.4,16.9,512,14.1,14.8,139.9,0,0,TARGETED-WITHIN-CEILING
background-reference,60000,600,feedwater-inventory,14.350000000000001,15.1,15.9,512,13.6,14.6,104.4,0,0,TARGETED-WITHIN-CEILING
background-reference,36000,360,feedwater-inventory,14.3,15,15.1,512,14.1,14.6,15.4,0,0,TARGETED-WITHIN-CEILING
background-reference,12000,120,feedwater-inventory,14.3,16.5,34.2,512,13.5,14.1,14.5,0,0,TARGETED-WITHIN-CEILING
