boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,screen_classification
3,47.26746165007364,64,8.55,11.1,2620.6,58,3,1,0.015625,1,1,SCREEN-ISOLATED-EXCEEDANCE
268,275.1843705892562,64,8.6,14.9,98.5,59,268,0,0,0,0,SCREEN-WITHIN-CEILING
285,277.70717749595633,64,7.9,11,12.6,49,285,0,0,0,0,SCREEN-WITHIN-CEILING
214,270.7539018630981,64,7.9,10.9,23.5,39,214,0,0,0,0,SCREEN-WITHIN-CEILING
1,47.25636326000097,64,8.8,10.8,24.9,39,1,0,0,0,0,SCREEN-WITHIN-CEILING
79,268.0753684282305,64,8.35,10.7,34.6,53,79,0,0,0,0,SCREEN-WITHIN-CEILING
215,270.78118436336524,64,7.95,10.7,29,39,215,0,0,0,0,SCREEN-WITHIN-CEILING
261,274.4903302550314,64,8.15,10.6,55,14,261,0,0,0,0,SCREEN-WITHIN-CEILING
85,268.3765215992928,64,7.95,10.6,53.5,36,85,0,0,0,0,SCREEN-WITHIN-CEILING
207,270.6571163117886,64,7.75,10.5,97.2,27,207,0,0,0,0,SCREEN-WITHIN-CEILING
70,267.61186883449557,64,8.7,10.5,78.1,36,70,0,0,0,0,SCREEN-WITHIN-CEILING
124,269.49399043321625,64,7.7,10.5,25.6,41,124,0,0,0,0,SCREEN-WITHIN-CEILING
271,275.46072360575204,64,8.399999999999999,10.5,12.2,6,271,0,0,0,0,SCREEN-WITHIN-CEILING
0,47.25379668027165,64,8.8,10.4,43,2,0,0,0,0,0,SCREEN-WITHIN-CEILING
4,47.27766643762595,64,8.25,10.4,30,39,4,0,0,0,0,SCREEN-WITHIN-CEILING
118,269.43838264346107,64,7.85,10.4,17.8,3,118,0,0,0,0,SCREEN-WITHIN-CEILING
43,48.35970218628648,64,8.5,10.3,50.7,2,43,0,0,0,0,SCREEN-WITHIN-CEILING
160,269.8893888354303,64,7.85,10.3,31.7,39,160,0,0,0,0,SCREEN-WITHIN-CEILING
250,272.41523357033736,64,7.95,10.3,26.9,39,250,0,0,0,0,SCREEN-WITHIN-CEILING
31,47.93393765389919,64,8.5,10.3,23.2,47,31,0,0,0,0,SCREEN-WITHIN-CEILING
5,47.28584959805005,64,8.7,10.3,17.5,39,5,0,0,0,0,SCREEN-WITHIN-CEILING
81,268.18782694339745,64,7.75,10.3,15.3,53,81,0,0,0,0,SCREEN-WITHIN-CEILING
221,271.00374035835273,64,7.8,10.3,15.3,41,221,0,0,0,0,SCREEN-WITHIN-CEILING
67,267.45358095765107,64,8.2,10.3,13.6,2,67,0,0,0,0,SCREEN-WITHIN-CEILING
241,272.00196151137345,64,7.9,10.3,13,49,241,0,0,0,0,SCREEN-WITHIN-CEILING
73,267.7772412359715,64,8.7,10.3,12.2,41,73,0,0,0,0,SCREEN-WITHIN-CEILING
251,272.45532531738286,64,7.95,10.3,11.5,6,251,0,0,0,0,SCREEN-WITHIN-CEILING
26,47.757624070346424,64,8.2,10.3,11.4,49,26,0,0,0,0,SCREEN-WITHIN-CEILING
211,270.7231227874755,64,7.85,10.2,66,47,211,0,0,0,0,SCREEN-WITHIN-CEILING
117,269.4265326142312,64,7.9,10.2,60.1,36,117,0,0,0,0,SCREEN-WITHIN-CEILING
162,269.9158253133297,64,7.95,10.2,40.3,39,162,0,0,0,0,SCREEN-WITHIN-CEILING
116,269.4203418850898,64,7.9,10.2,27.3,40,116,0,0,0,0,SCREEN-WITHIN-CEILING
309,282.4788263857366,64,7.75,10.2,21,33,309,0,0,0,0,SCREEN-WITHIN-CEILING
284,277.4965558946134,64,7.75,10.2,18.5,39,284,0,0,0,0,SCREEN-WITHIN-CEILING
78,267.93677989244463,64,8.35,10.2,14.1,40,78,0,0,0,0,SCREEN-WITHIN-CEILING
219,270.9028086423874,64,8.3,10.2,13.2,53,219,0,0,0,0,SCREEN-WITHIN-CEILING
167,269.9603627145292,64,7.9,10.2,11.7,54,167,0,0,0,0,SCREEN-WITHIN-CEILING
217,270.80531049966817,64,8.15,10.2,11.3,48,217,0,0,0,0,SCREEN-WITHIN-CEILING
218,270.85275713801377,64,8.149999999999999,10.2,10.6,48,218,0,0,0,0,SCREEN-WITHIN-CEILING
213,270.7524907827377,64,7.8,10.2,10.5,30,213,0,0,0,0,SCREEN-WITHIN-CEILING
212,270.7234599530699,64,7.9,10.2,10.4,55,212,0,0,0,0,SCREEN-WITHIN-CEILING
253,273.6084401816131,64,7.95,10.1,124.4,31,253,0,0,0,0,SCREEN-WITHIN-CEILING
