boundary_index,boundary_temperature_c,screen_median_us,screen_p95_us,screen_max_us,screen_calls_over_max_ceiling,target_sample_count,target_median_us,target_p95_us,target_max_us,target_max_block_index,target_max_call_index,calls_over_max_ceiling,blocks_with_exceedance,calls_with_gc_activity,exceedances_with_gc_activity,target_classification
191,270.3515844941138,7.7,9.4,131.6,0,2048,7.5,9.6,853.5,10,102,1,1,0,0,TARGETED-ISOLATED-EXCEEDANCE
79,268.0753684282305,8.35,10.7,34.6,0,2048,8.7,10.6,181.4,14,117,0,0,0,0,TARGETED-WITHIN-CEILING
214,270.7539018630981,7.9,10.9,23.5,0,2048,8.8,10.5,117.5,8,80,0,0,0,0,TARGETED-WITHIN-CEILING
215,270.78118436336524,7.95,10.7,29,0,2048,8.8,10.2,125,15,21,0,0,0,0,TARGETED-WITHIN-CEILING
1,47.25636326000097,8.8,10.8,24.9,0,2048,7.8,9.7,142.6,15,92,0,0,0,0,TARGETED-WITHIN-CEILING
261,274.4903302550314,8.15,10.6,55,0,2048,8.6,9.5,139.4,7,35,0,0,0,0,TARGETED-WITHIN-CEILING
85,268.3765215992928,7.95,10.6,53.5,0,2048,7.4,9.5,64,6,88,0,0,0,0,TARGETED-WITHIN-CEILING
124,269.49399043321625,7.7,10.5,25.6,0,2048,7.5,9.4,149.6,15,67,0,0,0,0,TARGETED-WITHIN-CEILING
82,268.22862460613226,8.6,10,160.8,0,2048,7.5,9.4,143.9,11,127,0,0,0,0,TARGETED-WITHIN-CEILING
50,48.578108470141956,8.3,9.5,122.7,0,2048,8.7,9.3,129,13,45,0,0,0,0,TARGETED-WITHIN-CEILING
3,47.26746165007364,8.55,11.1,2620.6,1,2048,7.8,9.3,116.1,0,102,0,0,0,0,TARGETED-WITHIN-CEILING
70,267.61186883449557,8.7,10.5,78.1,0,2048,8.7,9.3,67.6,3,56,0,0,0,0,TARGETED-WITHIN-CEILING
9,47.339702007174424,8.149999999999999,9.4,333.8,0,2048,8.7,9.2,129.9,11,39,0,0,0,0,TARGETED-WITHIN-CEILING
285,277.70717749595633,7.9,11,12.6,0,2048,8.6,9.2,53.2,4,50,0,0,0,0,TARGETED-WITHIN-CEILING
102,269.0666279315948,7.75,9.8,120.9,0,2048,7.5,9.1,133.3,0,74,0,0,0,0,TARGETED-WITHIN-CEILING
210,270.7052416622638,7.95,9.5,157.4,0,2048,7.5,9,140.1,15,73,0,0,0,0,TARGETED-WITHIN-CEILING
253,273.6084401816131,7.95,10.1,124.4,0,2048,7.5,8.9,163.7,0,114,0,0,0,0,TARGETED-WITHIN-CEILING
186,270.2203527688979,7.8,9.6,149.3,0,2048,7.6,8.9,137.9,0,59,0,0,0,0,TARGETED-WITHIN-CEILING
207,270.6571163117886,7.75,10.5,97.2,0,2048,7.5,8.9,94.6,4,109,0,0,0,0,TARGETED-WITHIN-CEILING
268,275.1843705892562,8.6,14.9,98.5,0,2048,8.6,8.9,91.8,6,96,0,0,0,0,TARGETED-WITHIN-CEILING
172,270.01825814843176,8,9.6,116.5,0,2048,7.5,8.8,316.6,15,93,0,0,1,0,TARGETED-WITHIN-CEILING
266,275.1843705475329,8,9.7,120,0,2048,7.4,8.8,136.9,0,67,0,0,0,0,TARGETED-WITHIN-CEILING
313,283.2220691144465,7.65,9.4,214.3,0,2048,7.3,8.7,257.1,13,3,0,0,0,0,TARGETED-WITHIN-CEILING
