boundary_index,boundary_temperature_c,process_runs_with_exceedance,total_calls_over_max_ceiling,total_exceedances_with_gc_activity,cross_process_max_us,max_owner_process_run_index,same_boundary_slow_path_confirmed
0,47.253796680271648,0,0,0,30.3,4,False
1,47.256363260000967,0,0,0,44.1,4,False
2,47.260731856524956,0,0,0,219.4,4,False
3,47.267461650073642,5,5,5,3598.6,4,True
4,47.277666437625953,0,0,0,52.3,5,False
5,47.285849598050049,0,0,0,14,3,False
6,47.304390805959713,1,1,0,490.9,4,False
7,47.31016860008242,0,0,0,105.1,5,False
8,47.339061117172264,0,0,0,135.9,2,False
9,47.339702007174424,0,0,0,63.6,3,False
10,47.371246819198063,0,0,0,25.1,3,False
11,47.381165061891068,0,0,0,18.7,3,False
12,47.405578786134754,0,0,0,25.6,2,False
13,47.424907489120983,0,0,0,16.1,2,False
14,47.441073173284508,0,0,0,13.6,3,False
15,47.46560525596135,0,0,0,16.1,4,False
16,47.476804162561905,0,0,0,104,1,False
17,47.497136956453346,0,0,0,286.5,4,False
18,47.512639433890627,0,0,0,357.1,4,False
19,47.514584347605705,0,0,0,36.6,1,False
20,47.548275883495819,0,0,0,15.1,3,False
21,47.583624343574058,0,0,0,18.3,3,False
22,47.618694061040912,0,0,0,15.9,1,False
23,47.653540267050232,0,0,0,10.7,4,False
24,47.688247826695488,0,0,0,12.7,4,False
25,47.722911858558689,0,0,0,156.1,1,False
26,47.757624070346424,0,0,0,26.6,1,False
27,47.792463099956649,0,0,0,11.3,4,False
28,47.827488413453125,0,0,0,63.3,5,False
29,47.862737081945,0,0,0,125.8,5,False
30,47.898222967982292,0,0,0,12.2,3,False
31,47.933937653899193,0,0,0,58.8,3,False
32,47.96985266357666,0,0,0,136.5,2,False
33,48.005922497808967,0,0,0,20.2,5,False
34,48.042088118195466,0,0,0,47.5,5,False
35,48.078280545771179,0,0,0,11,1,False
36,48.114424365758907,0,0,0,95.7,2,False
37,48.150440992414929,0,0,0,14,2,False
38,48.1862515375019,0,0,0,25.4,2,False
39,48.221779271960258,0,0,0,15.3,4,False
40,48.256951592117616,0,0,0,14.5,1,False
41,48.291701620817207,0,0,0,16.4,1,False
42,48.325969287007979,0,0,0,57.9,2,False
43,48.359702186286484,0,0,0,14.4,2,False
44,48.392855721712124,0,0,0,13.6,2,False
45,48.42539348453289,0,0,0,151.5,2,False
46,48.457287050783577,0,0,0,15.2,2,False
47,48.488515663147041,0,0,0,11.3,2,False
48,48.519065751135372,0,0,0,100.2,2,False
49,48.548930336534966,1,1,0,1597.4,4,False
50,48.578108470141956,0,0,0,201.8,1,False
51,48.606604512035858,0,0,0,48.8,2,False
52,48.634427432715825,0,0,0,14.6,4,False
53,48.661590208113125,0,0,0,10.3,4,False
54,48.6881090790032,0,0,0,77.9,5,False
55,48.714002998173157,0,0,0,45.5,1,False
56,48.739292983710754,0,0,0,11.2,4,False
57,48.764001660048962,0,0,0,21.3,1,False
58,48.788287836313259,0,0,0,20.7,2,False
59,48.814139103889488,0,0,0,69.9,5,False
60,100,0,0,0,6.3,1,False
61,125,0,0,0,12.7,3,False
62,150,0,0,0,9,2,False
63,175,0,0,0,30.5,4,False
64,200,0,0,0,131.2,1,False
65,225,0,0,0,21.6,3,False
66,250,0,0,0,58.8,3,False
67,267.45358095765107,0,0,0,32.9,4,False
68,267.50258015990255,0,0,0,21.2,2,False
69,267.51658052206028,0,0,0,56.7,3,False
70,267.61186883449557,0,0,0,13.6,3,False
71,267.75328003168079,0,0,0,114.2,5,False
72,267.76519510746004,0,0,0,33.4,3,False
73,267.77724123597147,0,0,0,170.3,2,False
