boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity
0,47.25379668027165,64,8.45,22.3,30.3,7,0,0,0,0,0
1,47.25636326000097,64,8,11,44.1,16,1,0,0,0,0
2,47.260731856524956,64,8,10.1,219.4,20,2,0,0,0,0
3,47.26746165007364,64,7.8,10.4,3598.6,58,3,1,0.015625,1,1
4,47.27766643762595,64,8,9.8,20.3,41,4,0,0,0,0
5,47.28584959805005,64,8,9.6,10,5,5,0,0,0,0
6,47.30439080595971,64,8,9.3,490.9,6,6,1,0.015625,0,0
7,47.31016860008242,64,8,9.9,15.7,6,7,0,0,0,0
8,47.339061117172264,64,7.85,9.5,13.4,15,8,0,0,0,0
9,47.339702007174424,64,7.85,9,9.5,20,9,0,0,0,0
10,47.37124681919806,64,7.95,10,11.7,5,10,0,0,0,0
11,47.38116506189107,64,8,10.1,10.7,60,11,0,0,0,0
12,47.405578786134754,64,7.75,9.4,12,41,12,0,0,0,0
13,47.42490748912098,64,8,9.5,11,5,13,0,0,0,0
14,47.44107317328451,64,7.95,9.6,10,16,14,0,0,0,0
15,47.46560525596135,64,8,10,16.1,61,15,0,0,0,0
16,47.476804162561905,64,8,10,12,15,16,0,0,0,0
17,47.497136956453346,64,8,10,286.5,7,17,0,0,0,0
18,47.51263943389063,64,7.95,11.4,357.1,62,18,0,0,0,0
19,47.514584347605705,64,8,11,14.9,62,19,0,0,0,0
20,47.54827588349582,64,7.9,9.5,11.2,15,20,0,0,0,0
21,47.58362434357406,64,8,10.4,11.9,5,21,0,0,0,0
22,47.61869406104091,64,7.95,10.2,12,53,22,0,0,0,0
23,47.65354026705023,64,8,9.9,10.7,28,23,0,0,0,0
24,47.68824782669549,64,8,9.6,12.7,45,24,0,0,0,0
25,47.72291185855869,64,7.95,9.8,12.2,22,25,0,0,0,0
26,47.757624070346424,64,7.9,10.4,19,28,26,0,0,0,0
27,47.79246309995665,64,8,10.3,11.3,5,27,0,0,0,0
28,47.827488413453125,64,8,9.5,16,52,28,0,0,0,0
29,47.862737081945,64,8,9.8,11.6,7,29,0,0,0,0
30,47.89822296798229,64,7.9,9.3,10.5,16,30,0,0,0,0
31,47.93393765389919,64,8,10.1,10.9,15,31,0,0,0,0
32,47.96985266357666,64,7.75,9.3,11.7,5,32,0,0,0,0
33,48.00592249780897,64,7.8,9.4,10.2,17,33,0,0,0,0
34,48.042088118195466,64,7.8,9.7,11.2,15,34,0,0,0,0
35,48.07828054577118,64,7.95,9.3,10.8,15,35,0,0,0,0
36,48.11442436575891,64,7.7,9.2,11.1,4,36,0,0,0,0
37,48.15044099241493,64,7.9,9.3,12.2,1,37,0,0,0,0
38,48.1862515375019,64,7.9,9.7,10.8,5,38,0,0,0,0
39,48.22177927196026,64,7.9,9.2,15.3,38,39,0,0,0,0
40,48.256951592117616,64,8,10.8,13.3,52,40,0,0,0,0
41,48.29170162081721,64,7.95,10,10.7,59,41,0,0,0,0
42,48.32596928700798,64,7.75,10,13.2,5,42,0,0,0,0
43,48.35970218628648,64,8,10.2,12.3,5,43,0,0,0,0
44,48.392855721712124,64,7.9,10.2,11.2,60,44,0,0,0,0
45,48.42539348453289,64,7.7,11,11.7,20,45,0,0,0,0
