mode_id,run_index,sequence_index,measured_calls,median_us,p95_us,max_us,median_allocated_bytes,unresolved_calls,calls_over_100us,calls_over_max_ceiling,candidate_allocated_bytes,harness_allocated_bytes,gc_gen0,gc_gen1,gc_gen2
AMBIENT-UNSET-CONTROL,1,1,23040,2,2.5,157.2,0,0,2,0,0,0,0,0,0
AMBIENT-UNSET-CONTROL,2,8,23040,2.1,2.4,697.2,0,0,10,1,0,0,0,0,0
AMBIENT-UNSET-CONTROL,3,11,23040,2,2.6,74.7,0,0,0,0,0,0,0,0,0
AMBIENT-UNSET-CONTROL,4,14,23040,2,2.4,132.9,0,0,1,0,0,0,0,0,0
AMBIENT-UNSET-CONTROL,5,17,23040,2.1,2.4,724.2,0,0,3,1,0,0,0,0,0
TIERING-OFF,1,2,23040,110.6,124.8,1337.9,0,0,18406,16,0,0,0,0,0
TIERING-OFF,2,5,23040,110.6,121.8,1330.2,0,0,18102,13,0,0,0,0,0
TIERING-OFF,3,12,23040,109.8,123.1,15497.2,0,0,18231,18,0,0,0,0,0
TIERING-OFF,4,15,23040,110.1,121.3,878.5,0,0,18436,10,0,0,0,0,0
TIERING-OFF,5,19,23040,109.9,122.4,884.8,0,0,18108,7,0,0,0,0,0
TIERING-ON-PGO-OFF,1,3,23040,4.6,5.5,113.5,0,0,3,0,0,0,0,0,0
TIERING-ON-PGO-OFF,2,6,23040,4.6,5.5,273.9,0,0,6,0,0,0,0,0,0
TIERING-ON-PGO-OFF,3,9,23040,4.6,5.7,125.7,0,0,3,0,0,0,0,0,0
TIERING-ON-PGO-OFF,4,16,23040,4.3,5.1,226.8,0,0,4,0,0,0,0,0,0
TIERING-ON-PGO-OFF,5,18,23040,4.7,5.5,148.8,0,0,2,0,0,0,0,0,0
TIERING-ON-PGO-ON,1,4,23040,4,5.1,330.4,0,0,6,0,0,0,0,0,0
TIERING-ON-PGO-ON,2,7,23040,4.1,4.9,238.4,0,0,6,0,0,0,0,0,0
TIERING-ON-PGO-ON,3,10,23040,4.2,4.9,145.4,0,0,2,0,0,0,0,0,0
TIERING-ON-PGO-ON,4,13,23040,4.3,5.2,226.6,0,0,10,0,0,0,0,0,0
TIERING-ON-PGO-ON,5,20,23040,4.2,5.1,278.4,0,0,4,0,0,0,0,0,0
