mode_id,row_index,probe_id,logical_step,node_id,resolution_path,calls_over_100us,calls_over_max_ceiling,max_us,run_indices,run_pass_pairs
AMBIENT-UNSET-CONTROL,105,exact-v9-5-to-6mwe,62784,suction,C2-MIXTURE-PREFIX,1,0,132.9,4,4:32
AMBIENT-UNSET-CONTROL,120,exact-v9-5-to-6mwe,80784,suction,C2-MIXTURE-PREFIX,1,0,154,1,1:2
AMBIENT-UNSET-CONTROL,168,exact-v9-5-to-6mwe,134784,drum,C2-MIXTURE-PREFIX,1,0,106.4,5,5:47
AMBIENT-UNSET-CONTROL,178,exact-v9-5-to-6mwe,146784,drum,C2-MIXTURE-PREFIX,1,0,159.1,2,2:34
AMBIENT-UNSET-CONTROL,183,exact-v9-5-to-6mwe,152784,drum,C2-MIXTURE-PREFIX,2,0,297.7,1|2,1:7|2:3
AMBIENT-UNSET-CONTROL,2,background-reference,0,outlet,C2-MIXTURE-PREFIX,1,0,162.2,2,2:3
AMBIENT-UNSET-CONTROL,212,exact-v9-5-to-6mwe,188784,outlet,C2-MIXTURE-PREFIX,1,0,112.6,5,5:55
AMBIENT-UNSET-CONTROL,232,exact-v9-5-to-6mwe,212784,outlet,C2-MIXTURE-PREFIX,1,0,100.8,2,2:42
AMBIENT-UNSET-CONTROL,26,background-reference,30000,pressure,C2-MIXTURE-PREFIX,1,0,108.4,2,2:3
AMBIENT-UNSET-CONTROL,276,exact-v9-5-to-6mwe,266784,pressure,C2-MIXTURE-PREFIX,1,1,697.2,2,2:42
AMBIENT-UNSET-CONTROL,287,exact-v9-5-to-6mwe,278784,outlet,C2-MIXTURE-PREFIX,1,1,724.2,5,5:17
AMBIENT-UNSET-CONTROL,311,exact-v9-5-to-6mwe,308784,pressure,C2-MIXTURE-PREFIX,1,0,128.4,2,2:63
AMBIENT-UNSET-CONTROL,315,exact-v9-5-to-6mwe,314784,suction,C2-MIXTURE-PREFIX,1,0,114.1,2,2:7
AMBIENT-UNSET-CONTROL,351,exact-v9-5-to-6mwe,356784,pressure,C2-MIXTURE-PREFIX,1,0,282.2,2,2:43
AMBIENT-UNSET-CONTROL,83,exact-v9-5-to-6mwe,32784,drum,C2-MIXTURE-PREFIX,1,0,105.8,2,2:49
