mode_id,run_index,sequence_index,measured_calls,median_us,p95_us,max_us,median_allocated_bytes,unresolved_calls,calls_over_100us,calls_over_max_ceiling,candidate_allocated_bytes,harness_allocated_bytes,gc_gen0,gc_gen1,gc_gen2
TIERING-OFF-QJ-OFF-QJFL-OFF,1,1,23040,108.8,115.2,582.5,0,0,18441,3,0,0,0,0,0
TIERING-OFF-QJ-OFF-QJFL-OFF,2,8,23040,108.8,114.5,649.9,0,0,18438,4,0,0,0,0,0
TIERING-OFF-QJ-OFF-QJFL-OFF,3,11,23040,109.1,116.9,729.5,0,0,18436,5,0,0,0,0,0
TIERING-OFF-QJ-OFF-QJFL-OFF,4,14,23040,108.5,115.9,525.1,0,0,18442,5,0,0,0,0,0
TIERING-OFF-QJ-OFF-QJFL-OFF,5,17,23040,112.7,118.8,470.2,0,0,18446,3,0,0,0,0,0
TIERING-ON-QJ-OFF-QJFL-OFF,1,2,23040,4.6,5,191.3,0,0,14,0,0,0,0,0,0
TIERING-ON-QJ-OFF-QJFL-OFF,2,5,23040,4.6,5.1,151.4,0,0,5,0,0,0,0,0,0
TIERING-ON-QJ-OFF-QJFL-OFF,3,12,23040,4.6,5,160.2,0,0,4,0,0,0,0,0,0
TIERING-ON-QJ-OFF-QJFL-OFF,4,15,23040,4.6,5.1,457.8,0,0,10,1,0,0,0,0,0
TIERING-ON-QJ-OFF-QJFL-OFF,5,19,23040,4.6,5.8,263.6,0,0,3,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-OFF,1,3,23040,4.3,5,181.3,0,0,4,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-OFF,2,6,23040,4.5,4.9,127.7,0,0,6,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-OFF,3,9,23040,4.4,4.9,134.8,0,0,5,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-OFF,4,16,23040,4.5,5.2,155.7,0,0,4,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-OFF,5,18,23040,4.5,5.1,111.1,0,0,2,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-ON,1,4,23040,4.7,5.5,172.2,0,0,5,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-ON,2,7,23040,4.7,5.1,121.1,0,0,6,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-ON,3,10,23040,4.3,5.1,130.8,0,0,2,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-ON,4,13,23040,4.5,4.9,210.8,0,0,2,0,0,0,0,0,0
TIERING-ON-QJ-ON-QJFL-ON,5,20,23040,4.7,5.3,232,0,0,6,0,0,0,0,0,0
