id,region,property,official_value,helper_value,relative_error,passes_1e-8
R1-T300-P3,REGION-1,specific-volume,0.00100215168,0.0010021516796866943,3.1263311848258057E-10,true
R1-T300-P3,REGION-1,specific-internal-energy,112324.818,112324.81798237831,1.568814952501105E-10,true
R1-T300-P80,REGION-1,specific-volume,0.000971180894,0.0009711808940216297,2.227157170666968E-11,true
R1-T300-P80,REGION-1,specific-internal-energy,106448.356,106448.356212524,1.9964986488420955E-09,true
R1-T500-P3,REGION-1,specific-volume,0.001202418,0.001202418003378339,2.8096211618213283E-09,true
R1-T500-P3,REGION-1,specific-internal-energy,971934.985,971934.9850870902,8.960495011238649E-11,true
R2-T300-P0.0035,REGION-2,specific-volume,39.4913866,39.49138663776299,9.562336944936231E-10,true
R2-T300-P0.0035,REGION-2,specific-internal-energy,2411691.6,2411691.5976078487,9.918977173517174E-10,true
R2-T700-P0.0035,REGION-2,specific-volume,92.3015898,92.30158981741968,1.8872567589024703E-10,true
R2-T700-P0.0035,REGION-2,specific-internal-energy,3012628.19,3012628.189370255,2.0903507449835866E-10,true
R2-T700-P30,REGION-2,specific-volume,0.00542946619,0.005429466194617728,8.50493936848371E-10,true
R2-T700-P30,REGION-2,specific-internal-energy,2468610.7600000002,2468610.7590062777,4.025432442409744E-10,true
R4-PSAT-T300,REGION-4,saturation-pressure,0.00353658941,0.0035365894130130106,8.519538172126368E-10,true
R4-PSAT-T500,REGION-4,saturation-pressure,2.63889776,2.638897756273222,1.4122479672402738E-09,true
R4-PSAT-T600,REGION-4,saturation-pressure,12.3443146,12.344314578376594,1.7516895644338122E-09,true
R4-TSAT-P0.1,REGION-4,saturation-temperature,372.755919,372.7559186113376,1.0426726069792732E-09,true
R4-TSAT-P1,REGION-4,saturation-temperature,453.035632,453.0356323914666,8.640966796402588E-10,true
R4-TSAT-P10,REGION-4,saturation-temperature,584.149488,584.1494879985282,2.5195430816572778E-12,true
