node,construction_method,node_volume_m3,specific_volume_m3_kg,specific_energy_j_kg,mass_kg,internal_energy_j,resolution_path
control-out,c4-prefix-by-target-pressure,100,0.04877141825211464,2568017.4627047763,2050.381218833311,5265414775.165846,C2MixturePrefix
drum,c4-prefix-by-target-temperature,10,0.0025526343760920505,1285602.623855127,3917.5214804203474,5036375894.23722,C2MixturePrefix
exhaust,c4-prefix-by-target-pressure,1000,15.025726993387746,2146238.1344336863,66.55252025010584,142837556.9034473,C2MixturePrefix
feedwater-inventory,c4-near-boundary-liquid-target-tp,10,0.001010945775925426,198367.30625410698,9891.727368706732,1962195312.33038,C2NearBoundaryLiquidPrefix
header,c4-prefix-by-target-pressure,100,0.030991725804371446,2585103.4593897555,3226.6676799875017,8341269781.836807,C2MixturePrefix
hotwell,c4-near-boundary-liquid-target-tp,10,0.0010109297707227903,198188.3150499235,9891.883976124516,1960455817.8974555,C2NearBoundaryLiquidPrefix
outlet,c4-prefix-by-target-pressure,10,0.007271949685349985,1530028.5087290858,1375.1470283335327,2104014157.044389,C2MixturePrefix
pressure,c4-liquid-table-target-tp,10,0.0013319150046541043,1228014.8530602187,7507.98659453272,9219919054.66319,C2LiquidTablePrefix
steam,c4-prefix-by-target-pressure,100,0.030240469279038222,2586212.0180637483,3306.8269899275992,8552155703.008327,C2MixturePrefix
stop-out,c4-prefix-by-target-pressure,100,0.03192268317071505,2583796.617763556,3132.5687588735377,8093920564.089228,C2MixturePrefix
suction,c4-near-boundary-liquid-target-tp,10,0.0013328453387345543,1228118.852856549,7502.7459746337245,9214263779.64126,C2LiquidTablePrefix
turbine-inlet,c4-prefix-by-target-pressure,100,0.05104968638343995,2566581.2821789444,1958.8758929660944,5027614200.998343,C2MixturePrefix
