node,target_pressure_pa,resolved_pressure_pa,pressure_residual_pa,target_temperature_k,resolved_temperature_k,temperature_residual_k,target_phase,resolved_phase,phase_match,target_quality,resolved_quality,quality_residual,selection_score,resolution_path
control-out,3994187.8856824953,3994187.8859694917,0.00028699636459350586,523.4213085893939,523.4209078788757,-0.0004007105181926818,SaturatedMixture,SaturatedMixture,true,0.9777652720483322,0.9777652721225393,7.420708492134054E-11,7.65706253903504E-07,C2MixturePrefix
drum,6416459.280654079,6416459.281680372,0.0010262923315167427,553.149999989397,553.15,1.0603002920106519E-08,SaturatedMixture,SaturatedMixture,true,0.042322749720366454,0.04232274972708037,6.713914146860844E-12,1.8582915011452539E-10,C2MixturePrefix
exhaust,8438.344970819902,8438.344971163331,3.434288373682648E-07,315.67536613075987,315.6750957421958,-0.0002703885640471526,SaturatedMixture,SaturatedMixture,true,0.8729051078626365,0.8729051078953289,3.26924043392296E-11,8.56613346470973E-07,C2MixturePrefix
feedwater-inventory,17484.899929958774,17484.899929709074,-2.496999513823539E-07,320.5284886658307,320.5284886658307,0,SubcooledLiquid,SubcooledLiquid,true,null,null,0,1.4280891076449109E-11,C2NearBoundaryLiquidPrefix
header,6247420.79633744,6247420.795383304,-0.0009541353210806847,551.3857140089044,551.3853529542735,-0.0003610546309573692,SaturatedMixture,SaturatedMixture,true,0.9980222497643916,0.9980222495902376,-1.7415402453480056E-10,6.551400553652869E-07,C2MixturePrefix
hotwell,10808.002981101188,10809.224828769648,1.2218476684593043,320.48565943701715,320.48565943701715,0,SubcooledLiquid,SubcooledLiquid,true,null,null,0,0.00011305027122918268,C2NearBoundaryLiquidPrefix
outlet,6666459.282132472,6666459.282216402,8.392985910177231E-05,555.6953255146227,555.6952079772949,-0.00011753732781016879,SaturatedMixture,SaturatedMixture,true,0.21514191260824764,0.21514191261129753,3.0498936709477675E-12,2.1152961588287009E-07,C2MixturePrefix
pressure,6916459.281680611,6916459.281680632,2.1420419216156006E-08,553.3082998275795,553.3082998275795,0,SubcooledLiquid,SubcooledLiquid,true,null,null,0,3.097020938573518E-15,C2LiquidTablePrefix
steam,6398665.756830846,6398665.757599528,0.000768681988120079,552.9659692384483,552.9656339307692,-0.000335307679165453,SaturatedMixture,SaturatedMixture,true,0.9997887804601804,0.9997887805985191,1.3833867384960286E-10,6.066387862815145E-07,C2MixturePrefix
stop-out,6069485.550324526,6069485.550609279,0.0002847537398338318,549.4887377389139,549.4884188115597,-0.000318927354214793,SaturatedMixture,SaturatedMixture,true,0.9960097013407739,0.9960097013939699,5.319600315800699E-11,5.805075564286179E-07,C2MixturePrefix
suction,6416459.281680332,6416459.393982445,0.11230211332440376,553.1499999999999,553.15,1.1368683772161603E-13,SubcooledLiquid,SubcooledLiquid,true,null,null,0,1.7502193922400297E-08,C2LiquidTablePrefix
turbine-inlet,3816252.638393859,3816252.638242914,-0.0001509450376033783,520.7342832023278,520.7340546488762,-0.00022855345162042795,SaturatedMixture,SaturatedMixture,true,0.9766676884377713,0.976667688397457,-4.031430744788622E-11,4.3898596414374293E-07,C2MixturePrefix
