node,seed_kind,authored_pressure_pa,authored_temperature_k,authored_quality,mass_kg,internal_energy_j,forward_properties_bitwise_equal,mode1_mode2_state_bitwise_equal,mode1_pressure_pa,mode2_pressure_pa,pressure_delta_pa,mode1_temperature_k,mode2_temperature_k,temperature_delta_k,mode1_phase,mode2_phase,mode1_quality,mode2_quality
control-out,SaturatedMixture,3994187.885713359,523.4213085898521,0.9777652720563073,2050.466049852245,5110896780.948232,true,false,3994187.8856824953,3802433.3445803393,-191754.54110215604,523.4213085893939,520.5212975978851,-2.9000109915087933,SaturatedMixture,SaturatedMixture,0.9777652720483322,0.9284072649561326
drum,SteamDrumAtLevel,6416459.281680372,553.15,0.04232274972704696,3918.0095385504724,4825952448.9694395,true,false,6416459.280654079,5538288.949758085,-878170.3308959939,553.149999989397,543.5605988740921,-9.589401115304895,SaturatedMixture,SaturatedMixture,0.042322749720366454,0.036630256812124035
exhaust,SaturatedMixture,8438.344971042914,315.6753661312648,0.8729051078843633,66.56335861027966,144430627.0640083,true,false,8438.344970819902,8546.5558466318,108.2108758118975,315.67536613075987,315.917596270889,0.242230140129152,SaturatedMixture,SaturatedMixture,0.8729051078626365,0.8831853495269008
feedwater-inventory,SubcooledLiquid,13031.434249730151,320.5284886658307,null,9891.562750380897,1967903187.7208362,true,false,17484.899929958774,118114.13422980673,100629.23429984796,320.5284886658307,320.6673542721752,0.13886560634449552,SubcooledLiquid,SubcooledLiquid,null,null
header,SaturatedMixture,6247420.79669356,551.3857140126593,0.9980222498294318,3226.7940664391003,8046776078.465472,true,false,6247420.79633744,5872014.27213273,-375406.52420470957,551.3857140089044,547.3327648580074,-4.052949150897007,SaturatedMixture,SaturatedMixture,0.9980222497643916,0.9302114043810119
hotwell,SaturatedMixture,10808.00298061269,320.48565943701715,0,9891.718932438995,1966154910.0618703,true,false,10808.002981101188,110988.91665691754,100180.91367581635,320.48565943701715,320.62431202134235,0.13865258432520022,SubcooledLiquid,SubcooledLiquid,null,null
outlet,SaturatedMixture,6666459.281680369,555.6953255100864,0.21514191259171503,1375.2501573397371,2017599371.9177291,true,false,6666459.282132472,5963172.77968873,-703286.502443742,555.6953255146227,548.3346368908882,-7.360688623734518,SaturatedMixture,SaturatedMixture,0.21514191260824764,0.18990659294208598
pressure,SubcooledLiquid,6433995.152748211,553.3082998275795,null,7503.222372684405,8828462961.93033,true,false,6916459.281680611,5458214.817836955,-1458244.4638436558,553.3082998275795,542.6299124598503,-10.678387367729215,SubcooledLiquid,SaturatedMixture,null,0.0009014976995890509
steam,SaturatedMixture,6398665.756944919,552.9659692396292,0.9997887804806733,3306.9753003716223,8247126450.58239,true,false,6398665.756830846,6009408.380892663,-389257.3759381827,552.9659692384483,548.8383209347725,-4.127648303675869,SaturatedMixture,SaturatedMixture,0.9997887804601804,0.9306559438453678
stop-out,SaturatedMixture,6069485.549338963,549.4887377282898,0.9960097011570972,3132.6645561930072,7811610864.431434,true,false,6069485.550324526,5710116.659605434,-359368.8907190915,549.4887377389139,545.523839020729,-3.964898718184827,SaturatedMixture,SaturatedMixture,0.9960097013407739,0.9297348869980065
suction,SaturatedMixture,6416459.281680332,553.1499999999999,0,7504.377202844439,8824832406.702536,true,false,6416459.281680332,5446680.777700812,-969778.5039795199,553.1499999999999,542.4947110056877,-10.655288994312173,SubcooledLiquid,SaturatedMixture,null,0.000904378069141673
turbine-inlet,SaturatedMixture,3816252.638358809,520.7342832017894,0.9766676884283638,1958.9547542837688,4882767620.548656,true,false,3816252.638393859,3637156.280941942,-179096.35745191714,520.7342832023278,517.9305806994438,-2.8037025028839935,SaturatedMixture,SaturatedMixture,0.9766676884377713,0.9287263807689722
