step,canonical_fingerprint,shadow_baseline_fingerprint,match
1,7b0554643a899daead2e3e2c4d1246472405770290459074b9710a11f185965e,7b0554643a899daead2e3e2c4d1246472405770290459074b9710a11f185965e,true
2,87bc0f6e4a03279640eb90c563ae9b8c18576931fecc0a20b218405f42e30978,87bc0f6e4a03279640eb90c563ae9b8c18576931fecc0a20b218405f42e30978,true
3,c29ba60484ed45e293d689d63689276dab18013a2036305d4022df220c2c4297,c29ba60484ed45e293d689d63689276dab18013a2036305d4022df220c2c4297,true
4,ea4ce956f8b3e0ac9f5c59271a0533581247861db2d9e360f1eadbac6b4a600b,ea4ce956f8b3e0ac9f5c59271a0533581247861db2d9e360f1eadbac6b4a600b,true
5,42aa703f39db403b38a19966bb719c1a8a3b0d25799d6842b7214d007c32747a,42aa703f39db403b38a19966bb719c1a8a3b0d25799d6842b7214d007c32747a,true
6,80efb78c7f1c01b1cefbd2e6f21978e75ecb48dda0f0edf2a7589f17726feaa6,80efb78c7f1c01b1cefbd2e6f21978e75ecb48dda0f0edf2a7589f17726feaa6,true
7,b61b40dc39cfbafabc89389499e2b60ff17234fc2f0e75cfdb963d72153d6712,b61b40dc39cfbafabc89389499e2b60ff17234fc2f0e75cfdb963d72153d6712,true
8,64af75ba0dc12a02d8c5b65db3aa9bc71e1eb31894fb2e89d64bc6e25c5768b9,64af75ba0dc12a02d8c5b65db3aa9bc71e1eb31894fb2e89d64bc6e25c5768b9,true
9,270ca98fd393b608db3c05995e4b23459dc78cdcefc7b4e7c6846dfe7259a8a6,270ca98fd393b608db3c05995e4b23459dc78cdcefc7b4e7c6846dfe7259a8a6,true
10,a0c43507e63240e955a8196d244ea72b7b5f5dfc9c9cfbdc053dd38c7caf52d5,a0c43507e63240e955a8196d244ea72b7b5f5dfc9c9cfbdc053dd38c7caf52d5,true
11,e8030042a9c00b4237b7a98c054d106d2e3a0493053129017c902a9c62cbc1d6,e8030042a9c00b4237b7a98c054d106d2e3a0493053129017c902a9c62cbc1d6,true
12,1ff1551e590cfbde91a97e105001431babd9361b8d10d9e9ddbaf44747874631,1ff1551e590cfbde91a97e105001431babd9361b8d10d9e9ddbaf44747874631,true
13,0e4ea8e271edb50ffed24cf910216a5abb7d68ea214e52f5874df59cbe6903c3,0e4ea8e271edb50ffed24cf910216a5abb7d68ea214e52f5874df59cbe6903c3,true
14,bb1af9c4f2817505d371be6d34ef6a62985e973ceb90c038d4712535e0924f12,bb1af9c4f2817505d371be6d34ef6a62985e973ceb90c038d4712535e0924f12,true
15,101dfcec7b23dd2db63a82b40914bb50ee4932e40a3f9b601bb507a37c8a48a0,101dfcec7b23dd2db63a82b40914bb50ee4932e40a3f9b601bb507a37c8a48a0,true
16,94ad2575e7477ccbcbdbc173808cc951037cb3a094da81400c171ef3ea1fb1b1,94ad2575e7477ccbcbdbc173808cc951037cb3a094da81400c171ef3ea1fb1b1,true
17,15046b310ad5a123633f1764187de79ff3debae8dd8a1c7a7c5be95d6940ed71,15046b310ad5a123633f1764187de79ff3debae8dd8a1c7a7c5be95d6940ed71,true
18,2ea81cf1490ca6e8d0a74270cffa0dfe08b1a1ffba08a2f48127ac5b32895cb1,2ea81cf1490ca6e8d0a74270cffa0dfe08b1a1ffba08a2f48127ac5b32895cb1,true
19,bb4cd121c2db4cd356c054f3f005481960290f5d0a636e6711253058f6e741e5,bb4cd121c2db4cd356c054f3f005481960290f5d0a636e6711253058f6e741e5,true
