step,seconds,electrical_mwe,primary_pump_kg_s,drum_level,governor_output_percent,moisture_drain_kg_s,transfer_mismatch_kg_s,stage_energy_ownership_residual_w,mass_closure_kg,full_energy_closure_j,balance_mass_rate_kg_s,balance_power_w,trip_active,breaker_closed,rollbacks,fallback_commit_violations,unsafe_commit_violations,untargeted_branch_disagreements,finite,in_envelope
100,1,4.519046956257241,92.7117936623989,0.49412480597070096,36.37909312096764,0.9143640113224709,0,3.725290298461914E-09,0,6.034883881511632E-06,1.7763568394002505E-15,3.4924596548080444E-09,false,true,0,0,0,0,true,false
200,2,4.435578450078218,90.75413560600586,0.4988773334826411,32.467099539996845,0.9120706567711814,0,4.6566128730773926E-09,7.275957614183426E-12,2.1867526811547577E-06,1.7763568394002505E-15,1.3969838619232178E-09,false,true,12,0,0,0,true,false
300,3,4.4783605698058775,37.14416113242868,0.5035176052825574,30.636851716646,0.8982009565642279,0,1.862645149230957E-09,7.275957614183426E-12,1.3946642866358161E-05,1.7763568394002505E-15,1.862645149230957E-09,false,true,58,0,0,0,true,false
400,4,4.465363781670343,91.9296981468112,0.5079475708379254,31.175919173230582,0.8805532162699681,0,9.313225746154785E-10,7.275957614183426E-12,1.7236390704056248E-05,1.7763568394002505E-15,1.862645149230957E-09,false,true,123,0,0,0,true,false
500,5,4.4213427921038875,31.11694469232576,0.5119643333363627,32.81618162688483,0.8640070568349003,0,2.7939677238464355E-09,0,1.8882183212554082E-05,5.329070518200751E-15,2.3283064365386963E-08,false,true,209,0,0,0,true,false
600,6,4.410350562714494,92.69183086327678,0.5153281800897035,35.52942961671391,0.8506764551527262,0,9.313225746154785E-10,7.275957614183426E-12,1.786851862561889E-05,8.881784197001252E-16,1.816079020500183E-08,false,true,300,0,0,0,true,false
700,7,4.541060227225268,92.94806634618251,0.5179079628799743,41.584053394240584,0.8449261676138633,0,0,7.275957614183426E-12,8.310475095640868E-06,1.1546319456101628E-14,1.0710209608078003E-08,false,true,370,0,0,0,true,false
800,8,4.779549267293741,92.03549649101096,0.5191455429342862,53.96070017118858,0.8603214619898694,0,2.7939677238464355E-09,7.275957614183426E-12,5.990295903757215E-08,1.7763568394002505E-14,1.5832483768463135E-08,false,true,440,0,0,0,true,false
900,9,4.053247436453472,56.08771189894507,0.520130730221914,47.33172343173025,0.8870420198247544,0,9.313225746154785E-10,0,9.449711797060445E-06,9.769962616701378E-15,2.1420419216156006E-08,false,true,507,0,0,0,true,false
1000,10,4.345305577587745,67.58453392861934,0.5209890768033112,35.148904061946894,0.8844835586620334,0,3.725290298461914E-09,0,2.6105772121809423E-06,5.329070518200751E-15,7.450580596923828E-09,false,true,574,0,0,0,true,false
1100,11,4.552305174920459,119.03847365191545,0.5214993573004119,33.222490629059976,0.8718369444441887,0,3.725290298461914E-09,0,1.316908310400322E-06,8.881784197001252E-15,1.7695128917694092E-08,false,true,645,0,0,0,true,false
1200,12,4.619890896991968,82.9079194436314,0.5210443656508822,35.0431995087755,0.8630952740054827,0,5.587935447692871E-09,0,1.2125001376261935E-05,5.329070518200751E-15,2.6542693376541138E-08,false,true,714,0,0,0,true,false
1300,13,4.746910488088531,118.6063601118475,0.5210500061053994,39.76487916548781,0.8629053889831937,0,2.7939677238464355E-09,7.275957614183426E-12,6.880447472212836E-06,8.881784197001252E-15,1.0710209608078003E-08,false,true,781,0,0,0,true,false
1400,14,4.942118587404188,65.5711755589494,0.5210656922995189,48.719549597529635,0.8731204748408867,0,9.313225746154785E-10,0,9.100192983169109E-06,1.7763568394002505E-15,5.587935447692871E-09,false,true,847,0,0,0,true,false
1500,15,4.389284535071058,79.28370652909716,0.5211282054220214,49.155241945386386,0.8689632337719395,0,2.7939677238464355E-09,0,1.3770113582722843E-07,5.329070518200751E-15,3.259629011154175E-08,false,true,914,0,0,0,true,false
1600,16,4.300960459103885,119.57182058424908,0.5211675443630075,36.463297675455536,0.8646950418905668,0,1.862645149230957E-09,0,3.277455107308924E-07,2.3092638912203256E-14,0,false,true,981,0,0,0,true,false
1700,17,4.517934210972665,66.41289686445404,0.52114506872931,31.248200978348276,0.8463877740691412,0,2.7939677238464355E-09,0,2.7475107344798744E-06,3.552713678800501E-15,0,false,true,1047,0,0,0,true,false
1800,18,4.543158877525269,80.0073197290457,0.5211926902955416,30.685907303097682,0.8283073229417823,0,0,0,9.910243534250185E-06,5.329070518200751E-15,9.313225746154785E-10,false,true,1114,0,0,0,true,false
1900,19,4.549284256425874,120.35985804260669,0.5212297091119498,30.647064154069422,0.8240353323392959,0,1.862645149230957E-09,1.4551915228366852E-11,1.221066850121133E-05,1.2434497875801753E-14,1.1175870895385742E-08,false,true,1181,0,0,0,true,false
2000,20,4.558402468454999,67.57021799540895,0.5212149865931897,30.67422739051548,0.8209296145801375,0,1.862645149230957E-09,2.1827872842550278E-11,1.0481413482921198E-05,5.329070518200751E-15,4.656612873077393E-10,false,true,1247,0,0,0,true,false
2100,21,4.57127684880931,80.55854672798775,0.5213048791085807,30.719062795459003,0.8188536231735117,0,1.862645149230957E-09,0,6.77856951369904E-06,5.329070518200751E-15,8.381903171539307E-09,false,true,1312,0,0,0,true,false
2200,22,4.58685106927357,120.74361999800077,0.5213947304328179,30.784244349441533,0.817317177288734,0,0,0,6.348273018375039E-07,5.329070518200751E-15,2.3283064365386963E-09,false,true,1377,0,0,0,true,false
2300,23,4.603624945105587,81.91654374485141,0.5214960995426627,30.91381133577877,0.8174760545560229,0,9.313225746154785E-10,7.275957614183426E-12,3.3828146115411073E-06,5.329070518200751E-15,7.450580596923828E-09,false,true,1440,0,0,0,true,false
2400,24,4.620592597890838,72.8262578644402,0.5218999821290888,31.205855513759847,0.8216250681386548,0,0,7.275957614183426E-12,1.9540602806955576E-06,3.552713678800501E-15,1.6763806343078613E-08,false,true,1504,0,0,0,true,false
2500,25,4.623135470682559,92.43315064636042,0.5209462403680222,31.67921624042125,0.8162773575351796,0,4.6566128730773926E-09,1.4551915228366852E-11,1.005482772598043E-06,3.552713678800501E-15,1.816079020500183E-08,false,true,1551,0,0,0,true,false
2600,26,4.611034325094818,125.99029174878817,0.520482807197967,32.046209304972976,0.8120704796517337,0,2.7939677238464355E-09,7.275957614183426E-12,8.235219866037369E-07,0,3.166496753692627E-08,false,true,1601,0,0,0,true,false
