node,inventory_bitwise_equal,mode1_mass_kg,mode2_mass_kg,mode1_energy_j,mode2_energy_j,factory_thermo_bitwise_equal,mode1_pressure_pa,mode2_pressure_pa,factory_pressure_delta_pa,mode1_temperature_k,mode2_temperature_k,factory_temperature_delta_k,mode1_phase,mode2_phase,mode1_quality,mode2_quality,direct_closure_bitwise_equal,direct_mode1_pressure_pa,direct_mode2_pressure_pa,direct_pressure_delta_pa,direct_mode1_temperature_k,direct_mode2_temperature_k,direct_temperature_delta_k,direct_mode1_phase,direct_mode2_phase,direct_mode1_quality,direct_mode2_quality
control-out,false,2050.466049852972,2050.466907710625,5110896780.950194,5110898531.417354,false,3994187.8856824953,3802434.408430457,-191753.4772520382,523.4213085893939,520.5213140189647,-2.8999945704291576,SaturatedMixture,SaturatedMixture,0.9777652720479764,0.9284071398378335,false,3994187.8856824953,3802433.3445803393,-191754.54110215604,523.4213085893939,520.5212975978851,-2.9000109915087933,SaturatedMixture,SaturatedMixture,0.9777652720479764,0.9284072649557947
drum,false,3918.0095385642517,3918.46261291869,4825952448.997289,4826793573.874269,false,6416459.280654079,5539603.299405981,-876855.9812480984,553.149999989397,543.5758225262165,-9.57417746318049,SaturatedMixture,SaturatedMixture,0.042322749720054995,0.036630103622029016,false,6416459.280654079,5538288.949758085,-878170.3308959939,553.149999989397,543.5605988740921,-9.589401115304895,SaturatedMixture,SaturatedMixture,0.042322749720054995,0.0366302568118606
exhaust,false,66.56335860930626,66.53643688142468,144430627.06177378,144368867.52911738,false,8438.344970819902,8542.725519419877,104.38054859997465,315.67536613075987,315.90901250913737,0.23364637837750024,SaturatedMixture,SaturatedMixture,0.8729051078754024,0.8831694060307173,false,8438.344970819902,8546.5558466318,108.2108758118975,315.67536613075987,315.917596270889,0.242230140129152,SaturatedMixture,SaturatedMixture,0.8729051078754024,0.883185349539817
feedwater-inventory,false,9891.562750380146,9891.185455215762,1967903187.7206867,1967828109.34968,false,17484.89976289241,31416.70178958894,13931.802026696529,320.5284886658307,320.66735387583617,0.1388652100054628,SubcooledLiquid,SubcooledLiquid,null,null,false,17484.89976289241,118114.13405720952,100629.23429431711,320.5284886658307,320.6673542721752,0.13886560634449552,SubcooledLiquid,SubcooledLiquid,null,null
header,false,3226.794066440316,3226.7936340596766,8046776078.46874,8046774884.914217,false,6247420.796339619,5872013.384537807,-375407.41180181224,551.3857140089272,547.3327550530433,-4.05295895588381,SaturatedMixture,SaturatedMixture,0.9980222497643924,0.9302113764304889,false,6247420.796339619,5872014.27213273,-375406.52420688886,551.3857140089272,547.3327648580074,-4.052949150919744,SaturatedMixture,SaturatedMixture,0.9980222497643924,0.930211404380646
hotwell,false,9891.718932438931,9891.705451545933,1966154910.0618353,1966162270.675741,false,10808.002980612377,108133.15686238828,97325.1538817759,320.4856594370166,320.6245548941691,0.1388954571525005,SubcooledLiquid,SubcooledLiquid,null,null,false,10808.002980612377,110988.91664177708,100180.9136611647,320.4856594370166,320.6243120213418,0.13865258432520022,SubcooledLiquid,SubcooledLiquid,null,null
outlet,false,1375.2501573325485,1369.8325377165918,2017599371.9071126,2010295715.9227993,false,6666459.282132472,5954431.940817977,-712027.3413144946,555.6953255146227,548.239206457138,-7.4561190574846705,SaturatedMixture,SaturatedMixture,0.21514191260962645,0.19051607642023607,false,6666459.282132472,5963172.77968873,-703286.502443742,555.6953255146227,548.3346368908882,-7.360688623734518,SaturatedMixture,SaturatedMixture,0.21514191260962645,0.18990659294329845
pressure,false,7503.222372685413,7508.857939009505,8828462961.931526,8836060259.09004,false,6916459.2819776535,5461202.704153358,-1455256.5778242955,553.3082998275797,542.6648472189903,-10.643452608589428,SubcooledLiquid,SaturatedMixture,null,0.0008703121354398721,false,6916459.2819776535,5458214.817836955,-1458244.4641406983,553.3082998275797,542.6299124598503,-10.678387367729442,SubcooledLiquid,SaturatedMixture,null,0.0009014976995838792
steam,false,3306.975300364597,3306.7212524348497,8247126450.563516,8246446727.637434,false,6398665.7568185255,6008916.001118059,-389749.7557004662,552.9659692383203,548.8329766184091,-4.132992619911192,SaturatedMixture,SaturatedMixture,0.99978878046018,0.9306445079700454,false,6398665.7568185255,6009408.380892663,-389257.37592586223,552.9659692383203,548.8383209347725,-4.127648303547858,SaturatedMixture,SaturatedMixture,0.99978878046018,0.9306559438474351
stop-out,false,3132.664556191324,3132.6610685985756,7811610864.4269,7811601490.765108,false,6069485.550321524,5710109.8404179,-359375.7099036239,549.4887377388816,545.5237618923187,-3.9649758465628793,SaturatedMixture,SaturatedMixture,0.9960097013407734,0.9297347180524269,false,6069485.550321524,5710116.659605434,-359368.89071608987,549.4887377388816,545.523839020729,-3.96489871815254,SaturatedMixture,SaturatedMixture,0.9960097013407734,0.9297348869985275
