step,seconds,mode1_electrical_mwe,mode2_electrical_mwe,mode1_primary_pump_kg_s,mode2_primary_pump_kg_s,mode1_drum_level,mode2_drum_level,mode1_governor_percent,mode2_governor_percent,mode1_rollbacks,mode2_rollbacks,mode1_key_envelope,mode2_key_envelope,mode1_fingerprint,mode2_fingerprint,fingerprint_match
1,0.01,4.999999999572232,4.989418662277176,99.99999997024275,140.37187099901976,0.49999999999288647,0.4922375494318982,29.281329836804137,32.730987516677985,0,0,true,false,7b0554643a899daead2e3e2c4d1246472405770290459074b9710a11f185965e,013664abfb421844b3d0cd64e3339d4b6ffbcdf74bebaadc12f38927473c580f,false
2,0.02,4.999999999359853,4.984150556875241,99.99999996993384,140.2567536467011,0.4999999999938612,0.49227193085313603,29.281329841515934,32.85460909668098,0,0,true,false,87bc0f6e4a03279640eb90c563ae9b8c18576931fecc0a20b218405f42e30978,3938f0f124e7a27668a68dcf8cb2c4341afca39fa910a785666ed4f4755025e1,false
3,0.03,4.999999999146792,4.978855862033229,99.99999996982532,140.14161106514888,0.49999999999482875,0.49230698653637966,29.28132984616121,32.9760760031535,0,0,true,false,c29ba60484ed45e293d689d63689276dab18013a2036305d4022df220c2c4297,a57d0592db8c10c4e1afb6bc2f5be7a7ac8388ecbc15e6773d9e737ea73c3984,false
4,0.04,4.999999998933158,4.973536369656915,99.99999996980847,140.0269445066448,0.4999999999957899,0.49234109673510823,29.281329850692654,33.09534660221503,0,0,true,false,ea4ce956f8b3e0ac9f5c59271a0533581247861db2d9e360f1eadbac6b4a600b,ab2fb973cc01ae303fc5511648cfd483ac31288ad32ac7aa556151d25a4542d0,false
5,0.05,4.999999998718953,4.96819383145097,99.99999996979638,139.91275002408597,0.499999999996745,0.4923742200109162,29.28132985517528,33.21242721589944,0,0,true,false,42aa703f39db403b38a19966bb719c1a8a3b0d25799d6842b7214d007c32747a,ceb491f00c37daa0af5b8de9be54186c1466430076bcf5eca240e2358ef37d9a,false
6,0.06,4.999999998504278,4.962829995254589,99.99999996978026,139.79902767658427,0.4999999999976943,0.4924063593988782,29.281329859524487,33.32730159617056,0,0,true,false,80efb78c7f1c01b1cefbd2e6f21978e75ecb48dda0f0edf2a7589f17726feaa6,f7bae6c23c8c7a519c517e53e1371df530ef00f7086a6d4addf6adbdd59b6ff6,false
7,0.07,4.999999998289126,4.95744660428523,99.99999996976666,139.68577660750876,0.4999999999986383,0.49243751812634057,29.281329863823483,33.439954473384844,0,0,true,false,b61b40dc39cfbafabc89389499e2b60ff17234fc2f0e75cfdb963d72153d6712,b6eb92a174c4bed193cc2ed9e24c53a426d015ece0f7fde83b828bced3315c4b,false
8,0.08,4.999999998073604,4.952045398046921,99.9999999697526,139.57299759318545,0.4999999999995775,0.49246769941138185,29.281329868044963,33.550370454293216,0,0,true,false,64af75ba0dc12a02d8c5b65db3aa9bc71e1eb31894fb2e89d64bc6e25c5768b9,85eafa152e59ac13691eb5d2f508e7664e07d3e177c3e87869100d903556a450,false
9,0.09,4.999999997857726,4.946628103314702,99.99999996978865,139.46068958461464,0.5000000000005119,0.49249690662912354,29.281329872160264,33.65853551385006,0,0,true,false,270ca98fd393b608db3c05995e4b23459dc78cdcefc7b4e7c6846dfe7259a8a6,e8610fb74b38e78c2d12b022f91992d3e644f6198b80dc53be0d97c301ed46b3,false
10,0.1,4.999999997641533,4.941196138371942,99.9999999697283,139.34885280069506,0.500000000001442,0.4925251432428791,29.281329876206204,33.76463123918549,0,0,true,false,a0c43507e63240e955a8196d244ea72b7b5f5dfc9c9cfbdc053dd38c7caf52d5,1e7b0122455ac75a3f574b8692f9f5b88699bcc04434c9ef144e5ffd8be012cf,false
11,0.11,4.999999997425089,4.9357507068201985,99.9999999697608,139.23748709105183,0.5000000000023678,0.49255241280244544,29.281329880164122,33.868788039778096,0,0,true,false,e8030042a9c00b4237b7a98c054d106d2e3a0493053129017c902a9c62cbc1d6,8d2eed0999be73cd1060ad84f845e76da5236806f377b3f4a411bc6e529baaf4,false
12,0.12,4.999999997208444,4.930293003038668,99.99999996974282,139.12659175291063,0.5000000000032896,0.4925787204379139,29.2813298840431,33.97100667196179,0,0,true,false,1ff1551e590cfbde91a97e105001431babd9361b8d10d9e9ddbaf44747874631,594d2ee98eedcb2c77c66c6b6fbfdb47c71b7cfb28073e5f9f79109424f61349,false
13,0.13,4.999999996991646,4.924824212268202,99.99999996972997,139.01616680583203,0.5000000000042074,0.4926040893362564,29.28132988782402,34.071288305691894,0,0,true,false,0e4ea8e271edb50ffed24cf910216a5abb7d68ea214e52f5874df59cbe6903c3,c4d26645c01daa8517db49428803dbb25c282ffd4795e7ee332e5d491bcf0115,false
14,0.14,4.9999999967747515,4.919345511116592,99.99999996971498,138.90621226905387,0.5000000000051215,0.4926285010905806,29.2813298915346,34.1696342418041,0,0,true,false,bb1af9c4f2817505d371be6d34ef6a62985e973ceb90c038d4712535e0924f12,c561b4ef4dc8d8b036ff0bc4092756ed24c4c552125752dae592a9aac566d288,false
15,0.15,4.999999996557803,4.913858067441122,99.99999996970492,138.79672741888697,0.500000000006032,0.4926519596389126,29.281329895156187,34.26604631267345,0,0,true,false,101dfcec7b23dd2db63a82b40914bb50ee4932e40a3f9b601bb507a37c8a48a0,d25fddbec7b0d8afee75e862b1d2df9e0d6540258ec768dc4d8eede9e2af1c28,false
