node,mode1_mass_kg,candidate_mass_kg,mass_delta_kg,mode1_energy_j,candidate_energy_j,energy_delta_j,mode1_pressure_pa,candidate_pressure_pa,pressure_delta_pa,mode1_temperature_k,candidate_temperature_k,temperature_delta_k,mode1_phase,candidate_phase,mode1_quality,candidate_quality
control-out,2050.466049852972,2050.381222560383,-0.08482729258912514,5110896780.950194,5265418715.388182,154521934.43798733,3994187.8856824953,3994192.792385241,4.906702745705843,523.4213085893939,523.4209807157516,-0.00032787364227715443,SaturatedMixture,SaturatedMixture,0.9777652720479764,0.9777665389270953
drum,3918.0095385642517,3917.5200455806785,-0.48949298357320004,4825952448.997289,5036497798.991229,210545349.99394035,6416459.280654079,6416998.008399585,538.7277455059811,553.149999989397,553.1555499076843,0.005549918287329092,SaturatedMixture,SaturatedMixture,0.042322749720054995,0.042326258086572505
exhaust,66.56335860930626,66.54959170195576,-0.013766907350500901,144430627.06177378,142837033.63479686,-1593593.4269769192,8438.344970819902,8438.34482487792,-0.00014594198182749096,315.67536613075987,315.6750954143703,-0.00027071638959341726,SaturatedMixture,SaturatedMixture,0.8729051078754024,0.8729435091754422
feedwater-inventory,9891.562750380146,9891.727282114987,0.16453173484114814,1967903187.7206867,1962195295.4355776,-5707892.285109043,17484.89976289241,17465.010264681874,-19.889498210537568,320.5284886658307,320.52848867265635,6.825644049968105E-09,SubcooledLiquid,SubcooledLiquid,null,null
header,3226.794066440316,3226.6676729603546,-0.1263934799612798,8046776078.46874,8341270025.549723,294493947.0809822,6247420.796339619,6247421.118846613,0.32250699400901794,551.3857140089272,551.38535636444,-0.0003576444871669082,SaturatedMixture,SaturatedMixture,0.9980222497643924,0.9980223109012594
hotwell,9891.718932438931,9891.886773516422,0.16784107749117538,1966154910.0618353,1960456469.0177197,-5698441.044115543,10808.002980612377,11454.309766520922,646.3067859085459,320.4856594370166,320.48566177639435,2.339377772386797E-06,SubcooledLiquid,SubcooledLiquid,null,null
outlet,1375.2501573325485,1375.1480419446827,-0.10211538786575147,2017599371.9071126,2103992555.7504,86393183.84328747,6666459.282132472,6666268.808410613,-190.47372185904533,555.6953255146227,555.6933011651039,-0.0020243495188196903,SaturatedMixture,SaturatedMixture,0.21514191260962645,0.21513479704234126
pressure,7503.222372685413,7507.986147440418,4.763774755005215,8828462961.931526,9219920047.798223,391457085.8666973,6916459.2819776535,6916491.155408702,31.873431048355997,553.3082998275797,553.3083502019205,5.0374340730741096E-05,SubcooledLiquid,SubcooledLiquid,null,null
steam,3306.975300364597,3306.8280792371056,-0.14722112749132066,8247126450.563516,8552133989.932194,305007539.3686781,6398665.7568185255,6398636.291320902,-29.465497623197734,552.9659692383203,552.965328618458,-0.0006406198623380988,SaturatedMixture,SaturatedMixture,0.99978878046018,0.9997831330914833
stop-out,3132.664556191324,3132.5687589318086,-0.09579725951562068,7811610864.4269,8093920876.635889,282310012.20898914,6069485.550321524,6069485.949692327,0.3993708025664091,549.4887377388816,549.4884231179952,-0.00031462088634270913,SaturatedMixture,SaturatedMixture,0.9960097013407734,0.9960097759291129
suction,7504.377202844439,7502.7459746337245,-1.631228210714653,8824832406.702444,9214159482.773243,389327076.0707989,6416459.281680081,6416187.152457439,-272.129222641699,553.1499999999969,553.1471803564641,-0.002819643532802729,SubcooledLiquid,SaturatedMixture,null,3.0746052742942684E-07
turbine-inlet,1958.9547542847245,1958.875892967201,-0.07886131752343317,4882767620.55122,5027634334.846425,144866714.29520512,3816252.638393859,3816277.8025847385,25.16419087955728,520.7342832023278,520.7344405442476,0.0001573419198166448,SaturatedMixture,SaturatedMixture,0.9766676884372829,0.9766744093469764
