step,seconds,path,mode1_head_pa,candidate_head_pa,head_delta_pa
1,0.01,main-circulation-pump,499999.99969933834,499599.0088971099,-400.9908022284508
1,0.01,channel,249999.9998481134,250274.50190228596,274.502054172568
1,0.01,return,250000.00147839263,248922.7707608249,-1077.230717567727
1,0.01,main-steam-line,151244.96047175676,151203.3866914753,-41.573780281469226
1,0.01,stop-valve,177935.2460211739,177935.11961920746,-0.1264019664376974
1,0.01,control-valve,2075297.6646369603,2075290.8759703771,-6.788666583131999
1,0.01,admission-valve,177935.2472886364,177904.8833420882,-30.36394654819742
1,0.01,turbine-expansion,3807814.293423039,3807852.038287785,37.74486474599689
2,0.02,main-circulation-pump,499999.99969825335,499523.27685944457,-476.7228388087824
2,0.02,channel,249999.99984909035,250302.8682363676,302.86838727723807
2,0.02,return,250000.00147839263,248584.82987954095,-1415.1715988516808
2,0.02,main-steam-line,151244.96046457998,151193.5512310071,-51.409233572892845
2,0.02,stop-valve,177935.24602439906,177935.06568450388,-0.18033989518880844
2,0.02,control-valve,2075297.6646348415,2075288.566899483,-9.097735358402133
2,0.02,admission-valve,177935.2472886364,177894.79592319718,-40.45136543922126
2,0.02,turbine-expansion,3807814.293423039,3807864.618317766,50.32489472720772
3,0.03,main-circulation-pump,499999.9996980848,499461.6761306394,-538.3235674453899
3,0.03,channel,249999.99984909035,250314.6630921401,314.6632430497557
3,0.03,return,250000.00147839263,248256.65654167067,-1743.3449367219582
3,0.03,main-steam-line,151244.96045755502,151185.58177496959,-59.378682585433125
3,0.03,stop-valve,177935.24602751434,177935.010945132,-0.2350823823362589
3,0.03,control-valve,2075297.6646327227,2075286.233482847,-11.431149875745177
3,0.03,admission-valve,177935.2472886364,177884.7255362966,-50.52175233978778
3,0.03,turbine-expansion,3807814.293423039,3807877.1978481403,62.90442510135472
4,0.04,main-circulation-pump,499999.9996979637,499409.3138193069,-590.6858786568046
4,0.04,channel,249999.99984909035,250314.865693721,314.8658446306363
4,0.04,return,250000.00147839263,247937.93587567285,-2062.065602719784
4,0.04,main-steam-line,151244.96045048907,151179.39781384636,-65.56263664271683
4,0.04,stop-valve,177935.24603082798,177934.95914271567,-0.28688811231404543
4,0.04,control-valve,2075297.6646305183,2075283.8709511124,-13.793679405935109
4,0.04,admission-valve,177935.2472886364,177874.67418891983,-60.5730997165665
4,0.04,turbine-expansion,3807814.293423039,3807889.776875586,75.48345254687592
5,0.05,main-circulation-pump,499999.9996978026,499362.82853840105,-637.171159401536
5,0.05,channel,249999.99984909035,250306.91205433477,306.9122052444145
5,0.05,return,250000.00147839263,247628.35896400083,-2371.6425143918023
5,0.05,main-steam-line,151244.96044356097,151174.92032599915,-70.04011756181717
5,0.05,stop-valve,177935.2460340634,177934.90904564317,-0.3369884202256799
5,0.05,control-valve,2075297.6646282757,2075281.4834470116,-16.18118126410991
5,0.05,admission-valve,177935.2472886364,177864.6418810687,-70.60540756769478
5,0.05,turbine-expansion,3807814.293423039,3807902.355400099,88.06197706004605
6,0.06,main-circulation-pump,499999.9996976666,499319.9238055749,-680.0758920917287
6,0.06,channel,249999.99984909035,250293.1701041041,293.17025501374155
6,0.06,return,250000.00147839263,247327.6258200761,-2672.3756583165377
6,0.06,main-steam-line,151244.960436604,151172.08130719233,-72.87912941165268
6,0.06,stop-valve,177935.24603737146,177934.8637166014,-0.3823207700625062
6,0.06,control-valve,2075297.6646260144,2075279.0668278127,-18.59779820172116
6,0.06,admission-valve,177935.2472886364,177854.6295844498,-80.61770418658853
6,0.06,turbine-expansion,3807814.293423039,3807914.9324466498,100.63902361085638
7,0.07,main-circulation-pump,499999.999697526,499279.0309375264,-720.9687599996105
7,0.07,channel,249999.99984909035,250275.27104313485,275.2711940445006
7,0.07,return,250000.00147839263,247035.4540669797,-2964.547411412932
