step,seconds,mode1_speed_setpoint,candidate_speed_setpoint,mode1_speed_measurement,candidate_speed_measurement,mode1_speed_error,candidate_speed_error,mode1_speed_integral,candidate_speed_integral,mode1_governor,candidate_governor,mode1_stage_command_kg_s,candidate_stage_command_kg_s,mode1_stage_transfer_kg_s,candidate_stage_transfer_kg_s,mode1_moisture_drain_kg_s,candidate_moisture_drain_kg_s,mode1_shaft_power_w,candidate_shaft_power_w
1,0.01,3000.75,3000.75,2999.9999999872653,2999.9999573598293,0.7500000127347448,0.7500426401707045,28.531329697440444,28.53132970596713,29.281329836804137,29.28222490151453,13.339237085309449,13.338477791731055,13.339237085309449,13.338477791731055,0.31123523568339095,0.3111278729043647,5602040.795309585,5601760.30630298
2,0.02,3000.75,3000.75,2999.999999981011,2999.9998725588216,0.7500000189888851,0.7501274411783925,28.531329697444242,28.53132973145537,29.281329841515934,29.28315319278752,13.339237085424859,13.338098940332097,13.339237085424859,13.338098940332097,0.3112352356893311,0.31107422181334243,5602040.79534505,5601620.272928496
3,0.03,3000.75,3000.75,2999.999999974834,2999.999746085933,0.7500000251661731,0.7502539140668887,28.531329697449276,28.53132978223818,29.28132984616121,29.284113154074994,13.33923708554575,13.33772079191933,13.33923708554575,13.33772079191933,0.31123523569539024,0.311020592813378,5602040.795382965,5601480.455015476
4,0.04,3000.75,3000.75,2999.999999968735,2999.999578449767,0.7500000312647899,0.7504215502331135,28.53132969745553,28.531329866548226,29.281329850692654,29.285104140105837,13.33923708566252,13.337343271292697,13.33923708566252,13.337343271292697,0.3112352357013428,0.3109669841438709,5602040.795419302,5601340.821932917
5,0.05,3000.75,3000.75,2999.999999962714,2999.9993701510025,0.7500000372860995,0.7506298489975052,28.531329697462986,28.531329992518025,29.28132985517528,29.286125816803363,13.339237085786728,13.336966453767507,13.339237085786728,13.336966453767507,0.3112352357074659,0.3109133975540477,5602040.795458909,5601201.406265218
6,0.06,3000.75,3000.75,2999.9999999567726,2999.9991217016054,0.7500000432273737,0.7508782983945821,28.53132969747163,28.531330168177703,29.281329859524487,29.287177454513824,13.339237085908001,13.336590339403424,13.339237085908001,13.336590339403424,0.31123523571351086,0.31085983303802145,5602040.795497435,5601062.209003357
7,0.07,3000.75,3000.75,2999.99999995091,2999.998833615035,0.7500000490899765,0.7511663849650176,28.53132969748145,28.531330401454696,29.281329863823483,29.288258517828424,13.339237086031998,13.336214964691061,13.339237086031998,13.336214964691061,0.3112352357196073,0.3108062949002015,5602040.795537259,5600923.244956684
8,0.08,3000.75,3000.75,2999.999999945126,2999.9985064103407,0.7500000548739081,0.751493589659276,28.531329697492424,28.531330700172628,29.281329868044963,29.289368383717072,13.339237086153378,13.3358402932607,13.339237086153378,13.3358402932607,0.31123523572563805,0.3107527788240283,5602040.795576135,5600784.501313993
9,0.09,3000.75,3000.75,2999.999999939422,2999.998140603635,0.7500000605778041,0.7518593963650346,28.53132969750454,28.531331072051902,29.281329872160264,29.29050660253211,13.339237086276887,13.335466325171616,13.339237086276887,13.335466325171616,0.3112352357317061,0.3106992848036114,5602040.795616057,5600645.979073215
10,0.1,3000.75,3000.75,2999.999999933798,2999.9977367122356,0.7500000662021193,0.7522632877644355,28.53132969751778,28.531331524709454,29.281329876206204,29.291672640461908,13.339237086403607,13.335093135755637,13.339237086403607,13.335093135755637,0.3112352357378452,0.3106458145865467,5602040.795657478,5600507.710856469
11,0.11,3000.75,3000.75,2999.9999999282536,2999.997295264179,0.750000071746399,0.7527047358212258,28.53132969753213,28.531332065656617,29.281329880164122,29.292865762613648,13.339237086529664,13.334720649803364,13.339237086529664,13.334720649803364,0.3112352357439576,0.3105923664130117,5602040.795698777,5600369.666063159
12,0.12,3000.75,3000.75,2999.9999999227894,2999.996816778819,0.7500000772106432,0.7531832211811889,28.531329697547573,28.531332702300855,29.2813298840431,29.294085630681305,13.339237086656732,13.334348942650555,13.339237086656732,13.334348942650555,0.31123523575008427,0.3105389420302007,5602040.795740653,5600231.877320646
13,0.13,3000.75,3000.75,2999.999999917406,2999.996301786042,0.7500000825939424,0.7536982139581596,28.531329697564093,28.531333441943648,29.28132988782402,29.295331511441223,13.339237086785618,13.333978013160309,13.339237086785618,13.333978013160309,0.31123523575624645,0.3104855448644237,5602040.795783447,5600094.343660891
14,0.14,3000.75,3000.75,2999.9999999121032,2999.99575081587,0.7500000878967512,0.7542491841300034,28.531329697581672,28.531334291780475,29.2813298915346,29.296602879347354,13.33923708691506,13.333607862599537,13.33923708691506,13.333607862599537,0.3112352357624122,0.31043217147617597,5602040.79582663,5599957.068102971
15,0.15,3000.75,3000.75,2999.9999999068814,2999.995164399587,0.750000093118615,0.7548356004131165,28.531329697600295,28.531335258900558,29.281329895156187,29.297899184975936,13.33923708704583,13.333238528674798,13.33923708704583,13.333238528674798,0.3112352357686028,0.31037882273518314,5602040.795870524,5599820.06748808
16,0.16,3000.75,3000.75,2999.999999901741,2999.9945430738385,0.7500000982590791,0.7554569261615143,28.531329697619945,28.53133635028579,29.281329898688305,29.29921979141526,13.339237087174924,13.332869972609101,13.339237087174924,13.332869972609101,0.3112352357747419,0.31032550119109104,5602040.7959138695,5599683.325047402
17,0.17,3000.75,3000.75,2999.999999896681,2999.9938873702827,0.7500001033190529,0.756112629717336,28.531329697640608,28.531337572811733,29.281329902159136,29.300564273645502,13.339237087305065,13.332502196871438,13.339237087305065,13.332502196871438,0.3112352357808952,0.3102721999720437,5602040.795957812,5599546.84579582
18,0.18,3000.75,3000.75,2999.999999891703,2999.9931978221707,0.7500001082971721,0.7568021778292859,28.53132969766227,28.531338933247298,29.281329905521826,29.301932073315584,13.339237087437127,13.332135274411208,13.339237087437127,13.332135274411208,0.31123523578708934,0.3102189276885614,5602040.796002715,5599410.658406784
19,0.19,3000.75,3000.75,2999.9999998868057,2999.9924749714414,0.7500001131943463,0.7575250285585753,28.531329697684907,28.53134043825301,29.281329908822737,29.303322481397373,13.339237087569503,13.33176913120974,13.339237087569503,13.33176913120974,0.31123523579327816,0.31016567914920223,5602040.796047905,5599274.734292137
20,0.2,3000.75,3000.75,2999.9999998819894,2999.9917193511415,0.7500001180105755,0.7582806488585447,28.531329697708507,28.531342094382783,29.281329912043667,29.304735149240717,13.339237087701807,13.331403804977935,13.339237087701807,13.331403804977935,0.3112352357994581,0.31011245522315,5602040.796093222,5599139.090297441
21,0.21,3000.75,3000.75,2999.999999877255,2999.9909314992406,0.7500001227449502,0.7590685007594402,28.531329697733057,28.531343908082935,29.2813299151655,29.306169446860284,13.339237087836278,13.331039333430793,13.339237087836278,13.331039333430793,0.31123523580567714,0.31005925677918356,5602040.796139606,5599003.743279119
22,0.22,3000.75,3000.75,2999.9999998726025,2999.9901119584947,0.7500001273974704,0.7598880415052918,28.531329697758537,28.531345885691234,29.28132991820641,29.307624742113557,13.339237087972249,13.330675715435953,13.339237087972249,13.330675715435953,0.3112352358119246,0.31000608724236933,5602040.796186777,5598868.692293719
23,0.23,3000.75,3000.75,2999.999999868032,2999.9892612709095,0.750000131968136,0.7607387290904626,28.53132969778493,28.53134803343705,29.28132992116638,29.30910051423093,13.33923708810686,13.330312953468194,13.33923708810686,13.330312953468194,0.3112352358181312,0.30995293974102545,5602040.796233532,5598733.942376534
24,0.24,3000.75,3000.75,2999.999999863543,2999.98837997947,0.7500001364569471,0.76162002052979,28.53132969781222,28.53135035744116,29.28132992404539,29.3105962067575,13.339237088243284,13.329951007541547,13.339237088243284,13.329951007541547,0.31123523582436796,0.309899820257046,5602040.796281206,5598599.474772669
25,0.25,3000.75,3000.75,2999.999999859136,2999.9874686208223,0.7500001408639037,0.7625313791777444,28.531329697840395,28.531352863716993,29.28132992684343,29.312111415853824,13.339237088378802,13.32958995422878,13.339237088378802,13.32958995422878,0.3112352358305781,0.3098467271017764,5602040.796328655,5598465.324148798
