checkpoint,node,mode1_mass_kg,candidate_mass_kg,mass_delta_kg,mode1_energy_j,candidate_energy_j,energy_delta_j,mode1_pressure_pa,candidate_pressure_pa,pressure_delta_pa,mode1_temperature_k,candidate_temperature_k,temperature_delta_k,mode1_phase,candidate_phase,mode1_quality,candidate_quality,phase_match
raw,control-out,2050.466049852245,2050.381218833311,-0.0848310189339827,5110896780.948232,5265414775.165846,154517994.21761417,3994187.8856824953,3994187.8859694917,0.00028699636459350586,523.4213085893939,523.4209078788757,-0.0004007105181926818,SaturatedMixture,SaturatedMixture,0.9777652720483322,0.9777652721225393,true
raw,drum,3918.0095385504724,3917.5214804203474,-0.4880581301249549,4825952448.9694395,5036375894.23722,210423445.2677803,6416459.280654079,6416459.281680372,0.0010262923315167427,553.149999989397,553.15,1.0603002920106519E-08,SaturatedMixture,SaturatedMixture,0.042322749720366454,0.04232274972708037,true
raw,exhaust,66.56335861027966,66.55252025010584,-0.010838360173821115,144430627.0640083,142837556.9034473,-1593070.1605609953,8438.344970819902,8438.344971163331,3.434288373682648E-07,315.67536613075987,315.6750957421958,-0.0002703885640471526,SaturatedMixture,SaturatedMixture,0.8729051078626365,0.8729051078953289,true
raw,feedwater-inventory,9891.562750380897,9891.727368706732,0.16461832583445357,1967903187.7208362,1962195312.33038,-5707875.3904562,17484.899929958774,17484.899929709074,-2.496999513823539E-07,320.5284886658307,320.5284886658307,0,SubcooledLiquid,SubcooledLiquid,null,null,true
raw,header,3226.7940664391003,3226.6676799875017,-0.12638645159859152,8046776078.465472,8341269781.836807,294493703.371335,6247420.79633744,6247420.795383304,-0.0009541353210806847,551.3857140089044,551.3853529542735,-0.0003610546309573692,SaturatedMixture,SaturatedMixture,0.9980222497643916,0.9980222495902376,true
raw,hotwell,9891.718932438995,9891.883976124516,0.16504368552159576,1966154910.0618703,1960455817.8974555,-5699092.164414883,10808.002981101188,10809.224828769648,1.2218476684593043,320.48565943701715,320.48565943701715,0,SubcooledLiquid,SubcooledLiquid,null,null,true
raw,outlet,1375.2501573397371,1375.1470283335327,-0.10312900620442633,2017599371.9177291,2104014157.044389,86414785.12665987,6666459.282132472,6666459.282216402,8.392985910177231E-05,555.6953255146227,555.6952079772949,-0.00011753732781016879,SaturatedMixture,SaturatedMixture,0.21514191260824764,0.21514191261129753,true
raw,pressure,7503.222372684405,7507.98659453272,4.764221848315174,8828462961.93033,9219919054.66319,391456092.73286057,6916459.281680611,6916459.281680632,2.1420419216156006E-08,553.3082998275795,553.3082998275795,0,SubcooledLiquid,SubcooledLiquid,null,null,true
raw,steam,3306.9753003716223,3306.8269899275992,-0.1483104440230818,8247126450.58239,8552155703.008327,305029252.4259367,6398665.756830846,6398665.757599528,0.000768681988120079,552.9659692384483,552.9656339307692,-0.000335307679165453,SaturatedMixture,SaturatedMixture,0.9997887804601804,0.9997887805985191,true
raw,stop-out,3132.6645561930072,3132.5687588735377,-0.09579731946951142,7811610864.431434,8093920564.089228,282309699.657794,6069485.550324526,6069485.550609279,0.0002847537398338318,549.4887377389139,549.4884188115597,-0.000318927354214793,SaturatedMixture,SaturatedMixture,0.9960097013407739,0.9960097013939699,true
raw,suction,7504.377202844439,7502.7459746337245,-1.631228210714653,8824832406.702536,9214263779.64126,389431372.9387245,6416459.281680332,6416459.393982445,0.11230211332440376,553.1499999999999,553.15,1.1368683772161603E-13,SubcooledLiquid,SubcooledLiquid,null,null,true
raw,turbine-inlet,1958.9547542837688,1958.8758929660944,-0.07886131767440929,4882767620.548656,5027614200.998343,144846580.449687,3816252.638393859,3816252.638242914,-0.0001509450376033783,520.7342832023278,520.7340546488762,-0.00022855345162042795,SaturatedMixture,SaturatedMixture,0.9766676884377713,0.976667688397457,true
