checkpoint,node,mode1_mass_kg,candidate_mass_kg,mass_delta_kg,mode1_energy_j,candidate_energy_j,energy_delta_j,mode1_pressure_pa,candidate_pressure_pa,pressure_delta_pa,mode1_temperature_k,candidate_temperature_k,temperature_delta_k,mode1_phase,candidate_phase,mode1_quality,candidate_quality,phase_match
seed-step1,control-out,2050.466049852302,2050.381218833204,-0.0848310190981465,5110896780.94839,5265416740.196764,154519959.248374,3994187.8856824953,3994190.335162296,2.4494798006489873,523.4213085893939,523.420944237709,-0.0003643516848796935,SaturatedMixture,SaturatedMixture,0.9777652720483042,0.9777659053983857,true
seed-step1,drum,3918.0095385572336,3917.5214803115714,-0.4880582456621596,4825952448.983236,5036438770.739599,210486321.75636292,6416459.280654079,6416733.389389899,274.1087358193472,553.149999989397,553.1528238296509,0.0028238402538818264,SaturatedMixture,SaturatedMixture,0.042322749720213625,0.04232451821529878,true
seed-step1,exhaust,66.5633586097926,66.5510561566174,-0.012302453175195183,144430627.06289014,142837298.76606247,-1593328.296827674,8438.344970819902,8438.345135734415,0.00016491451242472976,315.67536613075987,315.67509611099956,-0.0002700197603076049,SaturatedMixture,SaturatedMixture,0.8729051078690243,0.8729243283736013,true
seed-step1,feedwater-inventory,9891.562750380514,9891.72736916472,0.16461878420705034,1967903187.7207596,1962195312.5399299,-5707875.180829763,17484.899844471598,17485.008023249316,0.10817877771842177,320.5284886658307,320.52848866870204,2.8713316169159953E-09,SubcooledLiquid,SubcooledLiquid,null,null,true
seed-step1,header,3226.79406643971,3226.6676799893353,-0.1263864503748664,8046776078.467112,8341269913.748507,294493835.28139496,6247420.796338553,6247420.965249719,0.1689111664891243,551.3857140089158,551.3853547451189,-0.000359263796894993,SaturatedMixture,SaturatedMixture,0.9980222497643914,0.9980222805945639,true
seed-step1,hotwell,9891.718932438978,9891.885439759048,0.16650732006928592,1966154910.061856,1960456156.548816,-5698753.513040066,10808.002980612497,11146.693518487325,338.6905378748288,320.48565943701686,320.4856606120557,1.1750388466680306E-06,SubcooledLiquid,SubcooledLiquid,null,null,true
seed-step1,outlet,1375.2501573358766,1375.147028331389,-0.10312900448752771,2017599371.912105,2104002590.8931763,86403218.98107123,6666459.282132472,6666362.628266034,-96.65386643819511,555.6953255146227,555.6942403852939,-0.0010851293287714725,SaturatedMixture,SaturatedMixture,0.2151419126089881,0.21513840049315072,true
seed-step1,pressure,7503.222372685308,7507.986594646093,4.7642219607851075,8828462961.931402,9219919831.66078,391456869.72937775,6916459.281946879,6916498.554694102,39.27274722326547,553.3082998275797,553.308333460437,3.363285725299647E-05,SubcooledLiquid,SubcooledLiquid,null,null,true
seed-step1,steam,3306.975300368096,3306.826989924279,-0.14831044381708125,8247126450.572917,8552143382.505829,305016931.9329119,6398665.7568246145,6398649.959680897,-15.797143717296422,552.965969238384,552.9654702419944,-0.0004989963896377958,SaturatedMixture,SaturatedMixture,0.999788780460178,0.9997859374722212,true
seed-step1,stop-out,3132.6645561924715,3132.5687588725377,-0.09579731993380847,7811610864.429989,8093920720.279533,282309855.8495445,6069485.550323567,6069485.749460348,0.1991367805749178,549.4887377389036,549.4884209573269,-0.00031678157677106356,SaturatedMixture,SaturatedMixture,0.9960097013407739,0.9960097385425486,true
seed-step1,suction,7504.377202844439,7502.7459746337245,-1.631228210714653,8824832406.70249,9214211616.923414,389379210.2209244,6416459.281680206,6416323.180313874,-136.10136633180082,553.1499999999985,553.148589797398,-0.00141020260048208,SubcooledLiquid,SaturatedMixture,null,1.5376981274668928E-07,false
seed-step1,turbine-inlet,1958.954754284247,1958.875892967201,-0.07886131704594845,4882767620.549939,5027624268.363931,144856647.81399155,3816252.638393859,3816265.22089968,12.582505821250379,520.7342832023278,520.7342476040125,-3.559831532129465E-05,SaturatedMixture,SaturatedMixture,0.9766676884375269,0.9766710489901047,true
