checkpoint,path,mode1_head_pa,candidate_head_pa,head_delta_pa
seed-step1,main-circulation-pump,499999.99973332696,499824.6256197719,-175.3741135550663
seed-step1,channel,249999.99981440697,250135.92642806843,135.92661366146058
seed-step1,return,250000.00147839263,249629.2388761351,-370.7626022575423
seed-step1,main-steam-line,151244.96048606187,151228.9944311781,-15.966054883785546
seed-step1,stop-valve,177935.24601498526,177935.21578937117,-0.030225614085793495
seed-step1,control-valve,2075297.664641072,2075295.414298052,-2.2503430200740695
seed-step1,admission-valve,177935.2472886364,177925.1142626158,-10.133026020601392
seed-step1,turbine-expansion,3807814.293423039,3807826.8757639457,12.582340906839818
seed-step2,main-circulation-pump,499999.99970242754,499695.9970487375,-304.002653690055
seed-step2,channel,249999.9998451816,250222.346998089,222.34715290740132
seed-step2,return,250000.00147839263,249270.8000110276,-729.2014673650265
seed-step2,main-steam-line,151244.96047890652,151215.1724742893,-29.788004617206752
seed-step2,stop-valve,177935.24601809494,177935.16915428638,-0.07686380855739117
seed-step2,control-valve,2075297.6646390287,2075293.1573070856,-4.507331943139434
seed-step2,admission-valve,177935.2472886364,177914.98980050255,-20.25748813385144
seed-step2,turbine-expansion,3807814.293423039,3807839.4577598604,25.164336821530014
